月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,0.00,-0.02,-0.20,-0.22,-0.22,17.07,17.15,17.17,17.13,17.17,0.15
2,-0.09,0.01,-0.61,-0.69,-0.91,17.18,17.18,17.18,17.18,17.23,0.06
3,-0.28,-0.31,-0.77,-1.36,-2.27,17.20,17.25,17.27,17.24,17.27,0.04
4,-0.12,-0.05,-1.09,-1.26,-3.53,17.29,17.32,17.33,17.31,17.32,0.05
5,-0.62,-0.18,-0.07,-0.87,-4.40,17.32,17.33,17.34,17.33,17.35,0.03
6,-0.11,-0.06,-0.08,-0.25,-4.65,17.31,17.33,17.33,17.32,17.31,-0.04
7,-0.21,-0.14,-0.03,-0.38,-5.03,17.31,17.32,17.29,17.30,17.29,-0.02
8,0.22,0.09,0.00,0.31,-4.72,17.30,17.29,17.44,17.35,17.50,0.21
9,-0.01,0.00,0.00,-0.01,-4.73,17.48,17.50,17.58,17.52,17.59,0.09
10,-0.03,-0.02,-0.04,-0.09,-4.82,17.59,17.60,17.63,17.61,17.60,0.01
11,-0.03,-0.05,0.20,0.12,-4.70,17.64,17.66,17.68,17.66,17.66,0.06
12,-0.02,-0.06,-0.06,-0.14,-4.84,17.73,17.77,17.83,17.78,17.85,0.19
1か年累計変動量(mm/年),,,,-4.84,,,,,,,
昭和49年5月観測開始以来累計変動量(mm),,,,-34.87,,,,,,,
1か年平均地下水位(m),,,,,,,,,17.39,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.83
