年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,739679,358568,381111
0,5102,2625,2477
1,5640,2892,2748
2,5510,2811,2699
3,5814,2969,2845
4,5775,2899,2876
5,5877,3007,2870
6,6134,3095,3039
7,5877,2993,2884
8,5967,3044,2923
9,5703,2928,2775
10,5930,3065,2865
11,5938,3014,2924
12,5891,2991,2900
13,6047,3196,2851
14,5900,3060,2840
15,5719,2991,2728
16,5851,3004,2847
17,5944,3009,2935
18,6348,3306,3042
19,6876,3466,3410
20,7469,3730,3739
21,7958,3949,4009
22,8677,4267,4410
23,9903,4678,5225
24,10301,4912,5389
25,10231,4836,5395
26,10507,4998,5509
27,10546,5046,5500
28,10190,4787,5403
29,10247,4899,5348
30,10101,4905,5196
31,10003,4816,5187
32,9887,4773,5114
33,10010,4899,5111
34,10125,4997,5128
35,9958,4973,4985
36,10436,5207,5229
37,10747,5347,5400
38,10485,5234,5251
39,10298,5209,5089
40,10251,5162,5089
41,10458,5314,5144
42,10653,5348,5305
43,10734,5458,5276
44,10827,5420,5407
45,11319,5756,5563
46,11521,5818,5703
47,12150,6111,6039
48,12543,6246,6297
49,12074,5985,6089
50,12074,6047,6027
51,12293,6167,6126
52,11955,5996,5959
53,11715,5827,5888
54,11771,6000,5771
55,9418,4860,4558
56,11047,5699,5348
57,10357,5259,5098
58,9850,5012,4838
59,9036,4572,4464
60,8519,4305,4214
61,8396,4237,4159
62,8117,4097,4020
63,7503,3821,3682
64,7270,3645,3625
65,6801,3460,3341
66,6887,3497,3390
67,6515,3320,3195
68,6779,3372,3407
69,6981,3408,3573
70,7167,3474,3693
71,7834,3725,4109
72,8450,4033,4417
73,8454,3998,4456
74,8286,3822,4464
75,5086,2200,2886
76,5303,2359,2944
77,6479,2742,3737
78,6409,2725,3684
79,6319,2605,3714
80,6285,2545,3740
81,5610,2223,3387
82,4816,1891,2925
83,4838,1835,3003
84,4859,1848,3011
85,4883,1868,3015
86,4361,1645,2716
87,3734,1337,2397
88,3611,1268,2343
89,3042,1010,2032
90,2608,866,1742
91,2187,695,1492
92,1736,471,1265
93,1463,407,1056
94,1210,322,888
95,903,221,682
96,630,164,466
97,433,88,345
98,333,52,281
99,227,34,193
100,142,17,125
101,110,12,98
102,58,6,52
103,28,6,22
104歳以上,49,8,41
不詳者,0,0,0
＃續N齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,739115,358208,380907
0,5103,2603,2500
1,5549,2857,2692
2,5522,2821,2701
3,5809,2971,2838
4,5739,2900,2839
5,5953,3016,2937
6,6049,3062,2987
7,5927,3032,2895
8,5971,3040,2931
