区別,火災件数合計,火災件数建物小計,火災件数建物全焼,火災件数建物半焼,火災件数建物部分焼,火災件数建物ぼや,火災件数林野,火災件数車両,火災件数船舶,火災件数航空機,火災件数その他,火災件数治外法権火災,り災世帯,り災人員,焼損棟数
合計,3982,2766,75,89,421,2181,1,275,3,1,934,2,2133,4123,3107
特別区計,3010,2154,37,60,335,1722,-,185,3,1,665,2,1627,3089,2396
千代田区,132,112,-,1,4,107,-,3,-,-,17,-,9,23,114
中央区,117,78,-,-,7,71,-,12,3,-,24,-,17,36,78
港区,217,166,-,1,15,150,-,15,-,-,34,2,60,96,171
新宿区,186,137,3,2,30,102,-,-,-,-,49,-,95,159,149
文京区,71,49,-,1,11,37,-,1,-,-,21,-,31,53,49
台東区,76,59,2,1,5,51,-,5,-,-,12,-,38,52,68
墨田区,58,47,3,1,14,29,-,1,-,-,10,-,42,94,63
江東区,132,82,-,1,13,68,-,10,-,-,40,-,47,93,82
品川区,132,98,1,5,14,78,-,11,-,-,23,-,76,134,108
目黒区,72,49,-,-,7,42,-,7,-,-,16,-,50,84,52
大田区,176,122,1,7,17,97,-,13,-,1,40,-,118,245,150
世田谷区,164,126,4,3,22,97,-,9,-,-,29,-,119,239,140
渋谷区,149,110,-,-,7,103,-,5,-,-,34,-,37,70,110
中野区,91,63,1,3,8,51,-,10,-,-,18,-,56,96,72
杉並区,145,102,5,3,19,75,-,9,-,-,34,-,97,171,129
豊島区,121,86,2,4,14,66,-,8,-,-,27,-,72,144,106
北区,82,59,2,5,10,42,-,6,-,-,17,-,92,164,73
荒川区,53,34,-,2,9,23,-,1,-,-,18,-,29,54,37
板橋区,164,110,3,2,14,91,-,9,-,-,45,-,114,230,124
練馬区,164,113,1,3,18,91,-,9,-,-,42,-,120,218,123
足立区,188,126,6,9,28,83,-,13,-,-,49,-,137,272,155
葛飾区,143,97,2,4,16,75,-,16,-,-,30,-,69,138,110
江戸川区,177,129,1,2,33,93,-,12,-,-,36,-,102,224,133
受託地区計,972,612,38,29,86,459,1,90,-,-,269,-,506,1034,711
八王子市,143,86,9,7,11,59,-,23,-,-,34,-,83,174,109
立川市,44,37,2,1,5,29,-,2,-,-,5,-,31,64,44
武蔵野市,44,38,1,1,5,31,-,2,-,-,4,-,33,55,39
三鷹市,31,23,2,1,4,16,-,3,-,-,5,-,21,46,28
青梅市,39,20,3,2,5,10,-,4,-,-,15,-,14,36,25
府中市,76,43,1,1,4,37,-,5,-,-,28,-,33,59,48
昭島市,23,13,1,1,2,9,-,2,-,-,8,-,13,28,16
調布市,49,26,1,2,4,19,-,7,-,-,16,-,19,42,26
町田市,116,78,4,3,9,62,-,13,-,-,25,-,54,103,84
小金井市,25,14,-,1,-,13,-,1,-,-,10,-,9,21,15
小平市,39,21,1,2,3,15,-,2,-,-,16,-,25,55,29
日野市,32,27,3,-,4,20,-,1,-,-,4,-,29,61,31
東村山市,29,24,-,-,6,18,-,-,-,-,5,-,19,32,25
国分寺市,22,16,1,1,2,12,-,1,-,-,5,-,10,24,19
国立市,19,11,-,-,1,10,-,3,-,-,5,-,7,15,11
福生市,17,12,2,1,1,8,-,4,-,-,1,-,10,21,18
狛江市,26,13,1,1,1,10,-,2,-,-,11,-,5,8,16
東大和市,18,11,2,1,3,5,-,3,-,-,4,-,11,38,16
清瀬市,17,8,-,-,2,6,-,-,-,-,9,-,8,15,10
東久留米市,25,18,1,2,2,13,-,1,-,-,6,-,22,46,25
武蔵村山市,23,12,-,-,1,11,-,2,-,-,9,-,12,29,12
多摩市,21,12,-,-,1,11,-,3,-,-,6,-,10,21,13
羽村市,17,7,1,-,-,6,-,2,-,-,8,-,4,9,7
あきる野市,18,7,1,-,2,4,-,-,-,-,11,-,4,6,8
西東京市,34,26,-,-,6,20,-,2,-,-,6,-,17,23,26
瑞穂町,13,5,1,-,2,2,-,1,-,-,7,-,1,1,7
日の出町,6,2,-,1,-,1,-,1,-,-,3,-,1,1,2
檜原村,2,1,-,-,-,1,1,-,-,-,-,-,1,1,1
奥多摩町,4,1,-,-,-,1,-,-,-,-,3,-,-,-,1
,-,-,-蛹ｺ,譴�伐,譴�伐�紋ｸ∫岼,譴�伐�紋ｸ∫岼,135,1007,100,661,6,38,29,308,65,150,63,144,2,6,-,-,66,827,34,491,4,32,28,304,4,30,3,26,-,-,1,4,-,-,-,-,-,-,-,-
4,1312100907,雜ｳ遶句玄,譴�伐,譴�伐�嶺ｸ∫岼,譴�伐�嶺ｸ∫岼,136,1467,90,582,9,138,37,747,43,125,43,125,-,-,-,-,81,899,43,283,8,137,30,479,12,443,4,174,1,1,7,268,-,-,-,-,-,-,-,-
4,1312100908,雜ｳ遶句玄,譴�伐,譴�伐�倅ｸ∫岼,譴�伐�倅ｸ∫岼,55,543,32,212,4,32,19,299,15,46,15,46,-,-,-,-,37,348,17,166,4,32,16,150,3,149,-,-,-,-,3,149,-,-,-,-,-,-,-,-
3,1312101000,雜ｳ遶句玄,謇�,,謇�,463,3472,360,1805,24,418,79,1249,180,539,177,527,-,-,3,12,254,2348,175,1127,20,214,59,1007,29,585,8,151,4,204,17,230,-,-,-,-,-,-,-,-
4,1312101001,雜ｳ遶句玄,謇�,謇�ｼ台ｸ∫岼,謇�ｼ台ｸ∫岼,204,1561,164,853,11,295,29,413,86,219,85,212,-,-,1,7,101,906,76,534,8,108,17,264,17,436,3,107,3,187,11,142,-,-,-,-,-,-,-,-
4,1312101002,雜ｳ遶句玄,謇�,謇�ｼ剃ｸ∫岼,謇�ｼ剃ｸ∫岼,147,991,111,428,8,86,28,477,53,122,52,120,-,-,1,2,89,823,56,285,8,86,25,452,5,46,3,23,-,-,2,23,-,-,-,-,-,-,-,-
4,1312101003,雜ｳ遶句玄,謇�,謇�ｼ謎ｸ∫岼,謇�ｼ謎ｸ∫岼,112,920,85,524,5,37,22,359,41,198,40,195,-,-,1,3,64,619,43,308,4,20,17,291,7,103,2,21,1,17,4,65,-,-,-,-,-,-,-,-
3,1312101100,雜ｳ遶句玄,螟ｧ隹ｷ逕ｰ,,螟ｧ隹ｷ逕ｰ,382,2614,303,1414,14,192,65,1008,162,391,160,382,-,-,2,9,208,2001,135,929,14,192,59,880,12,222,8,103,-,-,4,119,-,-,-,-,-,-,-,-
4,1312101101,雜ｳ遶句玄,螟ｧ隹ｷ逕ｰ,螟ｧ隹ｷ逕ｰ�台ｸ∫岼,螟ｧ隹ｷ逕ｰ�台ｸ∫岼,96,413,80,220,4,6,12,187,57,128,57,128,-,-,-,-,35,239,21,79,4,6,10,154,4,46,2,13,-,-,2,33,-,-,-,-,-,-,-,-
4,1312101102,雜ｳ遶句玄,螟ｧ隹ｷ逕ｰ,螟ｧ隹ｷ逕ｰ�剃ｸ∫岼,螟ｧ隹ｷ逕ｰ�剃ｸ∫岼,26,248,23,112,-,-,3,136,9,12,9,12,-,-,-,-,14,141,12,85,-,-,2,56,3,95,2,15,-,-,1,80,-,-,-,-,-,-,-,-
4,1312101103,雜ｳ遶句玄,螟ｧ隹ｷ逕ｰ,螟ｧ隹ｷ逕ｰ�謎ｸ∫岼,螟ｧ隹ｷ逕ｰ�謎ｸ∫岼,112,665,85,406,2,4,25,255,46,108,45,102,-,-,1,6,62,490,37,243,2,4,23,243,4,67,3,61,-,-,1,6,-,-,-,-,-,-,-,-
4,1312101104,雜ｳ遶句玄,螟ｧ隹ｷ逕ｰ,螟ｧ隹ｷ逕ｰ�比ｸ∫岼,螟ｧ隹ｷ逕ｰ�比ｸ∫岼,54,448,37,192,3,15,14,241,20,64,20,64,-,-,-,-,34,384,17,128,3,15,14,241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1312101105,雜ｳ遶句玄,螟ｧ隹ｷ逕ｰ,螟ｧ隹ｷ逕ｰ�穂ｸ∫岼,螟ｧ隹ｷ逕ｰ�穂ｸ∫岼,94,840,78,484,5,167,11,189,30,79,29,76,-,-,1,3,63,747,48,394,5,167,10,186,1,14,1,14,-,-,-,-,-,-,-,-,-,-,-,-
3,1312101200,雜ｳ遶句玄,闊磯㍽,,闊磯㍽,199,947,180,699,4,20,15,228,102,245,100,236,1,3,1,6,89,656,75,441,3,17,11,198,8,46,5,22,-,-,3,24,-,-,-,-,-,-,-,-
4,1312101201,雜ｳ遶句玄,闊磯㍽,闊磯㍽�台ｸ∫岼,闊磯㍽�台ｸ∫岼,85,496,75,300,2,16,8,180,51,141,50,135,-,-,1,6,31,333,24,164,2,16,5,153,3,22,1,1,-,-,2,21,-,-,-,-,-,-,-,-
