区市町村,建築物面積率木造（％）,建築物面積率防火造（％）,建築物面積率準耐火造（％）,建築物面積率耐火造（％）,道路面積率（％）,空地面積率（％）,その他面積率（％）
千代田区,-9.8,-17.5,-7.4,-0.4,20.8,6.4,-25.0
中央区,-22.3,-13.9,-13.0,-0.2,26.9,5.8,-26.3
港区,-16.5,-12.1,-10.5,0.1,11.9,10.4,-14.2
新宿区,-17.8,-10.3,23.6,2.9,12.2,10.7,-9.3
文京区,-17.4,-12.4,26.2,3.6,7.2,2.4,-3.9
台東区,-7.7,-8.6,2.0,1.8,15.6,-0.2,-5.9
墨田区,-12.2,-6.5,1.4,4.4,11.8,2.4,-6.0
江東区,-13.3,-10.0,-1.3,9.9,6.8,0.5,-9.9
品川区,-12.8,-7.0,3.6,1.3,-0.6,10.3,-6.8
目黒区,-14.4,-5.2,9.1,-0.4,-0.2,19.4,-4.2
大田区,-13.9,-5.1,2.3,4.8,16.3,-1.0,-2.5
世田谷区,-15.5,2.2,0.4,7.7,-0.8,18.8,-8.8
渋谷区,-23.0,-10.7,11.5,3.5,6.8,13.7,-9.2
中野区,-13.9,-1.7,0.2,8.2,-1.0,12.2,-3.9
杉並区,-13.6,2.0,0.3,7.5,-4.3,4.9,-2.7
豊島区,-15.2,-4.5,3.1,4.3,1.7,7.9,-3.4
北区,-16.2,-7.6,20.4,3.1,10.8,9.2,-9.9
荒川区,-20.4,-8.4,14.7,9.4,6.7,-1.9,-3.2
板橋区,-16.6,-9.5,14.7,8.9,8.4,15.0,-10.6
練馬区,-12.7,3.2,-0.8,7.1,-3.0,7.3,-4.6
足立区,-20.8,-7.3,17.8,4.3,5.8,16.0,-10.7
葛飾区,-12.0,-1.7,7.7,1.1,16.8,13.7,-11.7
江戸川区,-14.7,8.1,-0.1,4.1,19.3,8.5,-12.8
中央防波堤,0.0,6.7,-15.6,12.2,-37.9,3.0,28.4
八王子市,-4.3,7.5,3.6,7.1,0.2,0.0,-2.8
立川市,-8.8,9.5,5.1,4.1,7.8,-6.7,7.3
武蔵野市,-14.2,3.5,6.7,3.0,1.7,-0.4,-1.9
三鷹市,-13.8,3.1,2.1,0.6,0.8,-1.1,0.5
青梅市,-7.8,4.2,-0.9,4.0,-12.8,0.0,2.2
府中市,-15.6,4.6,0.2,7.4,19.8,-3.8,-1.1
昭島市,-11.7,4.2,4.3,2.0,0.3,-2.6,3.5
調布市,-13.1,4.0,1.0,3.6,9.0,10.8,-12.4
町田市,-12.5,0.2,14.3,-0.4,1.4,-5.9,10.3
小金井市,-11.6,5.5,2.7,8.1,-3.7,-4.5,1.9
小平市,-13.3,-3.1,26.9,-1.8,-1.4,-2.1,-0.1
日野市,-13.6,7.1,-3.1,-0.4,-2.6,-6.1,9.8
東村山市,-12.5,10.9,0.6,2.9,-12.6,1.8,-3.0
国分寺市,-13.6,-2.3,53.2,3.7,-8.7,-2.2,0.5
国立市,-15.8,3.8,3.5,11.9,-6.4,-12.5,12.5
福生市,-12.9,2.3,1.1,2.5,-8.2,-15.5,20.4
狛江市,-12.0,4.6,-11.3,0.1,-6.8,21.2,-10.8
東大和市,-11.7,-4.4,40.5,-2.2,3.9,-7.6,16.0
清瀬市,-8.3,6.2,0.5,-1.4,-3.0,4.6,-7.2
東久留米市,-11.8,5.3,0.5,-2.0,2.0,5.1,-5.9
武蔵村山市,-10.1,-0.5,20.2,2.3,9.2,-8.7,18.4
多摩市,-9.9,-1.2,20.1,7.2,-0.7,3.3,-8.2
稲城市,-9.3,8.5,6.4,9.3,3.7,1.3,-7.9
羽村市,-11.6,-2.4,11.6,1.3,1.9,-16.3,25.9
あきる野市,-7.3,7.2,-0.2,-3.6,-4.5,-1.4,14.0
西東京市,-11.6,5.1,3.9,2.3,-1.6,-4.5,2.5
瑞穂町,-9.6,1.1,4.0,2.1,-3.0,-4.4,15.6
日の出町,-7.3,12.6,6.4,2.2,21.9,-0.8,4.9
檜原村,42.2,33.9,21.8,42.0,48.9,145.3,-98.6
奥多摩町,43.6,24.2,14.3,21.7,54.1,450.8,-99.0
特別区小計,-14.8,-2.8,5.3,4.4,8.7,7.4,-8.1
市町村小計,-10.1,4.0,7.7,3.4,0.6,-1.5,2.1
東京都合計,-12.2,0.1,6.2,4.1,5.7,0.7,-3.6
