罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,中央,八丁堀交番,131024,東京都,中央区,八丁堀２丁目,2021-03-17,17,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋１丁目,2021-02-10,10,道路上,その他,あり
窃盗,自動販売機ねらい,中央,本町交番,131024,東京都,中央区,日本橋小伝馬町,2021-01-04,16,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,深川,清澄庭園前交番,131083,東京都,江東区,三好２丁目,2021-05-14,19,道路上,その他,あり
窃盗,自動販売機ねらい,高輪,品川駅港南口交番,131032,東京都,港区,港南２丁目,2021-01-25,03,道路上,その他,なし
窃盗,自動販売機ねらい,赤坂,赤坂見附交番,131032,東京都,港区,赤坂３丁目,2021-01-19,11,道路上,その他,あり
窃盗,自動販売機ねらい,東京湾岸,新木場駅前交番,131083,東京都,江東区,新木場１丁目,2021-01-29,10,その他,その他,あり
窃盗,自動販売機ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳２丁目,2021-02-01,10,その他,その他,あり
窃盗,自動販売機ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川４丁目,2021-01-20,06,その他,その他,なし
窃盗,自動販売機ねらい,大井,大井町駅前交番,131091,東京都,品川区,大井１丁目,2021-08-02,06,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,大井,立会川交番,131091,東京都,品川区,南大井４丁目,2021-10-29,11,道路上,その他,あり
窃盗,自動販売機ねらい,大崎,五反田駅前交番,131091,東京都,品川区,西五反田１丁目,2021-03-01,15,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,大崎,西五反田交番,131091,東京都,品川区,西五反田７丁目,2021-09-16,14,道路上,その他,なし
窃盗,自動販売機ねらい,荏原,二葉町交番,131091,東京都,品川区,二葉１丁目,2021-03-26,19,道路上,その他,あり
窃盗,自動販売機ねらい,荏原,二葉町交番,131091,東京都,品川区,二葉２丁目,2021-11-01,08,その他,その他,あり
窃盗,自動販売機ねらい,荏原,旗の台交番,131091,東京都,品川区,旗の台４丁目,2021-03-31,11,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,大森,大森駅前交番,131113,東京都,大田区,大森北４丁目,2021-10-01,不明,その他,その他,あり
