町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,143,79,103,182
両国二丁目,118,74,97,171
両国三丁目,56,42,46,88
両国四丁目,120,66,90,156
千歳一丁目,39,27,26,53
千歳二丁目,41,28,24,52
千歳三丁目,51,39,49,88
緑一丁目,93,66,61,127
緑二丁目,75,57,63,120
緑三丁目,117,94,92,186
緑四丁目,249,172,198,370
立川一丁目,32,19,23,42
立川二丁目,33,25,22,47
立川三丁目,14,13,14,27
立川四丁目,35,31,31,62
菊川一丁目,32,21,32,53
菊川二丁目,46,32,39,71
菊川三丁目,91,73,69,142
江東橋一丁目,109,65,134,199
江東橋二丁目,180,134,169,303
江東橋三丁目,107,70,90,160
江東橋四丁目,351,216,376,592
江東橋五丁目,58,46,76,122
横網一丁目,12,13,5,18
横網二丁目,55,38,32,70
亀沢一丁目,50,34,49,83
亀沢二丁目,60,36,57,93
亀沢三丁目,54,45,52,97
亀沢四丁目,96,55,99,154
石原一丁目,88,67,69,136
石原二丁目,52,39,38,77
石原三丁目,62,52,41,93
石原四丁目,61,48,62,110
本所一丁目,53,41,53,94
本所二丁目,18,15,27,42
本所三丁目,63,33,61,94
本所四丁目,37,27,42,69
東駒形一丁目,47,34,30,64
東駒形二丁目,31,28,20,48
東駒形三丁目,32,20,22,42
東駒形四丁目,25,30,35,65
吾妻橋一丁目,53,45,46,91
吾妻橋二丁目,27,15,26,41
吾妻橋三丁目,24,16,31,47
錦糸一丁目,144,93,140,233
錦糸二丁目,99,73,82,155
錦糸三丁目,76,53,80,133
錦糸四丁目,109,78,120,198
太平一丁目,166,123,158,281
太平二丁目,92,55,91,146
太平三丁目,89,66,86,152
太平四丁目,165,129,195,324
横川一丁目,27,33,33,66
横川二丁目,48,36,33,69
横川三丁目,48,35,49,84
横川四丁目,84,51,66,117
横川五丁目,50,64,104,168
業平一丁目,41,38,35,73
業平二丁目,29,27,26,53
業平三丁目,20,14,18,32
業平四丁目,43,39,53,92
業平五丁目,25,22,24,46
向島一丁目,42,34,36,70
向島二丁目,38,29,31,60
向島三丁目,81,39,79,118
向島四丁目,27,32,29,61
向島五丁目,60,53,57,110
東向島一丁目,35,33,32,65
東向島二丁目,48,42,65,107
東向島三丁目,61,42,60,102
東向島四丁目,55,42,59,101
東向島五丁目,41,35,53,88
東向島六丁目,50,45,50,95
堤通一丁目,37,45,42,87
堤通二丁目,73,92,150,242
墨田一丁目,40,46,75,121
墨田二丁目,36,42,45,87
墨田三丁目,56,35,70,105
墨田四丁目,54,48,66,114
墨田五丁目,29,15,40,55
押上一丁目,33,30,31,61
押上二丁目,54,42,51,93
押上三丁目,64,63,81,144
京島一丁目,61,63,102,165
京島二丁目,16,16,18,34
京島三丁目,33,33,49,82
文花一丁目,72,84,155,239
文花二丁目,69,42,65,107
文花三丁目,21,22,31,53
八広一丁目,31,30,43,73
八広二丁目,39,46,54,100
八広三丁目,41,46,52,98
八広四丁目,41,31,66,97
八広五丁目,44,36,52,88
八広六丁目,39,36,55,91
立花一丁目,344,320,355,675
立花二丁目,82,49,57,106
立花三丁目,88,68,97,165
立花四丁目,69,63,113,176
立花五丁目,108,122,120,242
立花六丁目,62,43,66,109
東墨田一丁目,20,21,2,23
東墨田二丁目,34,44,27,71
東墨田三丁目,26,22,17,39
文花二丁目,6616371552929785 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 90005, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 90005, "SAFIELD001": 90072, "SAFIELD002": 9, "SAFIELD003": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 7.0, "SAFIELD005": "闕丞次蝨ｰ蛹ｺ", "SAFIELD006": "蟷ｳ蝪壻ｺ御ｸ∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 131, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.71432314898502, 35.616371552929785 ], [ 139.71431032078132, 35.616312680083674 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 90006, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 90006, "SAFIELD001": 90073, "SAFIELD002": 8, "SAFIELD003": "蝪�", "SAFIELD004": 10.0, "SAFIELD005": "闕丞次蝨ｰ蛹ｺ", "SAFIELD006": "蟷ｳ蝪壻ｺ御ｸ∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 131, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.71431032078132, 35.616312680083674 ], [ 139.71429113270301, 35.61622504690019 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 90007, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 90007, "SAFIELD001": 90074, "SAFIELD002": 9, "SAFIELD003": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 3.0, "SAFIELD005": "闕丞次蝨ｰ蛹ｺ", "SAFIELD006": "蟷ｳ蝪壻ｺ御ｸ∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 131, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.71429113270301, 35.61622504690019 ], [ 139.71429025587739, 35.616220809543449 ], [ 139.71428433299926, 35.61619511433446 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 90008, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 90008, "SAFIELD001": 90075, "SAFIELD002": 9, "SAFIELD003": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 10.0, "SAFIELD005": "闕丞次蝨ｰ蛹ｺ", "SAFIELD006": "蟷ｳ蝪壻ｺ御ｸ∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 131, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.71428433299926, 35.61619511433446 ], [ 139.71427336541393, 35.616147059892619 ], [ 139.71426536094313, 35.61611072633012 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 90009, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 90009, "SAFIELD001": 90076, "SAFIELD002": 8, "SAFIELD003": "蝪�", "SAFIELD004": 7.0, "SAFIELD005": "闕丞次蝨ｰ蛹ｺ", "SAFIELD006": "蟷ｳ蝪壻ｺ御ｸ∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 132, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.71426536094313, 35.61611072633012 ], [ 139.71425110593344, 35.61604635364133 ] ] } },
