町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,78,46,57,103
両国二丁目,99,64,92,156
両国三丁目,47,37,45,82
両国四丁目,80,53,60,113
千歳一丁目,19,14,20,34
千歳二丁目,19,13,18,31
千歳三丁目,43,28,41,69
緑一丁目,81,60,58,118
緑二丁目,75,55,63,118
緑三丁目,76,67,72,139
緑四丁目,165,117,174,291
立川一丁目,22,16,18,34
立川二丁目,29,25,19,44
立川三丁目,20,17,19,36
立川四丁目,32,22,34,56
菊川一丁目,25,15,27,42
菊川二丁目,27,17,30,47
菊川三丁目,61,47,57,104
江東橋一丁目,95,69,117,186
江東橋二丁目,125,92,148,240
江東橋三丁目,95,69,89,158
江東橋四丁目,322,195,364,559
江東橋五丁目,59,43,81,124
横網一丁目,3,5,2,7
横網二丁目,56,48,24,72
亀沢一丁目,42,30,44,74
亀沢二丁目,35,31,30,61
亀沢三丁目,35,28,37,65
亀沢四丁目,59,45,77,122
石原一丁目,73,60,68,128
石原二丁目,42,38,32,70
石原三丁目,69,56,53,109
石原四丁目,45,33,70,103
本所一丁目,53,40,67,107
本所二丁目,22,17,32,49
本所三丁目,54,28,61,89
本所四丁目,33,21,42,63
東駒形一丁目,41,34,20,54
東駒形二丁目,52,45,25,70
東駒形三丁目,31,24,23,47
東駒形四丁目,25,25,35,60
吾妻橋一丁目,44,29,37,66
吾妻橋二丁目,18,15,18,33
吾妻橋三丁目,25,22,25,47
錦糸一丁目,117,89,127,216
錦糸二丁目,80,78,76,154
錦糸三丁目,73,46,95,141
錦糸四丁目,111,91,129,220
太平一丁目,132,109,142,251
太平二丁目,105,75,107,182
太平三丁目,56,43,67,110
太平四丁目,166,137,193,330
横川一丁目,30,34,35,69
横川二丁目,37,22,31,53
横川三丁目,26,20,37,57
横川四丁目,51,32,47,79
横川五丁目,29,45,72,117
業平一丁目,21,19,24,43
業平二丁目,22,26,25,51
業平三丁目,19,16,21,37
業平四丁目,34,36,45,81
業平五丁目,22,15,25,40
向島一丁目,26,28,18,46
向島二丁目,30,31,27,58
向島三丁目,33,25,38,63
向島四丁目,15,22,24,46
向島五丁目,43,34,51,85
東向島一丁目,26,26,30,56
東向島二丁目,36,33,56,89
東向島三丁目,37,31,42,73
東向島四丁目,41,33,55,88
東向島五丁目,34,33,49,82
東向島六丁目,34,30,49,79
堤通一丁目,37,44,36,80
堤通二丁目,61,73,140,213
墨田一丁目,23,36,53,89
墨田二丁目,35,41,51,92
墨田三丁目,31,34,46,80
墨田四丁目,42,36,56,92
墨田五丁目,19,17,27,44
押上一丁目,22,19,27,46
押上二丁目,38,32,54,86
押上三丁目,41,47,55,102
京島一丁目,49,49,96,145
京島二丁目,19,23,22,45
京島三丁目,33,37,46,83
文花一丁目,60,94,135,229
文花二丁目,39,23,52,75
文花三丁目,33,33,41,74
八広一丁目,22,24,41,65
八広二丁目,38,38,64,102
八広三丁目,24,28,49,77
八広四丁目,47,36,71,107
八広五丁目,29,26,56,82
八広六丁目,35,38,46,84
立花一丁目,209,208,230,438
立花二丁目,66,44,44,88
立花三丁目,56,50,66,116
立花四丁目,50,55,89,144
立花五丁目,82,89,112,201
立花六丁目,41,32,61,93
東墨田一丁目,14,15,2,17
東墨田二丁目,35,41,28,69
東墨田三丁目,22,24,15,39
