町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,82,48,60,108
両国二丁目,99,66,89,155
両国三丁目,48,37,46,83
両国四丁目,73,49,57,106
千歳一丁目,18,15,19,34
千歳二丁目,21,14,19,33
千歳三丁目,51,31,45,76
緑一丁目,84,64,56,120
緑二丁目,66,49,61,110
緑三丁目,83,77,69,146
緑四丁目,179,126,184,310
立川一丁目,23,16,19,35
立川二丁目,34,30,19,49
立川三丁目,20,17,19,36
立川四丁目,33,22,35,57
菊川一丁目,27,16,28,44
菊川二丁目,36,21,35,56
菊川三丁目,64,48,59,107
江東橋一丁目,93,67,115,182
江東橋二丁目,126,94,148,242
江東橋三丁目,95,68,92,160
江東橋四丁目,330,197,369,566
江東橋五丁目,58,44,80,124
横網一丁目,3,5,2,7
横網二丁目,61,48,29,77
亀沢一丁目,43,31,44,75
亀沢二丁目,35,31,30,61
亀沢三丁目,37,28,39,67
亀沢四丁目,59,45,77,122
石原一丁目,77,64,69,133
石原二丁目,38,34,32,66
石原三丁目,71,57,54,111
石原四丁目,47,35,70,105
本所一丁目,52,38,67,105
本所二丁目,21,17,32,49
本所三丁目,56,28,63,91
本所四丁目,36,20,46,66
東駒形一丁目,40,33,20,53
東駒形二丁目,47,41,24,65
東駒形三丁目,30,23,23,46
東駒形四丁目,25,24,35,59
吾妻橋一丁目,41,29,35,64
吾妻橋二丁目,18,15,18,33
吾妻橋三丁目,21,18,25,43
錦糸一丁目,116,87,127,214
錦糸二丁目,85,80,78,158
錦糸三丁目,75,47,95,142
錦糸四丁目,113,90,131,221
太平一丁目,135,111,145,256
太平二丁目,99,73,101,174
太平三丁目,54,43,62,105
太平四丁目,165,136,196,332
横川一丁目,31,36,35,71
横川二丁目,37,22,31,53
横川三丁目,24,19,36,55
横川四丁目,59,35,52,87
横川五丁目,29,44,71,115
業平一丁目,21,19,24,43
業平二丁目,22,27,23,50
業平三丁目,19,16,22,38
業平四丁目,34,36,44,80
業平五丁目,21,14,24,38
向島一丁目,26,28,18,46
向島二丁目,31,31,28,59
向島三丁目,36,27,41,68
向島四丁目,17,22,26,48
向島五丁目,39,33,50,83
東向島一丁目,27,28,31,59
東向島二丁目,36,32,55,87
東向島三丁目,34,28,41,69
東向島四丁目,41,31,56,87
東向島五丁目,34,34,49,83
東向島六丁目,34,30,49,79
堤通一丁目,36,43,36,79
堤通二丁目,61,73,142,215
墨田一丁目,24,37,53,90
墨田二丁目,34,39,50,89
墨田三丁目,32,34,48,82
墨田四丁目,42,38,56,94
墨田五丁目,20,17,28,45
押上一丁目,23,21,29,50
押上二丁目,37,33,53,86
押上三丁目,42,47,55,102
京島一丁目,51,53,97,150
京島二丁目,19,23,22,45
京島三丁目,33,38,49,87
文花一丁目,61,96,135,231
文花二丁目,39,24,51,75
文花三丁目,33,33,41,74
八広一丁目,22,24,41,65
八広二丁目,39,39,64,103
八広三丁目,23,28,48,76
八広四丁目,49,37,71,108
八広五丁目,30,27,56,83
八広六丁目,32,35,47,82
立花一丁目,217,211,239,450
立花二丁目,63,43,41,84
立花三丁目,56,51,66,117
立花四丁目,51,56,88,144
立花五丁目,80,89,109,198
立花六丁目,37,31,58,89
東墨田一丁目,15,15,3,18
東墨田二丁目,36,40,31,71
東墨田三丁目,25,26,16,42
町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,77,47,55,102
両国二丁目,94,64,88,152
両国三丁目,47,38,44,82
両国四丁目,82,55,61,116
千歳一丁目,21,15,21,36
千歳二丁目,20,14,20,34
千歳三丁目,40,24,42,66
緑一丁目,80,59,58,117
緑二丁目,77,55,64,119
緑三丁目,70,61,69,130
緑四丁目,161,114,168,282
立川一丁目,20,14,18,32
立川二丁目,28,25,19,44
立川三丁目,21,18,19,37
立川四丁目,36,26,35,61
菊川一丁目,24,14,27,41
菊川二丁目,27,17,30,47
菊川三丁目,60,45,57,102
江東橋一丁目,96,72,120,192
江東橋二丁目,123,90,146,236
江東橋三丁目,100,73,91,164
江東橋四丁目,316,188,365,553
江東橋五丁目,58,43,81,124
横網一丁目,3,5,2,7
横網二丁目,58,50,24,74
亀沢一丁目,40,28,43,71
亀沢二丁目,35,31,30,61
亀沢三丁目,35,29,36,65
亀沢四丁目,61,50,79,129
石原一丁目,74,60,67,127
石原二丁目,42,38,33,71
石原三丁目,71,57,54,111
石原四丁目,44,33,69,102
本所一丁目,53,40,67,107
本所二丁目,25,19,33,52
本所三丁目,54,28,61,89
本所四丁目,32,21,42,63
