区市町村名,学校名,学科名,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第一学期補欠募集の実施状況／第２学年,昨年度第一学期補欠募集の実施状況／第３学年
港,芝商業,商業科,1,1,,5,"3/13,14",3/15,3/15,,
江東,江東商業,総合ﾋﾞｼﾞﾈｽ科,1,,1,9,"3/13,14",3/15,3/15,,
江東,第三商業,商業科,1,1,1,6,"3/15,16",3/17,3/17,,
渋谷,第一商業,商業科,1,13,1,19,"3/13,14",3/15,3/15,,
北,赤羽商業,商業科,1,10,1,21,"3/13,14",3/15,3/15,,
練馬,第四商業※,商業科,1,3,1,9,"3/13,14",3/17,3/17,,
練馬,第四商業※,情報処理科,,,,6,"3/13,14",3/17,3/17,,
足立,荒川商業,総合ﾋﾞｼﾞﾈｽ科,1,1,1,7,"3/13,14",3/15,3/15,,
葛飾,葛飾商業,商業科,1,2,1,4,"3/15,16",3/17,3/17,,
葛飾,葛飾商業,情報処理科,,,,1,"3/15,16",3/17,3/17,,
国立,第五商業,商業科,,2,1,4,"3/15,16",3/17,3/17,,
あきる野,五日市※,商業科,1,1,1,9,"3/13,14",3/15,3/15,,
商業科計,,,9,34,9,100,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,
注）「昨年度第一学期補欠募集の実施状況」欄では、昨年度の第一学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,
注）商業科の選抜は、国語・数学・英語・専門教科の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,
都立第四商業高校／第３学年／国語・英語・専門教科・面接,,,,,,,,,,,
都立五日市高校／第２・３学年／国語・英語・専門教科・面接,,,,,,,,,,,
