区市町村名,学校名,募集人員／男,募集人員／女,募集人員／計,入学手続人員／男,入学手続人員／女,入学手続人員／計
千代田,日比谷,132,122,254,138,127,265
港,三田,124,114,238,125,115,240
新宿,戸山,149,136,285,153,139,292
文京,竹早,93,85,178,92,87,179
文京,向丘,116,106,222,105,119,224
台東,上野,132,121,253,132,122,254
台東,白鴎,31,31,62,32,32,64
墨田,日本橋,102,93,195,92,103,195
墨田,本所,106,97,203,105,98,203
墨田,両国,31,31,62,26,35,61
江東,城東,149,136,285,152,137,289
江東,東,116,107,223,116,109,225
江東,深川,96,89,185,86,105,191
品川,大崎,116,107,223,123,102,225
品川,小山台,132,121,253,133,123,256
品川,八潮,106,96,202,106,95,201
目黒,駒場,116,106,222,118,108,226
目黒,目黒,116,107,223,104,120,224
大田,大森,100,91,191,94,98,192
大田,蒲田,41,38,79,41,38,79
大田,田園調布,87,79,166,86,79,165
大田,雪谷,116,107,223,104,121,225
世田谷,桜町,132,121,253,119,137,256
世田谷,千歳丘,116,107,223,103,120,223
世田谷,深沢,88,80,168,79,87,166
世田谷,松原,82,76,158,74,88,162
渋谷,青山,130,120,250,132,124,256
渋谷,広尾,82,74,156,83,76,159
中野,鷺宮,116,106,222,113,110,223
中野,富士,31,31,62,31,32,63
中野,武蔵丘,132,122,254,119,137,256
杉並,杉並,132,122,254,132,123,255
杉並,豊多摩,132,121,253,133,121,254
杉並,西,132,121,253,138,126,264
豊島,豊島,116,106,222,116,107,223
豊島,文京,149,136,285,135,152,287
荒川,竹台,74,67,141,74,66,140
板橋,板橋,116,107,223,116,108,224
板橋,大山,87,80,167,79,88,167
板橋,北園,132,122,254,118,138,256
板橋,高島,132,121,253,134,122,256
練馬,井草,116,107,223,104,120,224
練馬,大泉,31,31,62,34,30,64
練馬,石神井,132,121,253,134,120,254
練馬,田柄,35,33,68,35,33,68
練馬,練馬,116,107,223,117,108,225
練馬,光丘,114,104,218,122,106,228
足立,青井,75,69,144,68,76,144
足立,足立,132,121,253,142,113,255
足立,足立新田,100,93,193,100,93,193
足立,足立西,82,76,158,80,76,156
足立,足立東,41,38,79,41,44,85
足立,江北,132,121,253,139,115,254
足立,淵江,84,77,161,77,84,161
葛飾,葛飾野,132,122,254,135,124,259
葛飾,南葛飾,68,61,129,62,67,129
江戸川,江戸川,132,122,254,133,123,256
江戸川,葛西南,116,107,223,117,107,224
江戸川,小岩,149,136,285,139,150,289
江戸川,小松川,132,122,254,134,124,258
江戸川,篠崎,106,97,203,106,97,203
江戸川,紅葉川,100,91,191,101,92,193
区部計,,6543,6016,12559,6411,6276,12687
八王子,片倉,100,91,191,101,92,193
八王子,八王子北,83,76,159,84,77,161
八王子,八王子東,132,121,253,136,121,257
八王子,富士森,147,135,282,147,141,288
八王子,松が谷,99,91,190,99,93,192
立川,立川,132,121,253,136,122,258
武蔵野,武蔵,31,31,62,32,32,64
武蔵野,武蔵野北,100,91,191,102,92,194
青梅,多摩,100,91,191,101,92,193
府中,府中,116,106,222,118,107,225
府中,府中西,125,115,240,125,119,244
府中,府中東,116,107,223,105,118,223
昭島,昭和,132,121,253,133,123,256
昭島,拝島,116,107,223,110,115,225
調布,神代,116,106,222,105,119,224
調布,調布北,99,91,190,101,91,192
調布,調布南,100,91,191,102,92,194
町田,小川,132,121,253,133,123,256
町田,成瀬,116,107,223,116,107,223
町田,野津田,50,46,96,51,46,97
町田,町田,132,122,254,135,123,258
町田,山崎,88,80,168,88,80,168
小金井,小金井北,100,91,191,102,92,194
小平,小平,83,76,159,75,86,161
小平,小平西,116,107,223,126,100,226
小平,小平南,116,107,223,117,109,226
日野,日野,132,122,254,116,139,255
日野,日野台,127,116,243,132,118,250
日野,南平,132,122,254,134,124,258
東村山,東村山,41,37,78,41,37,78
東村山,東村山西,116,107,223,128,97,225
国立,国立,132,121,253,136,123,259
福生,福生,116,107,223,117,107,224
狛江,狛江,149,137,286,151,139,290
東大和,東大和,116,107,223,117,108,225
東大和,東大和南,132,121,253,135,123,258
清瀬,清瀬,132,121,253,132,121,253
東久留米,久留米西,116,106,222,116,107,223
武蔵村山,武蔵村山,116,107,223,117,108,225
多摩,永山,115,112,227,103,125,228
羽村,羽村,116,106,222,116,106,222
あきる野,秋留台,50,45,95,50,45,95
西東京,田無,132,121,253,132,122,254
西東京,保谷,132,122,254,132,124,256
多摩部計,,4879,4486,9365,4885,4585,9470
ｺｰｽ、単位制以外計,,11422,10502,21924,11296,10861,22157
