お問い合わせ内容１,お問い合わせ内容２,お問い合わせ内容３,担当部課等,担当部課等電話番号,所在地等,備考
全般,都民の声窓口,建設局事業に関する要望、苦情等,総務部総務課広報担当,03-5320-5212,第二本庁舎5階南側／(内線40-021),
道路,道の相談室,都道に関する、意見・問い合わせ,道路管理部保全課,03-3340-1350,第二本庁舎7階南側,9:30～17:00／夜間・休日は都道管理連絡室03-3343-4061
道路,道路占用許可,,各建設事務所管理課道路占用担当,,,各事務所の所管区域はこちら
道路,道路台帳閲覧,閲覧、写しの発行,各建設事務所管理課道路台帳担当,,,各事務所の所管区域はこちら
道路,都道の幅員の閲覧,幅員管理図の閲覧のみ,道路管理部路政課道路台帳担当,03-5320-5284,第二本庁舎7階南側／(内線40-461),複写不可
道路,特殊車両通行許可,,道路管理部路政課管理担当,03-5320-5288,第二本庁舎7階南側／(内線40-446),
道路,都市計画道路（都道）の事業化予定,区部の都市計画道路,道路建設部計画課企画担当,03-5320-5322,第二本庁舎7階北側／(内線40-643),事業化予定の都市計画道路の計画線の位置については、都市整備局都市づくり政策部都市計画課(03-5388-3213)
道路,都市計画道路（都道）の事業化予定,多摩の都市計画道路,道路建設部計画課多摩計画担当,03-5320-5323,第二本庁舎7階北側／(内線40-651),事業化予定の都市計画道路の計画線の位置については、各市町村
河川,河川計画に関すること,,（都が管理する河川については、下記のとおり）,,,
河川,河川計画に関すること,隅田川・中川・江東内部河川など,河川部計画課低地対策担当,03-5320-5413,第二本庁舎6階南側／(内線41-465),東京都管理以外の河川については、各河川管理者にお問い合わせください。／【主な河川の管理者】／江戸川・中川・綾瀬川：（江戸川河川事務所047-125-7311）／荒川：（荒川下流河川事務所　03-3902-2311）／多摩川・浅川：（京浜河川事務所　045-503-4000）／花畑川・北川・根川など：当該河川を管理する区市町村
