年,区部低地沈下量（ｃｍ／年）,区部低地地点,区部低地基標名,区部台地沈下量（ｃｍ／年）,区部台地地点,区部台地基標名,多摩地域沈下量（ｃｍ／年）,多摩地域地点,多摩地域基標名
昭34,19.29,墨田区立花三,向(5),6.42,板橋区小豆沢一,板(1),-,,
35,18.01,江東区東陽四,(9832),8.82,板橋区小豆沢一,板(1),-,,
36,18.98,足立区弘道二,足(16),15.43,板橋区小豆沢一,板(1),-,,
37,20.86,足立区弘道二,足(16),15.64,板橋区小豆沢一,板(1),-,,
38,19.53,足立区弘道二,足(16),14.65,板橋区小豆沢一,板(1),-,,
39,18.47,江戸川区西葛西二,江(20),11.31,板橋区小豆沢一,板(1),-,,
40,15.54,江戸川東葛西三,江(13),8.78,板橋区赤塚八,板(18),-,,
41,17.04,江戸川南葛西六,江(18),9.23,板橋区赤塚八,板(18),-,,
42,17.65,江東区新砂三,港(22),12.01,板橋区赤塚四,板(22),-,,
43,23.89,江戸川区西葛西二,江(20),11.44,板橋区赤塚八,板(18),-,,
44,20.56,江東区新砂三,港(22),8.95,板橋区赤塚四,板(22),-,,
45,18.45,江戸川区南葛西六,江(18),13.78,板橋区赤塚四,板(22),-,,
46,18.08,江東区新砂三,港(22),10.63,板橋区成増三,板(23),-,,
47,13.97,江東区新砂三,港(22),10.63,練馬区西大泉五,練(32),6.88,西東京市住吉町三,保谷(2)
48,10.07,江東区新砂三,港(22),5.84,練馬区西大泉五,練(32),21.65,清瀬市下清戸二,清瀬(2)
49,7.46,江東区新砂三,港(22),7.08,練馬区西大泉五,練(32),13.65,清瀬市中清戸二,(2312)
50,5.41,江東区新砂三,港(22),1.97,港区西麻布二,麻(8),3.81,清瀬市下清戸二,清瀬(2)
51,3.10,江東区新砂三,港(1),2.41,練馬区大泉学園町七,練(26),5.64,清瀬市下清戸二,清瀬(2)
52,4.30,江東区新砂三,港(1),1.09,渋谷区笹塚二,渋(1),3.01,清瀬市中清戸四,清瀬(7)
53,3.92,足立区入谷七,足(8),3.80,板橋区赤塚三,板(25),5.59,清瀬市下清戸二,清瀬(2)
54,1.71,江東区新砂三,港(23),0.87,練馬区大泉学園町二,練(27),2.17,清瀬市旭が丘二,清瀬(1)
55,1.81,江東区新砂三,港(22),0.76,品川区北品川四,芝(10),1.38,清瀬市中清戸二,(2312)
56,2.48,江東区新砂三,港(22),0.87,港区北青山三,赤(8),2.50,清瀬市旭が丘二,清瀬(1)
57,1.01,葛飾区柴又三,葛(22),1.06,練馬区高松五,練(15),0.82,清瀬市竹丘三,清瀬(6)
58,1.20,江戸川区春江町二,江(30),0.74,北区西が丘一,北(23),1.32,清瀬市旭が丘二,清瀬(1)
59,2.16,板橋区高島平四,板(20),1.88,練馬区石神井町一,練(13),3.22,清瀬市旭が丘二,清瀬(1)
60,1.77,足立区西新井本町,足(21),0.42,練馬区南大泉一,練(34),1.00,清瀬市旭が丘二,清瀬(1)
61,1.30,足立区竹の塚二,足(30),1.00,港区西麻布二,麻(8),0.48,立川市柏町二,6-147-001
62,1.30,板橋区三園一,板(21),0.93,練馬区西大泉五,練(32),1.48,清瀬市旭が丘二,清瀬(1)
63,1.10,江戸川区春江町二,江(30),0.94,港区西麻布二,麻(8),1.10,清瀬市旭が丘二,清瀬(1)
平元,0.94,品川区東品川二,品(2),0.70,千代田区神田駿河台,交(4),1.04,清瀬市中里五,清瀬(3)
2,1.02,大田区山王二,大(10),1.43,板橋区徳丸八,板(10),1.25,清瀬市旭が丘二,清瀬(1)
3,0.80,港区虎ノ門一,復(19),0.28,港区六本木三,麻(11),0.88,町田市南大谷,ＢＭ.17
4,0.98,港区新橋六,復(18),1.16,練馬区上石神井一,練(29),1.99,清瀬市旭が丘二,清瀬(1)
5,1.01,大田区東糀谷五,蒲(2),0.85,練馬区羽沢三,練(5),0.35,国立市谷保,(119)
6,2.03,足立区入谷七,足(8),1.37,北区西が丘一,北(23),3.04,清瀬市旭が丘二,清瀬(1)
7,0.78,中央区晴海一,港(19),1.20,新宿区本塩町,四(1),0.87,東久留米市南沢四,久米(1)
8,1.21,板橋区蓮根三,板(5),1.05,練馬区南大泉五,練(33),1.33,東村山市恩多町一,東村(2)
9,1.20,港区東麻布三,芝(19),0.98,港区六本木三,麻(11),0.84,町田市南成瀬七,ＢＭ.15
10,1.14,北区王子二,北(7),1.25,港区六本木七,麻(10),0.24,あきる野市牛沼,(4955)
11,1.56,墨田区立川一,所(14),1.00,世田谷区中町四,世(6),1.49,清瀬市中清戸四,清瀬(7)
12,1.33,江戸川区臨海町二,江(42),0.70,世田谷区給田三,(020-019),0.57,東村山市恩多町一,東村(2)
13,1.45,江戸川区臨海町二,江(42),1.53,練馬区羽沢三,練(5),0.90,立川市上砂町二,立川(4)
14,1.56,江戸川区臨海町二,江(42),0.92,新宿区富久町,牛(6),1.06,清瀬市中清戸四,清瀬(7)
15,0.19,江戸川区臨海町二,江(42),0.86,大田区雪谷大塚町,大(31),0.75,日野市日野,(020-037)
16,1.46,荒川区東尾久三,荒(4),1.16,渋谷区神宮前六,赤(9),0.79,昭島市武蔵野二,昭島(1)
17,0.85,千代田区有楽町一,麹(3),0.77,渋谷区神宮前六,赤(9),0.99,清瀬市旭が丘二,清瀬(1)
18,0.18,大田区羽田六,蒲(11),0.26,渋谷区神宮前六,赤(9),0.56,三鷹市大沢四,三鷹(4)
19,1.52,江東区千田,深(9),0.82,大田区南雪谷五,大(7),1.45,東村山市恩多町一,東村(2)
20,0.37,中央区晴海一,港(19),0.19,世田谷区中町四,世(6),0.66,町田市本町田,ＢＭ.18
21,0.54,足立区中央本町一,足(37),0.44,千代田区紀尾井町,麹(6),1.22,東村山市恩多町一,東村(2)
22,1.21,足立区入谷七,足(8),1.59,大田区南雪谷五,大(7),1.45,稲城市大丸,稲城(4)
23,-,-,-,-,-,-,-,-,-
24,0.73,足立区入谷七,足(8),0.30,大田区南雪谷五,大(7),0.21,調布市西つつじヶ丘三,(020-021)
25,0.80,葛飾区西新小岩五,葛(11),0.72,文京区関口二,小(3),0.85,府中市若松町一,(120)
26,0.76,中央区銀座五,京(2),0.46,千代田区紀尾井町,麹(6),0.38,瑞穂町箱根ヶ崎,瑞穂(4)
27,1.01,中央区晴海一,港(19),0.67,板橋区板橋二,板(19),1.31,清瀬市旭が丘二,清瀬(1)
28,0.82,足立区入谷七,足(8),0.54,世田谷区粕谷一,世(11),0.67,調布市上石原一,(020-025)
11,1.56,墨田螳滓�隱ｿ譟ｻ2022蟷ｴ"
