,,20％未満,20～40％未満,40～60％未満,60～80％未満,80％以上,無回答,ｎ
,今回調査（全体）,68.8,16,5.1,1.2,5.1,3.7,430
業種別,情報・コンテンツ業,65.8,14.4,5.5,2.1,8.2,4.1,146
業種別,専門サービス業,70.3,18.6,4.8,0,2.8,3.4,145
業種別,技術サービス業,64.4,15.6,8.9,2.2,6.7,2.2,45
業種別,事業サービス業,75.9,14.5,2.4,1.2,3.6,2.4,83
特定10業種別,ソフトウェア業,60.7,16.4,6.6,3.3,8.2,4.9,61
特定10業種別,インターネット附随サービス業,78.6,0,0,0,14.3,7.1,14
特定10業種別,映像情報制作・配給業,64.3,7.1,7.1,7.1,7.1,7.1,14
特定10業種別,出版業,83.3,16.7,0,0,0,0,12
特定10業種別,税理士事務所,90.5,4.8,4.8,0,0,0,21
特定10業種別,デザイン業,89.5,10.5,0,0,0,0,19
特定10業種別,経営コンサルタント業,52.3,29.5,6.8,0,6.8,4.5,44
特定10業種別,建築設計業,66.7,22.2,0,0,5.6,5.6,18
特定10業種別,自動車整備業,60,20,20,0,0,0,5
特定10業種別,建物サービス業,75,18.8,0,6.3,0,0,16
従業者規模別,1～2人,61.9,17.2,9,0,7.5,4.5,134
従業者規模別,3～5人,67.3,18.4,2,4.1,6.1,2,98
従業者規模別,6～9人,54.2,25,8.3,2.1,6.3,4.2,48
従業者規模別,10～29人,81.3,9.4,1.6,0,4.7,3.1,64
従業者規模別,30人以上,80.5,12.2,3.7,0,0,3.7,82
年間売上高増減別（３年前）,大幅(10％以上)増加,57.5,19.2,11,0,8.2,4.1,73
年間売上高増減別（３年前）,やや(10％未満)増加,72.1,23,1.6,0,0,3.3,61
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,71.3,13.8,3.4,2.3,6.9,2.3,87
年間売上高増減別（３年前）,やや(10％未満)減少,75,10,10,0,0,5,40
年間売上高増減別（３年前）,大幅(10％以上)減少,70.9,12.8,3.5,2.1,5.7,5,141
売上高経常利益率別,黒字,70.1,18.5,3.9,1.1,5,1.4,281
売上高経常利益率別,赤字,68.1,12.1,6,1.7,6,6,116
経常損益の変化別（３年前）,増益,64.6,19.5,5.3,0.9,8,1.8,113
経常損益の変化別（３年前）,横ばい,74.4,14.5,5.1,0.9,1.7,3.4,117
経常損益の変化別（３年前）,減益,70.2,13.7,4.2,1.8,5.4,4.8,168
代表者の年齢別,40歳未満,61.9,14.3,9.5,0,14.3,0,21
代表者の年齢別,40歳代,76.8,11,2.4,0,3.7,6.1,82
代表者の年齢別,50歳代,65.2,17,3.7,2.2,8.1,3.7,135
代表者の年齢別,60歳代,72.1,16.2,5.9,0.7,2.2,2.9,136
代表者の年齢別,70歳以上,60.4,20.8,10.4,2.1,4.2,2.1,48
他企業との競争状況別（３年前）,かなり激化した,77.6,13.8,1.7,0,5.2,1.7,58
他企業との競争状況別（３年前）,やや激化した,70.5,16.1,3.6,0,1.8,8,112
他企業との競争状況別（３年前）,変わらない,68.2,15.3,6.4,2.1,5.5,2.5,236
他企業との競争状況別（３年前）,やや緩和した,50,25,12.5,0,12.5,0,8
他企業との競争状況別（３年前）,かなり緩和した,0,50,0,0,50,0,2
他企業との競�
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,錦糸１丁目,2018-03-13,07,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,錦糸１丁目,2018-04-08,13,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,錦糸１丁目,2018-09-24,00,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,錦糸４丁目,2017-11-18,12,道路上,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,錦糸４丁目,2018-09-12,14,道路上,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋２丁目,2018-08-25,16,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋２丁目,2018-09-28,18,その他,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋２丁目,2018-10-14,19,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2017-12-16,15,道路上,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2017-12-20,19,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-01-01,07,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-01-10,16,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-01-14,19,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-01-21,21,道路上,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-02-28,18,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-03-20,19,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-04-17,07,その他,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-05-26,22,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2018-06-14,10,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2017-12-22,07,その他,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2017-12-27,23,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-01-02,14,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-01-04,06,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-01-13,18,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-01-21,19,道路上,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-01-30,07,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-01-31,09,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-03-05,19,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-04-07,00,道路上,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-04-20,14,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-04-21,08,その他,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-04-26,14,その他,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-04-27,15,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-05-09,13,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-06-22,17,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-08-25,22,道路上,50歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-08-29,21,道路上,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-09-08,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2018-10-17,00,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,業平４丁目,2018-06-15,02,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅南口交番,131075,東京都,墨田区,向島１丁目,2017-12-28,18,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸１丁目,2018-02-06,11,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸１丁目,2018-03-27,17,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸１丁目,2018-04-20,14,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸１丁目,2018-05-19,19,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸１丁目,2018-05-20,14,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-01-06,15,道路上,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-02-06,23,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-02-25,00,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-03-25,15,道路上,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-03-30,15,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-04-01,12,道路上,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-04-04,16,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-04-04,17,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-04-23,18,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-05-03,23,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-07-13,10,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸２丁目,2018-07-20,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2017-12-04,22,道路上,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-02-28,10,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-03-18,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-04-07,12,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-04-27,11,道路上,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-05-04,17,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-06-07,09,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-06-08,13,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-06-29,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-07-03,12,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-08-24,10,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-08-25,11,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-08-31,21,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-09-07,17,道路上,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-09-26,18,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸３丁目,2018-09-28,17,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2017-08-01,不明,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2017-11-29,15,その他,10歳代,中学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2017-12-06,16,その他,10歳代,中学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-01-21,19,その他,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-01-25,15,その他,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-02-14,05,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-02-14,15,その他,10歳代,中学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-03-03,23,道路上,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-03-10,11,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-04-05,17,その他,10歳代,高校生,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-04-07,18,道路上,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-05-19,18,その他,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-05-20,13,その他,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-06-03,18,その他,30歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-06-16,13,その他,40歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-07-24,17,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,錦糸４丁目,2018-08-13,06,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,太平１丁目,2018-07-18,02,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,太平１丁目,2018-07-21,17,一戸建住宅,60-64歳,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,太平４丁目,2018-08-18,15,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,本所,錦糸町駅北口交番,131075,東京都,墨田区,横川３丁目,2018-09-22,03,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,錦糸２丁目,2018-02-21,11,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平２丁目,2018-04-14,18,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平３丁目,2017-12-19,13,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2017-12-11,15,その他,70歳以上,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2017-12-26,13,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2018-03-01,19,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2018-07-06,16,その他の住宅（３階建て以下共同住宅等）,10歳未満,小学生,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2018-07-30,15,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2018-09-07,21,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,太平４丁目,2018-10-01,16,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,本所４丁目,2018-07-17,18,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,本所４丁目,2018-10-11,14,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,横川２丁目,2018-05-18,18,一戸建住宅,20歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,横川４丁目,2018-04-21,13,道路上,50歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,横川５丁目,2017-12-07,19,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,横川５丁目,2018-02-20,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,横川５丁目,2018-02-24,10,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,本所,横川交番,131075,東京都,墨田区,横川５丁目,2018-08-04,12,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,本所,押上駅前交番,131075,東京都,墨田区,押上１丁目,2017-10-01,08,道路上,20歳代,その他,施錠した
