表側,全体,卸売業,小売業,経緯
2008年1月,-40,-44,-55,
2008年2月,-41,-44,-56,2008.2～2009.3景気後退期
2008年3月,-44,-48,-57,
2008年4月,-44,-52,-57,
2008年5月,-43,-48,-60,
2008年6月,-42,-46,-63,
2008年7月,-42,-46,-54,
2008年8月,-50,-49,-66,
2008年9月,-48,-51,-54,リーマンショック
2008年10月,-58,-65,-66,
2008年11月,-64,-73,-68,
2008年12月,-63,-69,-65,
2009年1月,-62,-66,-66,
2009年2月,-67,-73,-68,
2009年3月,-69,-71,-71,
2009年4月,-71,-76,-71,
2009年5月,-66,-68,-62,
2009年6月,-63,-67,-64,
2009年7月,-65,-71,-71,
2009年8月,-57,-63,-58,
2009年9月,-59,-59,-63,
2009年10月,-57,-60,-63,
2009年11月,-62,-64,-71,
2009年12月,-58,-62,-70,
2010年1月,-49,-54,-61,
2010年2月,-48,-45,-62,
2010年3月,-45,-51,-60,
2010年4月,-48,-47,-64,
2010年5月,-48,-47,-66,
2010年6月,-46,-44,-65,
2010年7月,-42,-46,-58,
2010年8月,-43,-45,-60,
2010年9月,-43,-43,-64,
2010年10月,-47,-44,-62,
2010年11月,-38,-36,-52,
2010年12月,-36,-32,-53,
2011年1月,-37,-39,-52,
2011年2月,-35,-35,-56,
2011年3月,-54,-59,-61,東日本大震災
2011年4月,-57,-55,-75,
2011年5月,-53,-55,-74,
2011年6月,-46,-48,-62,
2011年7月,-44,-49,-61,
2011年8月,-41,-43,-58,
2011年9月,-41,-46,-62,
2011年10月,-40,-48,-51,
2011年11月,-40,-44,-60,
2011年12月,-38,-42,-50,
2012年1月,-39,-39,-55,
2012年2月,-37,-44,-55,
2012年3月,-30,-35,-51,2012.3～11景気後退期
2012年4月,-36,-38,-53,
2012年5月,-36,-38,-51,
2012年6月,-37,-41,-54,
2012年7月,-38,-35,-53,
2012年8月,-42,-46,-55,
2012年9月,-43,-42,-64,
2012年10月,-41,-46,-54,
2012年11月,-41,-45,-52,
2012年12月,-37,-43,-50,
2013年1月,-38,-42,-43,
2013年2月,-35,-41,-47,
2013年3月,-30,-31,-46,
2013年4月,-29,-31,-40,
2013年5月,-32,-35,-49,
2013年6月,-37,-41,-48,
2013年7月,-33,-38,-48,
2013年8月,-36,-36,-58,
2013年9月,-30,-32,-52,
2013年10月,-28,-22,-53,増税決定
2013年11月,-24,-24,-41,
2013年12月,-24,-24,-44,
2014年1月,-25,-22,-43,
2014年2月,-27,-23,-48,
2014年3月,-13,-2,-30,
2014年4月,-32,-35,-47,消費税(5%→8%)
2014年5月,-29,-32,-50,
2014年6月,-31,-31,-56,
2014年7月,-30,-29,-48,
2014年8月,-36,-41,-52,
2014年9月,-29,-34,-40,
2014年10月,-27,-26,-48,
2014年11月,-35,-39,-53,
2014年12月,-36,-41,-48,
2015年1月,-36,-40,-52,
2015年2月,-35,-42,-48,
2015年3月,-35,-41,-49,
2015年4月,-27,-33,-37,
2015年5月,-27,-29,-36,
2015年6月,-24,-26,-37,
2015年7月,-29,-32,-46,
2015年8月,-33,-38,-44,
2015年9月,-33,-35,-42,
2015年10月,-25,-23,-38,
2015年11月,-30,-31,-46,
2015年12月,-31,-34,-44,
2016年1月,-34,-39,-49,
2016年2月,-34,-34,-40,
2016年3月,-35,-37,-49,
2016年4月,-31,-35,-48,
2016年5月,-34,-42,-39,
2016年6月,-35,-41,-44,
2016年7月,-36,-46,-49,
2016年8月,-33,-38,-48,
2016年9月,-33,-38,-51,
2016年10月,-34,-41,-45,
2016年11月,-28,-28,-39,
2016年12月,-30,-36,-46,
2017年1月,-31,-36,-44,
2017年2月,-30,-32,-42,
2017年3月,-33,-35,-51,
2017年4月,-26,-31,-39,
2017年5月,-28,-32,-43,
2017年6月,-24,-27,-37,
2017年7月,-25,-24,-43,
2017年8月,-23,-25,-39,
2017年9月,-22,-28,-35,
2017年10月,-28,-30,-53,
2017年11月,-20,-22,-38,
2017年12月,-22,-24,-37,
2018年1月,-27,-27,-49,
2018年2月,-26,-23,-47,
2018年3月,-29,-31,-48,
2018年4月,-23,-25,-41,
2018年5月,-21,-21,-46,
2018年6月,-23,-22,-42,
2018年7月,-25,-22,-42,
2018年8月,-23,-21,-41,
2018年9月,-28,-28,-47,
