,,増加                ,横ばい              ,減少                ,いない              ,３年前は未創業      ,無回答            ,ｎ
,今回調査（全体）,10.6 ,39.9 ,10.0 ,32.3 ,0.8 ,6.4 ,1382
業種別,情報・コンテンツ業,10.9 ,34.5 ,10.2 ,38.3 ,0.7 ,5.3 ,412 
業種別,専門サービス業,9.0 ,39.7 ,6.1 ,34.8 ,1.2 ,9.2 ,411 
業種別,技術サービス業,13.6 ,43.5 ,7.3 ,28.8 ,0.0 ,6.8 ,191 
業種別,事業サービス業,10.6 ,45.2 ,15.8 ,24.0 ,0.9 ,3.5 ,341 
特定10業種,ソフトウェア業,8.0 ,35.7 ,8.5 ,43.2 ,1.0 ,3.5 ,199 
特定10業種,インターネット附随サービス業,23.3 ,26.7 ,10.0 ,36.7 ,3.3 ,0.0 ,30 
特定10業種,映像情報制作・配給業,9.3 ,34.9 ,7.0 ,34.9 ,0.0 ,14.0 ,43 
特定10業種,出版業,5.4 ,45.9 ,10.8 ,32.4 ,0.0 ,5.4 ,37 
特定10業種,税理士事務所,9.3 ,48.6 ,4.3 ,28.6 ,0.0 ,9.3 ,140 
特定10業種,デザイン業,2.1 ,27.1 ,12.5 ,47.9 ,0.0 ,10.4 ,48 
特定10業種,経営コンサルタント業,16.9 ,37.3 ,1.7 ,39.0 ,0.0 ,5.1 ,59 
特定10業種,建築設計業,12.4 ,44.3 ,7.2 ,27.8 ,0.0 ,8.2 ,97 
特定10業種,自動車整備業,7.7 ,57.7 ,7.7 ,23.1 ,0.0 ,3.8 ,26 
特定10業種,建物サービス業,7.5 ,57.5 ,22.5 ,11.3 ,0.0 ,1.3 ,80 
従業者規模別,1～2人,4.9 ,37.4 ,3.7 ,39.9 ,1.8 ,12.3 ,163
従業者規模別,3～5人,6.3 ,37.7 ,8.6 ,38.1 ,1.1 ,8.1 ,443 
従業者規模別,6～9人,11.9 ,37.7 ,8.5 ,34.3 ,0.8 ,6.8 ,236 
従業者規模別,10～29人,11.1 ,42.7 ,12.4 ,29.9 ,0.3 ,3.5 ,314 
従業者規模別,30人以上,22.1 ,43.8 ,16.3 ,15.9 ,0.0 ,1.9 ,208 
年間売上高増減別（３年前）,大幅(10％以上)増加,24.7 ,35.3 ,5.9 ,27.1 ,0.0 ,7.1 ,170 
年間売上高増減別（３年前）,やや(10％未満)増加,26.3 ,32.7 ,9.9 ,28.1 ,0.0 ,2.9 ,171 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,6.9 ,48.0 ,5.2 ,35.5 ,0.0 ,4.4 ,406 
年間売上高増減別（３年前）,やや(10％未満)減少,6.0 ,43.2 ,10.4 ,33.9 ,0.0 ,6.6 ,183
年間売上高増減別（３年前）,大幅(10％以上)減少,4.8 ,38.5 ,17.2 ,34.1 ,0.0 ,5.3 ,413
売上高経常利益率別,黒字,12.5 ,39.7 ,9.3 ,31.4 ,0.5 ,6.5 ,936
売上高経常利益率別,赤字,6.1 ,39.5 ,10.9 ,35.9 ,1.8 ,5.8 ,329
経常損益の変化別（３年前）,増益,19.4 ,33.2 ,10.3 ,32.3 ,0.0 ,4.7 ,319
経常損益の変化別（３年前）,横ばい,7.9 ,47.2 ,6.8 ,32.3 ,0.0 ,5.9 ,443
経常損益の変化別（３年前）,減益,8.8 ,39.6 ,12.8 ,33.9 ,0.0 ,4.9 ,570
代表者の年齢別,40歳未満,27.8 ,36.1 ,5.6 ,22.2 ,2.8 ,5.6 ,36
代表者の年齢別,40歳代,16.9 ,33.3 ,11.7 ,30.0 ,2.8 ,5.2 ,213
代表者の年齢別,50歳代,10.9 ,41.1 ,9.7 ,31.1 ,0.5 ,6.7 ,421
代表者の年齢別,60歳代,8.7 ,37.6 ,11.9 ,35.4 ,0.5 ,5.8 ,412
代表者の年齢別,70歳以上,6.7 ,44.2 ,7.4 ,33.7 ,0.0 ,8.1 ,285
,12.5 ,4ｽ
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西１丁目,2018-05-29,18,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西１丁目,2018-07-01,07,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西１丁目,2018-08-03,15,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西１丁目,2018-08-18,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西２丁目,2017-12-02,18,道路上,10歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西２丁目,2018-02-09,05,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西２丁目,2018-08-16,00,一戸建住宅,10歳代,大学生,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西２丁目,2018-11-26,14,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2017-12-02,18,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2017-12-16,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2017-12-21,20,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-01-12,21,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-03-12,14,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-03-23,04,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-04-09,10,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-04-11,15,その他,40歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-04-21,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-04-26,23,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-05-15,20,道路上,30歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-05-15,22,道路上,20歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-06-13,09,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-06-18,17,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-06-23,11,道路上,20歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-06-24,14,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,葛西,共栄橋交番,131237,東京都,江戸川区,中葛西３丁目,2018-07-02,03,一戸建住宅,40歳代,その他,施錠した
