,,１年未満            ,１～３年未満        ,３～５年未満        ,５～７年未満        ,７～10年未満        ,10年以上            ,  無回答            ,ｎ
,今回調査（全体）,2.5 ,9.3 ,11.5 ,7.9 ,10.0 ,56.9 ,1.9 ,2348
,前回調査,1.5 ,7.8 ,9.0 ,6.5 ,9.5 ,63.6 ,2.2 ,2263
業種別,情報・コンテンツ業,2.2 ,11.9 ,13.3 ,9.1 ,12.0 ,49.5 ,2.0 ,640 
業種別,専門サービス業,3.0 ,10.0 ,13.0 ,8.4 ,9.8 ,54.4 ,1.3 ,820 
業種別,技術サービス業,2.6 ,8.2 ,10.0 ,7.1 ,8.8 ,61.2 ,2.1 ,340 
業種別,事業サービス業,1.2 ,6.1 ,8.7 ,6.1 ,7.1 ,68.0 ,2.8 ,507 
特定10業種,ソフトウェア業,2.1 ,11.9 ,16.4 ,10.1 ,12.6 ,45.1 ,1.7 ,286 
特定10業種,インターネット附随サービス業,8.1 ,22.6 ,11.3 ,14.5 ,14.5 ,27.4 ,1.6 ,62 
特定10業種,映像情報制作・配給業,0.0 ,16.2 ,14.7 ,8.8 ,8.8 ,50.0 ,1.5 ,68 
特定10業種,出版業,0.0 ,0.0 ,5.5 ,3.6 ,5.5 ,78.2 ,7.3 ,55 
特定10業種,税理士事務所,1.4 ,2.8 ,5.0 ,8.3 ,8.7 ,72.9 ,0.9 ,218 
特定10業種,デザイン業,0.0 ,5.8 ,17.3 ,7.7 ,11.5 ,56.7 ,1.0 ,104 
特定10業種,経営コンサルタント業,4.5 ,20.7 ,19.0 ,11.2 ,11.2 ,33.0 ,0.6 ,179 
特定10業種,建築設計業,2.2 ,8.3 ,10.0 ,8.3 ,8.3 ,60.0 ,2.8 ,180 
特定10業種,自動車整備業,1.9 ,3.7 ,7.4 ,3.7 ,7.4 ,68.5 ,7.4 ,54 
特定10業種,建物サービス業,0.0 ,1.8 ,4.5 ,5.4 ,8.1 ,80.2 ,0.0 ,111 
従業者規模別,1～2人,3.8 ,13.2 ,14.0 ,8.3 ,11.9 ,46.8 ,2.0 ,971 
従業者規模別,3～5人,2.3 ,9.2 ,10.5 ,7.3 ,8.4 ,60.7 ,1.6 ,573 
従業者規模別,6～9人,0.4 ,5.2 ,5.6 ,8.4 ,7.6 ,69.6 ,3.2 ,250 
従業者規模別,10～29人,1.9 ,4.7 ,12.7 ,9.5 ,9.8 ,60.1 ,1.3 ,316 
従業者規模別,30人以上,0.5 ,3.8 ,8.6 ,4.8 ,7.1 ,73.3 ,1.9 ,210
年間売上高増減別（３年前）,大幅(10％以上)増加,5.1 ,15.8 ,22.2 ,9.8 ,9.4 ,35.5 ,2.1 ,234
年間売上高増減別（３年前）,やや(10％未満)増加,1.3 ,10.9 ,14.7 ,7.1 ,14.7 ,50.0 ,1.3 ,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,1.5 ,5.0 ,9.5 ,7.7 ,9.2 ,64.8 ,2.3 ,662
年間売上高増減別（３年前）,やや(10％未満)減少,0.6 ,5.8 ,6.5 ,6.5 ,9.7 ,69.5 ,1.3 ,308
年間売上高増減別（３年前）,大幅(10％以上)減少,2.5 ,5.4 ,11.3 ,8.8 ,10.7 ,59.1 ,2.1 ,795
売上高経常利益率別,黒字,1.8 ,9.5 ,11.7 ,7.5 ,10.4 ,57.5 ,1.6 ,1409
売上高経常利益率別,赤字,4.2 ,9.5 ,12.3 ,8.2 ,9.7 ,54.0 ,2.2 ,693
経常損益の変化別（３年前）,増益,2.6 ,13.0 ,14.3 ,8.5 ,9.4 ,51.4 ,0.9 ,469
経常損益の変化別（３年前）,横ばい,2.0 ,5.5 ,10.6 ,6.3 ,10.7 ,62.4 ,2.6 ,765
経常損益の変化別（３年前）,減益,2.2 ,5.5 ,11.0 ,9.4 ,10.3 ,59.9 ,1.7 ,973
経常損益の変薗J,宇田川交番,131130,東京都,渋谷区,宇田川町,2018-05-31,09,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,渋谷,宇田川交番,131130,東京都,渋谷区,道玄坂２丁目,2018-01-16,11,道路上,施錠せず,なし
窃盗,車上ねらい,渋谷,宇田川交番,131130,東京都,渋谷区,道玄坂２丁目,2018-01-22,13,道路上,施錠せず,なし
窃盗,車上ねらい,渋谷,道玄坂上交番,131130,東京都,渋谷区,道玄坂１丁目,2018-01-21,13,道路上,施錠せず,なし
窃盗,車上ねらい,渋谷,道玄坂上交番,131130,東京都,渋谷区,道玄坂１丁目,2018-02-28,14,道路上,施錠せず,なし
窃盗,車上ねらい,渋谷,道玄坂上交番,131130,東京都,渋谷区,道玄坂２丁目,2018-01-12,02,道路上,施錠せず,なし
窃盗,車上ねらい,渋谷,道玄坂上交番,131130,東京都,渋谷区,道玄坂２丁目,2018-02-12,10,道路上,施錠せず,あり
窃盗,車上ねらい,渋谷,道玄坂上交番,131130,東京都,渋谷区,円山町,2018-03-11,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,渋谷,代官山交番,131130,東京都,渋谷区,代官山町,2018-02-15,06,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,渋谷,代官山交番,131130,東京都,渋谷区,代官山町,2018-12-07,10,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,渋谷,恵比寿駅前交番,131130,東京都,渋谷区,恵比寿南３丁目,2018-03-03,01,道路上,施錠せず,なし
窃盗,車上ねらい,渋谷,鉢山交番,131130,東京都,渋谷区,南平台町,2018-07-27,17,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,渋谷,鉢山交番,131130,東京都,渋谷区,南平台町,2018-10-31,14,その他,施錠せず,あり
窃盗,車上ねらい,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2018-09-25,14,道路上,施錠せず,あり
窃盗,車上ねらい,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2018-04-27,20,道路上,施錠せず,あり
窃盗,車上ねらい,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2018-11-17,09,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,原宿,代々木駅前交番,131130,東京都,渋谷区,代々木１丁目,2018-08-15,11,道路上,施錠せず,あり
窃盗,車上ねらい,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2018-05-17,23,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2018-07-19,06,道路上,施錠せず,なし
窃盗,車上ねらい,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2018-08-04,20,道路上,施錠せず,あり
窃盗,車上ねらい,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2018-08-27,07,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2018-04-20,10,道路上,施錠せず,あり
窃盗,車上ねらい,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2018-06-21,18,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2018-07-06,16,道路上,施錠せず,あり
窃盗,車上ねらい,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2018-07-10,20,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2017-11-19,00,その他,施錠せず,なし
窃盗,車上ねらい,原宿,神宮前交番,131130,東京都,渋谷区,神宮前５丁目,2018-06-03,09,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2018-11-17,21,道路上,施錠せず,あり
