,,増加                ,横ばい              ,減少                ,いない              ,３年前は未創業      ,無回答            ,ｎ
,今回調査（全体）,17.8 ,57.9 ,16.4 ,3.3 ,0.8 ,3.8 ,1382
業種別,情報・コンテンツ業,24.8 ,48.8 ,19.9 ,2.9 ,0.7 ,2.9 ,412 
業種別,専門サービス業,10.9 ,65.9 ,11.9 ,4.6 ,1.2 ,5.4 ,411 
業種別,技術サービス業,18.3 ,62.8 ,11.5 ,3.1 ,0.0 ,4.2 ,191 
業種別,事業サービス業,18.2 ,55.1 ,20.8 ,2.1 ,0.9 ,2.9 ,341 
特定10業種,ソフトウェア業,27.6 ,44.7 ,21.6 ,3.0 ,1.0 ,2.0 ,199 
特定10業種,インターネット附随サービス業,23.3 ,50.0 ,20.0 ,0.0 ,3.3 ,3.3 ,30 
特定10業種,映像情報制作・配給業,27.9 ,51.2 ,11.6 ,2.3 ,0.0 ,7.0 ,43 
特定10業種,出版業,2.7 ,78.4 ,13.5 ,2.7 ,0.0 ,2.7 ,37 
特定10業種,税理士事務所,5.7 ,71.4 ,12.1 ,4.3 ,0.0 ,6.4 ,140 
特定10業種,デザイン業,12.5 ,62.5 ,22.9 ,2.1 ,0.0 ,0.0 ,48 
特定10業種,経営コンサルタント業,22.0 ,64.4 ,3.4 ,3.4 ,0.0 ,6.8 ,59 
特定10業種,建築設計業,22.7 ,61.9 ,9.3 ,3.1 ,0.0 ,3.1 ,97 
特定10業種,自動車整備業,3.8 ,69.2 ,19.2 ,3.8 ,0.0 ,3.8 ,26 
特定10業種,建物サービス業,12.5 ,66.3 ,13.8 ,3.8 ,0.0 ,3.8 ,80 
従業者規模別,1～2人,4.3 ,60.1 ,9.8 ,11.7 ,1.8 ,12.3 ,163
従業者規模別,3～5人,6.8 ,69.5 ,14.0 ,3.8 ,1.1 ,4.7 ,443 
従業者規模別,6～9人,14.4 ,61.9 ,18.6 ,2.1 ,0.8 ,2.1 ,236 
従業者規模別,10～29人,27.1 ,49.4 ,21.7 ,0.6 ,0.3 ,1.0 ,314 
従業者規模別,30人以上,41.3 ,39.9 ,16.8 ,1.0 ,0.0 ,1.0 ,208 
年間売上高増減別（３年前）,大幅(10％以上)増加,52.9 ,36.5 ,7.1 ,3.5 ,0.0 ,0.0 ,170 
年間売上高増減別（３年前）,やや(10％未満)増加,39.2 ,49.1 ,8.2 ,2.9 ,0.0 ,0.6 ,171 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,12.6 ,69.5 ,11.1 ,3.7 ,0.0 ,3.2 ,406 
年間売上高増減別（３年前）,やや(10％未満)減少,6.0 ,69.9 ,19.1 ,1.6 ,0.0 ,3.3 ,183
年間売上高増減別（３年前）,大幅(10％以上)減少,6.3 ,57.4 ,29.3 ,3.9 ,0.0 ,3.1 ,413
売上高経常利益率別,黒字,20.5 ,57.8 ,14.7 ,2.9 ,0.5 ,3.5 ,936
売上高経常利益率別,赤字,11.6 ,55.6 ,22.2 ,4.0 ,1.8 ,4.9 ,329
経常損益の変化別（３年前）,増益,32.3 ,48.3 ,16.6 ,2.8 ,0.0 ,0.0 ,319
経常損益の変化別（３年前）,横ばい,13.8 ,67.5 ,12.2 ,2.7 ,0.0 ,3.8 ,443
経常損益の変化別（３年前）,減益,14.0 ,58.4 ,20.5 ,4.2 ,0.0 ,2.8 ,570
代表者の年齢別,40歳未満,41.7 ,41.7 ,8.3 ,2.8 ,2.8 ,2.8 ,36
代表者の年齢別,40歳代,24.9 ,43.7 ,21.6 ,3.3 ,2.8 ,3.8 ,213
代表者の年齢別,50歳代,19.7 ,54.2 ,18.3 ,3.3 ,0.5 ,4.0 ,421
代表者の年齢別,60歳代,18.2 ,59.5 ,14.3 ,3.6 ,0.5 ,3.9 ,412
代表者の年齢別,70歳以上,6.0 ,73.7 ,14.0 ,2.8 ,0.0 ,3.5 ,285
,2.1 ,0.ﾞ盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,上柚木３丁目,2018-06-14,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,南大沢５丁目,2018-01-08,18,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,南大沢５丁目,2018-01-10,16,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,南大沢５丁目,2018-11-15,22,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,南大沢５丁目,2018-12-21,21,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,鑓水２丁目,2018-05-30,09,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,宮上駐在所,132012,東京都,八王子市,鑓水２丁目,2018-09-16,18,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2018-01-07,22,その他の住宅（３階建て以下共同住宅等）,10歳代,その他,施錠した
窃盗,自転車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2018-02-20,23,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2018-03-29,13,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2018-06-06,06,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,南大沢,小山駐在所,132098,東京都,町田市,小山町,2018-07-12,19,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南大沢,小山駐在所,132098,東京都,町田市,小山ヶ丘３丁目,2018-05-12,05,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南大沢,相原駐在所,132098,東京都,町田市,小山ヶ丘４丁目,2018-06-01,16,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南大沢,相原駐在所,132098,東京都,町田市,小山ヶ丘５丁目,2017-12-08,20,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南大沢,相原駐在所,132098,東京都,町田市,小山ヶ丘５丁目,2018-01-12,14,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南大沢,相原駐在所,132098,東京都,町田市,小山ヶ丘５丁目,2018-06-01,16,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,南大沢,大戸駐在所,132098,東京都,町田市,相原町,2018-04-09,21,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,大戸駐在所,132098,東京都,町田市,相原町,2018-07-25,17,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,大戸駐在所,132098,東京都,町田市,相原町,2018-11-21,18,その他,20歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,高尾町,2018-05-21,07,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,高尾町,2018-09-19,08,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,狭間町,2018-01-09,18,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,狭間町,2018-01-12,23,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,狭間町,2018-06-27,07,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,初沢町,2018-01-10,15,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,初沢町,2018-06-01,11,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,初沢町,2018-07-19,22,４階建て以上共同住宅,10歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,初沢町,2018-08-02,23,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,初沢町,2018-11-06,06,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,東浅川町,2018-08-08,18,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,高尾,高尾駅前交番,132012,東京都,八王子市,東浅川町,2018-09-16,17,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,高尾,並木町交番,132012,東京都,八王子市,散田町３丁目,2018-05-11,20,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,高尾,並木町交番,132012,東京都,八王子市,散田町４丁目,2018-10-03,10,道路上,30歳代,その他,施錠した
窃盗,自転車盗,高尾,並木町交番,132012,東京都,八王子市,並木町,2018-11-30,22,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,高尾,めじろ台交番,132012,東京都,八王子市,椚田町,2018-01-12,16,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,高尾,めじろ台交番,132012,東京都,八王子市,椚田町,2018-06-30,02,一戸建住宅,10歳代,高校生,施錠した
窃盗,自転車盗,高尾,めじろ台交番,132012,東京都,八王子市,椚田町,2018-07-27,12,その他の住宅（３階建て以下共同住宅等）,10歳代,その他,施錠した
窃盗,自転車盗,高尾,めじろ台交番,132012,東京都,八王子市,めじろ台２丁目,2017-12-15,12,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,高尾,めじろ台交番,132012,東京都,八王子市,めじろ台２丁目,2018-01-20,08,駐車（輪）場,10歳代,高校生,施錠した
