表側１,表側２,表側３,回答企業数(件),すべて自社(％),一部を外部委託(％),全部を外部委託(％),該当する業務なし(％),無回答(％)
,,今回調査（全体）,760,54.9,20.4,13.8,8.6,2.4
,,前回調査,823,54.6,22,12.6,7.9,2.9
業種別,,食料品卸売業,237,54.4,17.3,19.8,5.5,3
業種別,,生鮮食品卸売業,126,62.7,15.1,15.1,4,3.2
業種別,,加工食品等卸売業,111,45,19.8,25.2,7.2,2.7
業種別,,衣料品関連卸売業,145,53.8,22.1,12.4,7.6,4.1
業種別,,住関連卸売業,83,59,14.5,7.2,16.9,2.4
業種別,,その他卸売業,288,54.9,23.3,11.5,9.4,1
従業者規模別,,1～5人,399,57.9,13.8,13.8,11.8,2.8
従業者規模別,,6～9人,101,44.6,24.8,19.8,7.9,3
従業者規模別,,10～49人,208,54.3,28.8,12,3.8,1
従業者規模別,,50人以上,36,47.2,38.9,8.3,5.6,0
取引形態別,一次卸,小売直取引卸,219,58.9,20.5,12.3,6.8,1.4
取引形態別,一次卸,他部門直取引卸,50,32,30,20,18,0
取引形態別,一次卸,元卸,154,39.6,26,27.3,5.8,1.3
取引形態別,二次卸,中間卸,85,61.2,10.6,12.9,9.4,5.9
取引形態別,二次卸,最終卸,135,64.4,17,7.4,7.4,3.7
取引形態別,その他,製造問屋,19,52.6,42.1,0,0,5.3
取引形態別,その他,その他卸,77,66.2,13,5.2,14.3,1.3
取引形態別2,0,2,0,0,0,2,0,1,0,0,0,0,1,0,7,0,0,4,0,0,0,0,0,0,0,3,4,2,0,0,0,2
八王子市元八王子町３丁目,18,0,0,0,1,0,1,0,0,0,5,0,0,0,0,4,0,0,1,5,0,0,3,0,0,0,0,0,0,0,2,7,2,2,0,0,3
八王子市下恩方町,13,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,7,0,1,4,0,0,0,0,0,0,0,2,3,1,1,0,0,1
八王子市上恩方町,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八王子市西寺方町,16,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,2,1,9,3,0,0,0,6
八王子市川口町,43,0,0,0,4,0,3,0,0,1,1,0,0,0,0,0,0,0,1,20,1,2,8,3,0,0,0,0,0,3,3,18,7,1,1,0,9
八王子市上川町,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
八王子市犬目町,33,0,0,0,1,0,1,0,0,0,11,0,0,0,0,2,0,0,9,15,0,3,6,2,0,0,0,0,0,1,3,6,2,0,0,0,4
八王子市楢原町,77,1,0,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,1,57,0,9,31,6,0,0,0,0,0,3,8,15,5,1,0,0,9
八王子市美山町,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,2
八王子市尾崎町,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
