,,経営者の判断,役員以上の会議,管理職以上の会議,家族と相談,その他,無回答,ｎ
,今回調査（全体）,51.3 ,22.4 ,20.2 ,2.2 ,2.5 ,1.3 ,830
,前回調査,48.6 ,24.6 ,20.3 ,1.9 ,2.3 ,2.4 ,794 
業種別,情報・コンテンツ業,45.7 ,30.0 ,22.2 ,0.3 ,1.4 ,0.3 ,293 
業種別,専門サービス業,67.1 ,12.1 ,13.4 ,3.0 ,2.6 ,1.7 ,231 
業種別,技術サービス業,50.9 ,20.5 ,22.3 ,2.7 ,3.6 ,0.0 ,112 
業種別,事業サービス業,41.9 ,23.5 ,23.5 ,3.9 ,3.9 ,3.4 ,179 
特定10業種,ソフトウェア業,48.3 ,26.6 ,23.8 ,0.0 ,1.4 ,0.0 ,143 
特定10業種,インターネット附随サービス業,53.1 ,31.3 ,12.5 ,0.0 ,3.1 ,0.0 ,32 
特定10業種,映像情報制作・配給業,48.1 ,37.0 ,14.8 ,0.0 ,0.0 ,0.0 ,27 
特定10業種,出版業,28.6 ,38.1 ,33.3 ,0.0 ,0.0 ,0.0 ,21 
特定10業種,税理士事務所,66.7 ,3.3 ,20.0 ,3.3 ,3.3 ,3.3 ,30 
特定10業種,デザイン業,60.0 ,17.5 ,17.5 ,2.5 ,2.5 ,0.0 ,40 
特定10業種,経営コンサルタント業,77.3 ,8.0 ,9.3 ,2.7 ,1.3 ,1.3 ,75 
特定10業種,建築設計業,55.8 ,15.4 ,21.2 ,1.9 ,5.8 ,0.0 ,52 
特定10業種,自動車整備業,60.0 ,10.0 ,0.0 ,20.0 ,0.0 ,10.0 ,10 
特定10業種,建物サービス業,50.0 ,15.6 ,28.1 ,3.1 ,3.1 ,0.0 ,32 
従業者規模別,1～2人,77.9 ,9.0 ,3.2 ,5.4 ,1.8 ,2.7 ,222
従業者規模別,3～5人,63.7 ,17.5 ,13.5 ,2.9 ,2.3 ,0.0 ,171 
従業者規模別,6～9人,50.0 ,25.5 ,22.4 ,1.0 ,1.0 ,0.0 ,98 
従業者規模別,10～29人,30.7 ,30.1 ,32.5 ,0.0 ,4.2 ,2.4 ,166 
従業者規模別,30人以上,22.4 ,36.6 ,37.3 ,0.0 ,3.1 ,0.6 ,161 
年間売上高増減別（３年前）,大幅(10％以上)増加,43.2 ,25.6 ,28.8 ,0.8 ,1.6 ,0.0 ,125 
年間売上高増減別（３年前）,やや(10％未満)増加,43.4 ,27.4 ,23.9 ,0.9 ,4.4 ,0.0 ,113 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,50.5 ,23.2 ,20.5 ,2.1 ,1.6 ,2.1 ,190 
年間売上高増減別（３年前）,やや(10％未満)減少,47.4 ,25.8 ,20.6 ,3.1 ,2.1 ,1.0 ,97
年間売上高増減別（３年前）,大幅(10％以上)減少,59.1 ,17.0 ,15.9 ,2.9 ,2.9 ,2.2 ,276
売上高経常利益率別,黒字,45.5 ,25.3 ,23.6 ,2.0 ,2.0 ,1.5 ,538
売上高経常利益率別,赤字,62.1 ,16.7 ,15.9 ,2.2 ,2.6 ,0.4 ,227
経常損益の変化別（３年前）,増益,46.7 ,23.3 ,23.8 ,1.4 ,3.3 ,1.4 ,210
経常損益の変化別（３年前）,横ばい,52.7 ,21.1 ,18.1 ,3.4 ,3.8 ,0.8 ,237
経常損益の変化別（３年前）,減益,52.4 ,23.1 ,20.2 ,1.7 ,0.9 ,1.7 ,347
経常損益の変苑�前,田原町交番,131067,東京都,台東区,西浅草１丁目,2017-12-20,15,道路上,30歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草１丁目,2018-02-24,17,道路上,50歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草１丁目,2018-03-15,09,道路上,20歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草１丁目,2018-05-25,14,その他,65-69歳,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草１丁目,2018-06-25,10,道路上,20歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2017-12-01,00,道路上,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2017-12-03,12,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2017-12-28,23,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2018-08-23,14,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2018-10-01,16,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2018-11-10,11,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2018-11-10,23,道路上,50歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,西浅草２丁目,2018-11-26,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,東上野６丁目,2018-08-26,12,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,田原町交番,131067,東京都,台東区,松が谷１丁目,2017-12-02,16,道路上,20歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,寿１丁目,2018-02-05,23,道路上,20歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2017-12-02,13,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2018-02-18,00,道路上,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2018-03-31,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2018-10-01,18,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2018-10-07,15,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2018-11-20,13,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,松が谷１丁目,2017-08-31,12,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,松が谷１丁目,2018-04-07,22,道路上,40歳代,その他,施錠した
窃盗,自転車盗,蔵前,菊屋橋交番,131067,東京都,台東区,松が谷１丁目,2018-09-16,15,一戸建住宅,30歳代,その他,施錠した
