表側１,表側２,表側３,回答企業数(件),品揃えの幅(フルラインナップ・一括供給)(％),品揃えの深さ(専門性)(％),商材の発掘(％),新商品の企画・開発(％),顧客への品揃えの提案(％),顧客の売場づくり支援(％),顧客への販促提案(％),顧客への情報提供(％),短納期や納期の短縮化(％),小口受注・小口配送(％),多頻度配送(％),情報収集・分析(％),金融機能(％),他事業者との連携(％),その他(％),業務の効率化・合理化(％),特になし(％),無回答(％)
,,今回調査（全体）,351,20.2,34.5,36.8,32.5,21.7,5.1,22.8,27.6,10.3,13.1,6.8,14.8,1.1,8.3,1.4,14.8,14.2,1.4
業種別,,食料品卸売業,114,19.3,39.5,36,22.8,24.6,6.1,22.8,28.1,7,17.5,11.4,12.3,0.9,3.5,1.8,13.2,18.4,2.6
業種別,,生鮮食品卸売業,64,15.6,39.1,28.1,20.3,23.4,3.1,23.4,28.1,6.3,12.5,9.4,15.6,1.6,4.7,3.1,10.9,15.6,4.7
業種別,,加工食品等卸売業,50,24,40,46,26,26,10,22,28,8,24,14,8,0,2,0,16,22,0
業種別,,衣料品関連卸売業,72,20.8,34.7,33.3,48.6,23.6,5.6,16.7,12.5,13.9,15.3,6.9,18.1,1.4,5.6,2.8,15.3,6.9,1.4
業種別,,住関連卸売業,34,26.5,20.6,47.1,32.4,17.6,5.9,17.6,26.5,11.8,2.9,0,17.6,2.9,14.7,0,23.5,17.6,0
業種別,,その他卸売業,129,18.6,33.3,36.4,31,18.6,3.9,26.4,35.7,10.1,10.1,3.9,14,0.8,11.6,0.8,13.2,14,0.8
従業者規模別,,1～5人,184,17.4,28.8,28.3,23.4,15.8,2.2,13.6,19,9.8,14.7,4.9,12.5,0.5,9.2,0.5,8.7,21.2,2.2
従業者規模別,,6～9人,41,14.6,41.5,51.2,39,17.1,2.4,19.5,29.3,7.3,4.9,9.8,19.5,2.4,12.2,4.9,17.1,9.8,0
従業者規模別,,10～49人,109,24.8,43.1,45,42.2,26.6,10.1,35.8,38.5,10.1,10.1,6.4,15.6,1.8,5.5,0.9,21.1,5.5,0.9
従業者規模別,,50人以上,16,37.5,25,43.8,56.3,68.8,12.5,50,50,25,37.5,25,25,0,6.3,6.3,37.5,0,0
取引形態別,一次卸,小売直取引卸,101,21.8,34.7,40.6,39.6,25.7,5.9,18.8,23.8,9.9,9.9,6.9,19.8,1,7.9,1,13.9,14.9,1
取引形態別,一次卸,他部門直取引卸,21,23.8,52.4,47.6,33.3,23.8,4.8,28.6,47.6,9.5,9.5,0,9.5,0,14.3,0,23.8,4.8,0
取引形態別,一次卸,元卸,65,26.2,33.8,36.9,38.5,21.5,7.7,26.2,29.2,13.8,18.5,7.7,9.2,1.5,6.2,1.5,15.4,6.2,0
取引形態別,二次卸,中間卸,41,14.6,14.6,26.8,22,12.2,4.9,19.5,17.1,2.4,14.6,4.9,14.6,4.9,4.9,2.4,4.9,29.3,7.3
取引形態別,二次卸,最終卸,71,26.8,53.5,42.3,25.4,23.9,4.2,23.9,31,14.1,15.5,11.3,11.3,0,5.6,0,19.7,11.3,1.4
取引形態別,その他,製造問屋,10,10,20,30,60,40,10,30,50,30,10,10,30,0,30,0,30,0,0
取引形態別,その他,その他卸,36,0,16.7,22.2,16.7,11.1,0,25,27.8,2.8,8.3,2.8,19.4,0,11.1,5.6,5.6,25,0
売上高増減別(前年同期比),,増加,11,18.2,45.5,45.5,45.5,45.5,18.2,36.4,36.4,9.1,18.2,18.2,45.5,9.1,18.2,0,18.2,0,0
売上高増減別(前年同期比),,横ばい,32,21.9,31.3,50,34.4,21.9,6.3,21.9,25,6.3,3.1,6.3,21.9,0,6.3,6.3,25,9.4,0
売上高増減別(前年同期比),,減少,302,20.2,34.8,35.4,31.5,20.9,4.3,22.2,27.2,10.9,14.2,6.6,12.9,1,7.9,1,13.2,15.6,1.7
売上高増減別(３年前),,増加,32,34.4,31.3,40.6,28.1,28.1,3.1,31.3,40.6,15.6,21.9,15.6,34.4,3.1,3.1,3.1,15.6,9.4,0
売上高増減別(３年前),,横ばい,41,26.8,31.7,36.6,34.1,26.8,4.9,24.4,26.8,7.3,7.3,7.3,4.9,2.4,9.8,0,19.5,17.1,0
売上高増減別(３年前),,減少,270,17.4,34.4,36.3,32.2,19.6,5.6,21.9,25.6,9.6,13,5.6,13.7,0.7,8.5,1.5,14.1,14.8,1.9
従業者規模別,,1,0,0,0,0,0,0,6,6,1,2,0,0,3
武蔵野市桜堤１丁目,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,1
武蔵野市桜堤２丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,0,0,0,0,0,3,3,1,0,0,0,2
武蔵野市桜堤３丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3
武蔵野市計,1566,6,1,5,39,0,26,12,0,1,95,5,0,1,42,22,8,2,15,1130,1,1,696,20,7,5,6,5,23,230,136,296,101,34,4,0,157
三鷹市下連雀１丁目,15,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,5,1,2,0,0,0,0,0,1,3,0,0,0,0,3
三鷹市下連雀２丁目,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,0,10,1,1,0,0,0,0,0,5,1,0,0,0,0,1
三鷹市下連雀３丁目,172,0,0,0,7,0,6,1,0,0,6,1,0,1,0,3,0,0,1,137,0,0,49,5,3,0,7,0,11,22,40,22,7,3,1,0,11
三鷹市下連雀４丁目,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,9,3,0,0,0,0,0,2,2,2,2,0,0,0,0
三鷹市下連雀５丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
三鷹市下連雀６丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,2,1,0,1,0,0
三鷹市下連雀７丁目,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,1,2,5,1,0,0,0,4
三鷹市下連雀８丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
三鷹市下連雀９丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0
三鷹市牟礼１丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,2,0,0,0,0,1,0,2,0,0,0,0,2
三鷹市牟礼２丁目,15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,10,1,0,7,0,0,0,0,0,0,0,2,3,1,2,0,0,0
三鷹市牟礼３丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
三鷹市牟礼４丁目,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,2
三鷹市牟礼５丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,5,1,0,0,0,0,0,0,1,4,0,0,0,0,4
三鷹市牟礼６丁目,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,1,2,6,2,0,0,0,4
三鷹市牟礼７丁目,8,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
三鷹市井の頭１丁目,17,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,5,4,1,1,0,0,2
三鷹市井の頭２丁目,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,5,0,0,0,0,0,0,0,1,3,2,0,0,0,1
三鷹市井の頭３丁目,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,10,0,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0
三鷹市井の頭４丁目,17,0,0,0,3,0,2,1,0,0,1,0,0,0,0,1,0,0,0,10,0,0,5,0,0,0,0,1,0,0,4,3,0,1,0,0,2
三鷹市井の頭５丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
三鷹市中原１丁目,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
三鷹市中原２丁目,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,3,0,0,0,0,0,0,0,6,1,0,0,0,5
