,,１割未満            ,１割以上～３割未満  ,３割以上～５割未満  ,５割以上～７割未満  ,７割以上            ,わからない          ,無回答,ｎ
,今回調査（全体）,2.7,3.1,2.7,4.0,86.0,0.7,0.9,2253 
業種別,情報・コンテンツ業,0.2,0.6,0.9,2.7,94.2,0.5,0.9,634 
業種別,専門サービス業,1.4,1.1,1.9,2.8,90.7,0.8,1.4,798 
業種別,技術サービス業,0.6,1.6,2.5,3.4,91.0,0.6,0.3,322 
業種別,事業サービス業,10.0,10.8,6.5,7.8,63.3,0.9,0.7,461 
特定10業種,ソフトウェア業,0.0,0.4,0.0,1.4,97.5,0.4,0.4,283 
特定10業種,インターネット附随サービス業,0.0,1.6,1.6,1.6,93.4,1.6,0.0,61 
特定10業種,映像情報制作・配給業,0.0,1.5,2.9,1.5,92.6,0.0,1.5,68 
特定10業種,出版業,1.8,1.8,1.8,5.5,87.3,1.8,0.0,55 
特定10業種,税理士事務所,1.4,0.5,1.4,2.9,91.4,0.5,1.9,210 
特定10業種,デザイン業,0.0,1.9,1.0,0.0,96.2,1.0,0.0,104 
特定10業種,経営コンサルタント業,2.3,1.7,2.3,4.0,85.7,0.6,3.4,175 
特定10業種,建築設計業,0.0,0.6,1.2,4.6,93.1,0.6,0.0,173 
特定10業種,自動車整備業,19.0,16.7,11.9,7.1,38.1,4.8,2.4,42 
特定10業種,建物サービス業,18.8,8.3,7.3,11.5,53.1,0.0,1.0,96 
従業者規模別,１～２人,2.1,1.3,2.2,3.4,88.0,1.2,1.9,914 
従業者規模別,３～５人,2.2,1.8,2.4,6.3,86.1,0.5,0.7,552 
従業者規模別,６～９人,2.1,3.7,3.7,2.5,87.7,0.4,0.0,243 
従業者規模別,10～29人,2.3,5.5,4.8,3.2,83.9,0.3,0.0,311 
従業者規模別,30人以上,6.8,9.7,1.9,3.4,78.2,0.0,0.0,206 
年間売上高増減別（３年前）,大幅(10％以上)増加,1.7,1.7,1.3,3.1,91.7,0.0,0.4,229 
年間売上高増減別（３年前）,やや(10％未満)増加,2.1,3.0,1.7,2.1,89.7,0.0,1.3,233 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,3.5 ,2.9 ,3.0 ,4.3 ,84.0 ,1.6 ,0.8 ,631 
年間売上高増減別（３年前）,やや(10％未満)減少,4.8 ,3.7 ,2.7 ,3.7 ,84.0 ,0.3 ,0.7 ,294 
年間売上高増減別（３年前）,大幅(10％以上)減少,1.9 ,3.6 ,3.4 ,4.9 ,84.5 ,0.5 ,1.2 ,755 
売上高経常利益率別,黒字,2.9 ,2.6 ,2.2 ,3.5 ,87.1 ,0.8 ,0.9 ,1362 
売上高経常利益率別,赤字,2.1 ,3.8 ,4.2 ,4.7 ,84.1 ,0.5 ,0.6 ,660 
経常損益の変化別（３年前）,増益,2.6,2.9,1.8,3.1,87.9,0.2,1.5,455 
経常損益の変化別（３年前）,横ばい,3.7,3.3,2.7,4.4,84.3,1.0,0.7,732 
経常損益の変化別（３年前）,減益,2.2,3.2,3.4,4.4,85.4,0.5,0.9,929 
年間売上高漸丁目,2018-10-05,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,葛飾,新小岩駅前交番,131229,東京都,葛飾区,新小岩２丁目,2018-10-09,00,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,葛飾,新小岩駅前交番,131229,東京都,葛飾区,新小岩３丁目,2018-05-30,05,道路上,20歳代,その他,施錠した
窃盗,自転車盗,葛飾,新小岩駅前交番,131229,東京都,葛飾区,新小岩４丁目,2018-02-10,19,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,葛飾,新小岩駅前交番,131229,東京都,葛飾区,東新小岩６丁目,2018-04-12,19,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-01-30,06,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-03-31,08,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-04-02,10,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-04-09,16,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-04-12,07,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-04-14,12,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-05-15,08,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-06-27,08,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-07-03,09,その他,40歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-07-28,00,道路上,40歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-08-05,07,その他,10歳代,中学生,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-08-10,16,その他,10歳代,大学生,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-09-22,21,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-10-01,19,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-10-25,07,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-10-28,10,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,葛飾,たつみ橋交番,131229,東京都,葛飾区,西新小岩１丁目,2018-11-12,14,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
