表側１,表側２,表側３,回答企業数(件),すべて自社(％),一部を外部委託(％),全部を外部委託(％),該当する業務なし(％),無回答(％)
,,今回調査（全体）,760,28.7,24.7,18.8,23.3,4.5
,,前回調査,823,26.4,26.5,17,23.9,6.2
業種別,,食料品卸売業,237,35.4,21.1,17.7,19.4,6.3
業種別,,生鮮食品卸売業,126,42.1,19.8,12.7,18.3,7.1
業種別,,加工食品等卸売業,111,27.9,22.5,23.4,20.7,5.4
業種別,,衣料品関連卸売業,145,25.5,26.9,26.2,15.2,6.2
業種別,,住関連卸売業,83,28.9,24.1,10.8,32.5,3.6
業種別,,その他卸売業,288,25,26.7,17.7,28.1,2.4
従業者規模別,,1～5人,399,29.3,21.8,17.3,25.6,6
従業者規模別,,6～9人,101,25.7,19.8,26.7,24.8,3
従業者規模別,,10～49人,208,26.9,33.7,18.8,18.3,2.4
従業者規模別,,50人以上,36,27.8,30.6,11.1,30.6,0
取引形態別,一次卸,小売直取引卸,219,29.2,24.2,21.5,21.9,3.2
取引形態別,一次卸,他部門直取引卸,50,12,30,24,34,0
取引形態別,一次卸,元卸,154,17.5,27.3,31.8,20.1,3.2
取引形態別,二次卸,中間卸,85,34.1,25.9,11.8,20,8.2
取引形態別,二次卸,最終卸,135,38.5,21.5,11.1,23,5.9
取引形態別,その他,製造問屋,19,42.1,36.8,10.5,5.3,5.3
取引形態別,その他,その他卸,77,35.1,18.2,9.1,35.1,2.6
従業者規模別,,0,0,0,0,0,0,0,4,1,1,0,0,2
足立区西新井栄町１丁目,170,1,1,0,12,0,3,8,0,1,1,0,0,0,0,0,0,0,1,146,0,2,87,7,0,0,0,0,0,30,20,10,1,3,0,0,6
足立区西新井栄町２丁目,72,0,0,0,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,32,2,0,0,1,0,0,6,12,11,4,1,0,0,6
足立区西新井栄町３丁目,6,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
足立区栗原１丁目,23,0,0,0,3,0,2,1,0,0,2,0,0,0,0,1,1,0,0,15,0,0,7,1,1,0,0,0,0,0,6,3,1,0,0,0,2
足立区栗原２丁目,16,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,10,1,1,5,0,0,0,0,0,0,0,3,3,1,0,0,0,2
足立区栗原３丁目,25,1,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,15,0,0,8,3,0,2,0,0,0,0,2,6,0,0,0,0,6
足立区栗原４丁目,22,0,0,0,4,0,2,1,1,0,1,0,0,0,0,1,0,0,0,14,0,0,10,0,0,0,0,1,0,1,2,3,1,0,0,0,2
足立区梅田１丁目,13,0,0,0,3,0,2,1,0,0,1,0,1,0,0,0,0,0,0,6,0,0,4,1,0,0,0,0,0,0,1,3,0,1,1,0,1
足立区梅田２丁目,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,3,0,1,0,0,0,0,2,2,1,0,0,0,1
足立区梅田３丁目,18,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,4,1,0,0,0,0,1,3,1,5,0,0,0,0,5
足立区梅田４丁目,8,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0
足立区梅田５丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
足立区梅田６丁目,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,1,0,0,0,0,0,1,1,5,1,1,0,0,3
足立区梅田７丁目,52,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,2,39,0,0,12,1,0,0,0,0,2,14,10,8,2,3,0,0,3
足立区梅田８丁目,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,2,0,0,0,0,0,2,5,0,0,0,0,0,0
足立区島根１丁目,14,0,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,1,9,0,0,5,0,0,0,0,0,0,0,4,1,1,0,0,0,0
足立区島根２丁目,35,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,22,2,0,0,0,0,0,0,6,2,1,0,0,0,1
足立区島根３丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,1,0,0,0,0,0,1,3,3,0,1,0,0,2
足立区島根４丁目,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,1,2,1,8,0,2,0,0,6
足立区梅島１丁目,35,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,30,1,0,17,3,0,0,0,0,0,6,3,3,2,0,0,0,1
足立区梅島２丁目,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,2,0,0,0,1,0,0,2,4,1,1,0,0,2
足立区梅島３丁目,93,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,78,0,0,18,5,0,1,0,0,0,43,11,12,1,1,1,0,9
足立区小台１丁目,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0,0,0,0,0,4,5,3,1,0,0,0,2
足立区小台２丁目,9,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,1,2,0,1,0,0,1
足立区宮城１丁目,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,5,5,1,0,0,0,4
足立区宮城２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
足立区鹿浜１丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,0,0,1,0,0,0,0,1,2,0,1,0,0,1
足立区鹿浜２丁目,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,8,0,0,4,0,0,0,0,0,0,1,3,6,1,1,0,0,4
足立区鹿浜３丁目,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
足立区鹿浜４丁目,16,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,12,0,0,9,0,0,0,0,0,0,0,3,1,0,0,0,0,1
足立区鹿浜５丁目,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,7,0,0,0,0,0,0,1,2,4,1,0,0,0,3
足立区鹿浜６丁目,23,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,9,1,0,0,0,0,0,0,7,3,1,0,0,0,2
足立区鹿浜７丁目,14,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,2,2,0,0,0,0,0,4,2,2,0,0,0,0,2
