,,相談事は経営者が従業員から直接受ける,相談事は上司を通じて経営者に伝わる,相談事は経営者に伝わらない,相談事を受けるのは上司以外の従業員が多い,従業員は相談をあまりしない,その他,無回答,ｎ
,今回調査（全体）,64.3 ,23.2 ,0.7 ,1.3 ,8.0 ,1.0 ,1.5 ,1382
業種別,情報・コンテンツ業,63.3 ,27.9 ,0.5 ,1.2 ,4.9 ,1.0 ,1.2 ,412 
業種別,専門サービス業,75.7 ,11.4 ,0.7 ,1.0 ,9.2 ,0.5 ,1.5 ,411 
業種別,技術サービス業,62.8 ,22.0 ,0.5 ,1.6 ,12.6 ,0.0 ,0.5 ,191 
業種別,事業サービス業,52.5 ,32.3 ,0.9 ,1.8 ,7.9 ,2.3 ,2.3 ,341 
特定10業種,ソフトウェア業,56.8 ,32.7 ,0.5 ,2.0 ,5.5 ,1.0 ,1.5 ,199 
特定10業種,インターネット附随サービス業,73.3 ,23.3 ,0.0 ,0.0 ,0.0 ,0.0 ,3.3 ,30 
特定10業種,映像情報制作・配給業,65.1 ,27.9 ,0.0 ,0.0 ,2.3 ,2.3 ,2.3 ,43 
特定10業種,出版業,70.3 ,21.6 ,0.0 ,0.0 ,8.1 ,0.0 ,0.0 ,37 
特定10業種,税理士事務所,83.6 ,3.6 ,0.0 ,0.7 ,10.7 ,0.0 ,1.4 ,140 
特定10業種,デザイン業,64.6 ,20.8 ,2.1 ,2.1 ,10.4 ,0.0 ,0.0 ,48 
特定10業種,経営コンサルタント業,69.5 ,20.3 ,1.7 ,0.0 ,1.7 ,0.0 ,6.8 ,59 
特定10業種,建築設計業,68.0 ,21.6 ,1.0 ,0.0 ,8.2 ,0.0 ,1.0 ,97 
特定10業種,自動車整備業,46.2 ,11.5 ,0.0 ,0.0 ,38.5 ,3.8 ,0.0 ,26 
特定10業種,建物サービス業,58.8 ,23.8 ,1.3 ,3.8 ,5.0 ,1.3 ,6.3 ,80 
従業者規模別,1～2人,76.1 ,2.5 ,0.6 ,0.6 ,16.0 ,1.2 ,3.1 ,163 
従業者規模別,3～5人,83.7 ,5.2 ,0.5 ,0.7 ,8.4 ,0.2 ,1.4 ,443 
従業者規模別,6～9人,74.2 ,13.1 ,0.0 ,0.8 ,9.7 ,1.3 ,0.8 ,236 
従業者規模別,10～29人,51.0 ,36.0 ,1.0 ,2.5 ,4.8 ,2.2 ,2.5 ,314 
従業者規模別,30人以上,24.5 ,68.3 ,1.4 ,1.9 ,3.4 ,0.5 ,0.0 ,208
年間売上高増減別（３年前）,大幅(10％以上)増加,55.9 ,34.1 ,1.2 ,0.6 ,4.7 ,1.2 ,2.4 ,170
年間売上高増減別（３年前）,やや(10％未満)増加,58.5 ,32.7 ,0.6 ,2.9 ,4.1 ,1.2 ,0.0 ,171
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,67.2 ,19.5 ,0.0 ,1.0 ,9.4 ,0.5 ,2.5 ,406
年間売上高増減別（３年前）,やや(10％未満)減少,66.1 ,21.3 ,1.1 ,0.5 ,7.7 ,2.7 ,0.5 ,183
年間売上高増減別（３年前）,大幅(10％以上)減少,65.4 ,19.9 ,1.0 ,1.7 ,10.2 ,0.7 ,1.2 ,413
売上高経常利益率別,黒字,61.9 ,26.4 ,0.6 ,1.1 ,7.6 ,1.1 ,1.4 ,936
売上高経常利益率別,赤字,68.7 ,16.1 ,0.9 ,1.5 ,9.7 ,1.2 ,1.8 ,329
経常損益の変化別（３年前）,増益,56.7 ,30.1 ,0.9 ,2.2 ,6.6 ,1.6 ,1.9 ,319
経常損益の変化別（３年前）,横ばい,63.7 ,23.3 ,0.5 ,0.7 ,9.3 ,0.7 ,2.0 ,443
経常損益の変化別（３年前）,減益,68.1 ,19.6 ,0.7 ,1.4 ,8.2 ,1.1 ,0.9 ,570
代表者の年齢別,40歳未満,58.3 ,36.1 ,0.0 ,0.0 ,2.8 ,2.8 ,0.0 ,36
代表者の年齢別,40歳代,62.9 ,29.1 ,0.9 ,2.3 ,2.3 ,0.9 ,1.4 ,213
代表者の年齢別,50歳代,61.5 ,24.5 ,0.7 ,0.5 ,9.5 ,1.7 ,1.7 ,421
代表者の年齢別,60歳代,66.0 ,21.6 ,1.0 ,2.4 ,7.0 ,0.5 ,1.5 ,412
代表者の年齢別,70歳以上,68.8 ,16.5 ,0.0 ,0.4 ,11.9 ,0.7 ,1.8 ,285
0.0 ,36ﾔ盗,南大沢,北野駅前交番,132012,東京都,八王子市,北野町,2018-03-23,21,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南大沢,北野駅前交番,132012,東京都,八王子市,北野町,2018-07-06,08,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南大沢,北野駅前交番,132012,東京都,八王子市,北野町,2018-09-14,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南大沢,北野駅前交番,132012,東京都,八王子市,北野町,2018-10-12,10,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南大沢,北野駅前交番,132012,東京都,八王子市,長沼町,2018-02-06,18,４階建て以上共同住宅,10歳代,小学生,施錠した
窃盗,自転車盗,南大沢,北野駅前交番,132012,東京都,八王子市,長沼町,2018-05-27,01,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,南大沢,下柚木交番,132012,東京都,八王子市,越野,2018-07-15,20,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,南大沢,下柚木交番,132012,東京都,八王子市,越野,2018-08-08,18,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南大沢,下柚木交番,132012,東京都,八王子市,下柚木２丁目,2018-05-13,10,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,下柚木交番,132012,東京都,八王子市,下柚木２丁目,2018-10-09,18,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,下柚木交番,132012,東京都,八王子市,松木,2018-08-31,12,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2017-12-28,16,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-02-09,08,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-02-15,13,その他,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-02-28,10,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-03-25,19,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-04-01,08,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-04-17,16,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-04-19,13,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-06-10,12,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-06-21,05,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-07-03,10,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-07-17,19,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-07-29,10,その他,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-08-29,18,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-09-14,10,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-09-27,17,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-10-04,14,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,南大沢,松が谷交番,132012,東京都,八王子市,大塚,2018-10-08,18,駐車（輪）場,20歳代,大学生,施錠した
