表側１,表側２,表側３,回答企業数(件),規模の拡大(％),利益の拡大(％),知名度の向上(％),地域や社会への貢献(％),業界の発展(％),持続的経営(％),雇用の維持(％),従業員の成長?幸福(％),企業理念等の実現(％),その他(％),無回答(％)
,,今回調査（全体）,2003,3.6,30.1,14.4,36.5,10.2,67.6,15.9,22,7.6,4.1,5.3
業種別,,総合商品小売業,164,7.9,57.9,6.7,39,8.5,64,58.5,55.5,9.8,2.4,1.2
業種別,,生鮮食品小売業,113,1.8,14.2,13.3,35.4,4.4,68.1,8,15,5.3,0.9,8
業種別,,食料品関連小売業,511,2.7,27,13.3,37.2,7.6,67.9,9.2,16.6,6.8,4.3,5.9
業種別,,衣料品関連小売業,314,2.2,26.4,16.2,30.9,8.3,71,9.9,15.6,7,4.5,5.4
業種別,,住関連小売業,162,3.1,27.2,19.8,35.8,8,75.9,12.3,22.8,4.3,2.5,5.6
業種別,,その他小売業,737,4.3,30.8,14.9,38.3,14.5,64.9,15.5,21.7,9.1,4.9,5.4
従業者規模別,,1～2人,1059,1.8,23.7,13.9,32.8,8.3,65.7,2,5.3,3.9,5.5,7.6
従業者規模別,,3～5人,488,3.3,29.5,16.2,40.4,12.7,71.9,18.2,31.6,9.6,3.1,3.1
従業者規模別,,6～19人,272,5.9,44.9,15.8,44.1,11,66.2,48.2,52.2,12.9,1.1,1.5
従業者規模別,,20人以上,134,14.9,56.7,11.2,43.3,14.9,73.9,56.7,61.2,20.1,0,0.7
売上高増減別(前年同期比),,増加,138,5.8,41.3,22.5,43.5,12.3,73.2,27.5,39.9,12.3,3.6,2.9
売上高増減別(前年同期比),,横ばい,251,3.6,28.3,12,37.8,6.4,72.5,17.9,24.7,4.4,1.2,3.6
売上高増減別(前年同期比),,減少,1536,3.6,29.6,14.2,35.7,10.7,66.7,14.6,20.2,7.9,4.6,5.3
売上高増減別(3年前),,増加,130,8.5,51.5,30.8,40,18.5,70.8,32.3,50,14.6,4.6,2.3
売上高増減別(3年前),,横ばい,338,3.8,26.9,13.3,39.9,8.9,73.4,20.4,26.3,8,1.8,1.8
売上高増減別(3年前),,減少,1346,3.3,29.4,13.7,36.1,10.5,67.2,13.3,18,6.7,4.2,5.7
経常損益の変化別(前年同期比),,増益,109,8.3,41.3,19.3,48.6,11,68.8,29.4,39.4,11,5.5,3.7
経常損益の変化別(前年同期比),,横ばい,337,2.1,30.6,13.4,39.5,8.6,73.3,19.6,24.3,7.7,1.2,3.9
経常損益の変化別(前年同期比),,減益,1406,3.8,30,14.7,35.6,10.7,67,14.7,20.6,7.7,4.4,5
経常損益の変化別(3年前),,増益,208,4.3,40.4,18.8,44.2,15.9,72.6,21.6,28.4,12.5,4.3,1.4
経常損益の変化別(3年前),,横ばい,615,2.9,28.6,15.4,36.1,11.4,70.9,13.5,21.5,5.5,3.3,4.7
経常損益の変化別(3年前),,減益,937,4.4,31.1,14.1,35.9,9.7,66.1,17,20.7,7.8,4.1,4.6
売上高増減別(,0,0,5
足立区梅田４丁目,8,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0
足立区梅田５丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
足立区梅田６丁目,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,1,0,0,0,0,0,1,1,5,1,1,0,0,3
足立区梅田７丁目,52,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,2,39,0,0,12,1,0,0,0,0,2,14,10,8,2,3,0,0,3
足立区梅田８丁目,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,2,0,0,0,0,0,2,5,0,0,0,0,0,0
足立区島根１丁目,14,0,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,1,9,0,0,5,0,0,0,0,0,0,0,4,1,1,0,0,0,0
足立区島根２丁目,35,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,22,2,0,0,0,0,0,0,6,2,1,0,0,0,1
足立区島根３丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,1,0,0,0,0,0,1,3,3,0,1,0,0,2
足立区島根４丁目,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,1,2,1,8,0,2,0,0,6
足立区梅島１丁目,35,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,30,1,0,17,3,0,0,0,0,0,6,3,3,2,0,0,0,1
足立区梅島２丁目,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,2,0,0,0,1,0,0,2,4,1,1,0,0,2
足立区梅島３丁目,93,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,78,0,0,18,5,0,1,0,0,0,43,11,12,1,1,1,0,9
足立区小台１丁目,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0,0,0,0,0,4,5,3,1,0,0,0,2
足立区小台２丁目,9,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,1,2,0,1,0,0,1
足立区宮城１丁目,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,5,5,1,0,0,0,4
足立区宮城２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
足立区鹿浜１丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,0,0,1,0,0,0,0,1,2,0,1,0,0,1
