,,ＦＡＸ             ,電話                ,電子メール          ,その他              ,特になし            ,  無回答            ,ｎ
,今回調査（全体）,4.5 ,13.4 ,70.0 ,3.4 ,4.4 ,4.2 ,2348 
業種別,情報・コンテンツ業,2.0 ,3.9 ,83.4 ,5.9 ,1.7 ,3.0 ,640 
業種別,専門サービス業,3.4 ,12.8 ,70.2 ,2.8 ,7.4 ,3.3 ,820 
業種別,技術サービス業,2.1 ,13.2 ,77.1 ,1.8 ,2.6 ,3.2 ,340 
業種別,事業サービス業,10.8 ,26.2 ,48.5 ,2.6 ,4.5 ,7.3 ,507 
特定10業種,ソフトウェア業,1.0 ,2.1 ,84.6 ,7.7 ,2.4 ,2.1 ,286 
特定10業種,インターネット附随サービス業,1.6 ,0.0 ,85.5 ,11.3 ,0.0 ,1.6 ,62 
特定10業種,映像情報制作・配給業,0.0 ,5.9 ,83.8 ,4.4 ,1.5 ,4.4 ,68 
特定10業種,出版業,14.5 ,12.7 ,65.5 ,1.8 ,0.0 ,5.5 ,55 
特定10業種,税理士事務所,6.4 ,26.6 ,45.0 ,3.2 ,14.7 ,4.1 ,218 
特定10業種,デザイン業,1.0 ,3.8 ,90.4 ,0.0 ,1.0 ,3.8 ,104 
特定10業種,経営コンサルタント業,1.7 ,6.1 ,81.6 ,2.2 ,4.5 ,3.9 ,179 
特定10業種,建築設計業,1.1 ,8.9 ,84.4 ,1.7 ,2.8 ,1.1 ,180 
特定10業種,自動車整備業,11.1 ,61.1 ,11.1 ,1.9 ,1.9 ,13.0 ,54 
特定10業種,建物サービス業,14.4 ,27.9 ,42.3 ,2.7 ,4.5 ,8.1 ,111 
従業者規模別,１～２人,3.9 ,13.4 ,70.1 ,3.2 ,5.8 ,3.6 ,971 
従業者規模別,３～５人,4.7 ,14.0 ,68.1 ,3.5 ,3.8 ,5.9 ,573 
従業者規模別,６～９人,5.2 ,12.8 ,68.8 ,3.2 ,6.4 ,3.6 ,250 
従業者規模別,10～29人,3.8 ,13.6 ,72.8 ,2.5 ,2.2 ,5.1 ,316 
従業者規模別,30人以上,5.7 ,12.9 ,73.8 ,5.7 ,0.5 ,1.4 ,210 
年間売上高増減別（３年前）,大幅(10％以上)増加,1.7 ,7.7 ,80.3 ,3.8 ,3.0 ,3.4 ,234 
年間売上高増減別（３年前）,やや(10％未満)増加,3.8 ,10.9 ,74.8 ,5.9 ,1.3 ,3.4 ,238 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,4.2 ,16.3 ,65.6 ,3.3 ,6.5 ,4.1 ,662 
年間売上高増減別（３年前）,やや(10％未満)減少,6.8 ,16.2 ,63.0 ,2.9 ,5.8 ,5.2 ,308 
年間売上高増減別（３年前）,大幅(10％以上)減少,5.4 ,13.1 ,71.4 ,2.6 ,3.4 ,4.0 ,795 
売上高経常利益率別,黒字,3.9 ,12.6 ,71.7 ,3.2 ,5.2 ,3.5 ,1409 
売上高経常利益率別,赤字,4.9 ,13.3 ,70.6 ,3.6 ,2.7 ,4.9 ,693 
経常損益の変化別（３年前）,増益,3.8 ,9.0 ,74.8 ,4.9 ,4.3 ,3.2 ,469 
経常損益の変化別（３年前）,横ばい,4.4 ,16.7 ,65.2 ,3.0 ,5.9 ,4.7 ,765 
経常損益の変化別（３年前）,減益,5.2 ,13.4 ,71.4 ,2.7 ,3.3 ,4.0 ,973 
従業者規模�
窃盗,車上ねらい,城東,砂町交番,131083,東京都,江東区,北砂４丁目,2018-07-04,17,道路上,施錠せず,あり
窃盗,車上ねらい,城東,砂町交番,131083,東京都,江東区,北砂４丁目,2018-10-29,08,その他,施錠せず,あり
窃盗,車上ねらい,城東,砂町交番,131083,東京都,江東区,北砂４丁目,2018-11-20,13,道路上,施錠せず,なし
窃盗,車上ねらい,城東,砂町交番,131083,東京都,江東区,北砂４丁目,2018-12-02,12,その他,施錠せず,あり
窃盗,車上ねらい,城東,砂町交番,131083,東京都,江東区,北砂４丁目,2018-12-25,05,道路上,施錠せず,あり
窃盗,車上ねらい,城東,砂町交番,131083,東京都,江東区,北砂５丁目,2018-04-10,18,道路上,施錠せず,なし
窃盗,車上ねらい,城東,北砂五丁目交番,131083,東京都,江東区,北砂２丁目,2018-03-19,16,道路上,施錠せず,あり
窃盗,車上ねらい,城東,北砂五丁目交番,131083,東京都,江東区,北砂４丁目,2018-10-09,18,道路上,施錠せず,なし
窃盗,車上ねらい,城東,北砂五丁目交番,131083,東京都,江東区,北砂５丁目,2018-12-04,18,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,城東,番所橋交番,131083,東京都,江東区,東砂１丁目,2018-05-12,19,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,城東,番所橋交番,131083,東京都,江東区,東砂２丁目,2018-11-13,19,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,城東,番所橋交番,131083,東京都,江東区,東砂４丁目,2018-09-04,15,道路上,施錠せず,あり
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島５丁目,2018-07-29,09,道路上,施錠せず,なし
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島５丁目,2018-09-27,07,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島５丁目,2018-12-05,12,道路上,施錠せず,なし
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島６丁目,2018-06-18,02,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島６丁目,2018-11-19,18,道路上,施錠せず,なし
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島７丁目,2018-02-12,12,道路上,施錠せず,あり
窃盗,車上ねらい,城東,大島交番,131083,東京都,江東区,大島７丁目,2018-12-12,19,道路上,施錠せず,あり
窃盗,車上ねらい,城東,亀戸交番,131083,東京都,江東区,亀戸７丁目,2018-05-21,20,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,城東,天神橋交番,131083,東京都,江東区,亀戸２丁目,2018-07-17,17,道路上,施錠せず,なし
窃盗,車上ねらい,城東,亀戸駅前交番,131083,東京都,江東区,大島５丁目,2018-11-19,16,道路上,施錠せず,なし
窃盗,車上ねらい,城東,亀戸駅前交番,131083,東京都,江東区,亀戸２丁目,2018-06-07,09,その他,施錠せず,あり
窃盗,車上ねらい,城東,亀戸駅前交番,131083,東京都,江東区,亀戸２丁目,2018-12-26,21,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,城東,亀戸駅前交番,131083,東京都,江東区,亀戸５丁目,2018-02-13,13,道路上,施錠せず,あり
窃盗,車上ねらい,城東,亀戸駅前交番,131083,東京都,江東区,亀戸５丁目,2018-07-21,17,道路上,施錠せず,なし
