,,経営情報は全て従業員に知らせる,経営情報のうち従業員が活動に必要な事項は知らせる,経営情報は従業員には知らせない,その他,無回答,ｎ
,今回調査（全体）,21.3 ,66.8 ,10.3 ,0.4 ,1.2 ,1382 
業種別,情報・コンテンツ業,21.6 ,70.4 ,7.3 ,0.5 ,0.2 ,412 
業種別,専門サービス業,22.4 ,61.3 ,14.4 ,0.5 ,1.5 ,411 
業種別,技術サービス業,22.0 ,68.1 ,9.4 ,0.0 ,0.5 ,191 
業種別,事業サービス業,18.8 ,68.6 ,10.0 ,0.6 ,2.1 ,341 
特定10業種,ソフトウェア業,25.1 ,66.8 ,6.5 ,1.0 ,0.5 ,199 
特定10業種,インターネット附随サービス業,13.3 ,83.3 ,3.3 ,0.0 ,0.0 ,30 
特定10業種,映像情報制作・配給業,11.6 ,79.1 ,9.3 ,0.0 ,0.0 ,43 
特定10業種,出版業,29.7 ,62.2 ,8.1 ,0.0 ,0.0 ,37 
特定10業種,税理士事務所,24.3 ,55.0 ,18.6 ,0.7 ,1.4 ,140 
特定10業種,デザイン業,25.0 ,60.4 ,14.6 ,0.0 ,0.0 ,48 
特定10業種,経営コンサルタント業,27.1 ,57.6 ,8.5 ,0.0 ,6.8 ,59 
特定10業種,建築設計業,19.6 ,70.1 ,9.3 ,0.0 ,1.0 ,97 
特定10業種,自動車整備業,19.2 ,69.2 ,11.5 ,0.0 ,0.0 ,26 
特定10業種,建物サービス業,21.3 ,62.5 ,12.5 ,1.3 ,2.5 ,80 
従業者規模別,1～2人,29.4 ,50.9 ,15.3 ,1.8 ,2.5 ,163 
従業者規模別,3～5人,25.1 ,62.8 ,10.4 ,0.2 ,1.6 ,443 
従業者規模別,6～9人,18.2 ,65.7 ,14.8 ,0.4 ,0.8 ,236 
従業者規模別,10～29人,15.0 ,76.1 ,8.0 ,0.3 ,0.6 ,314 
従業者規模別,30人以上,19.7 ,74.5 ,5.3 ,0.0 ,0.5 ,208
年間売上高増減別（３年前）,大幅(10％以上)増加,18.2 ,72.4 ,7.6 ,1.8 ,0.0 ,170
年間売上高増減別（３年前）,やや(10％未満)増加,18.7 ,73.1 ,8.2 ,0.0 ,0.0 ,171
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,22.2 ,65.3 ,10.6 ,0.0 ,2.0 ,406
年間売上高増減別（３年前）,やや(10％未満)減少,23.0 ,65.6 ,10.4 ,0.5 ,0.5 ,183
年間売上高増減別（３年前）,大幅(10％以上)減少,20.8 ,65.6 ,11.6 ,0.5 ,1.5 ,413
売上高経常利益率別,黒字,20.6 ,68.7 ,9.5 ,0.5 ,0.6 ,936
売上高経常利益率別,赤字,24.0 ,63.2 ,10.9 ,0.0 ,1.8 ,329
経常損益の変化別（３年前）,増益,19.1 ,69.3 ,11.0 ,0.6 ,0.0 ,319
経常損益の変化別（３年前）,横ばい,23.5 ,63.9 ,9.9 ,0.7 ,2.0 ,443
経常損益の変化別（３年前）,減益,20.0 ,68.4 ,10.4 ,0.2 ,1.1 ,570
年間売上高増捲都,羽村市,栄町２丁目,2018-07-01,05,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,栄町２丁目,2018-07-05,15,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,栄町２丁目,2018-07-08,16,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-01-03,19,道路上,20歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-01-07,12,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-02-04,22,道路上,40歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-02-14,10,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-08-13,08,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-09-12,08,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-10-14,06,道路上,30歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-10-30,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-12-07,18,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-03-04,18,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-05-29,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-05-29,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-06-01,09,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-07-12,08,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-08-03,14,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-09-14,15,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-09-15,20,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-10-03,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,福生,小作駅前交番,132276,東京都,羽村市,小作台３丁目,2018-02-01,13,駐車（輪）場,50歳代,その他,施錠した
