表側１,表側２,表側３,回答企業数(件),受注の当日(％),受注の翌日(％),受注の翌々日(％),受注後3～6日(％),受注後１週間以上(％),無回答(％)
,,今回調査（全体）,760,12.6,33.2,10.5,16.6,24.1,3
,,前回調査,823,13.6,28.2,11.7,16.6,25.4,4.5
業種別,,食料品卸売業,237,21.9,47.3,9.3,11.8,7.6,2.1
業種別,,生鮮食品卸売業,126,30.2,50.8,4.8,7.1,6.3,0.8
業種別,,加工食品等卸売業,111,12.6,43.2,14.4,17.1,9,3.6
業種別,,衣料品関連卸売業,145,11.7,17.9,9,20,35.9,5.5
業種別,,住関連卸売業,83,2.4,27.7,12,19.3,34.9,3.6
業種別,,その他卸売業,288,8,30.9,12.2,18.4,28.1,2.4
従業者規模別,,1～5人,399,12.8,29.3,11.5,18,25.6,2.8
従業者規模別,,6～9人,101,11.9,31.7,9.9,17.8,25.7,3
従業者規模別,,10～49人,208,13.5,37.5,9.6,13,22.6,3.8
従業者規模別,,50人以上,36,8.3,58.3,5.6,13.9,13.9,0
取引形態別,一次卸,小売直取引卸,219,11.9,36.5,11.4,17.8,19.6,2.7
取引形態別,一次卸,他部門直取引卸,50,4,12,4,34,46,0
取引形態別,一次卸,元卸,154,9.1,31.8,13,12.3,31.8,1.9
取引形態別,二次卸,中間卸,85,14.1,36.5,12.9,16.5,15.3,4.7
取引形態別,二次卸,最終卸,135,27.4,35.6,8.9,11.9,14.8,1.5
取引形態別,その他,製造問屋,19,5.3,31.6,15.8,5.3,31.6,10.5
取引形態別,その他,その他卸,77,3.9,35.1,6.5,19.5,28.6,6.5
9.5,28.6,2ﾚ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
青梅市畑中１丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
青梅市畑中２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
青梅市畑中３丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1
青梅市和田町２丁目,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青梅市梅郷１丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
青梅市梅郷４丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
青梅市梅郷５丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
青梅市梅郷６丁目,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
青梅市柚木町１丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
青梅市柚木町３丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
