,,１割未満            ,１割以上～３割未満  ,３割以上～５割未満  ,５割以上～７割未満  ,７割以上            ,わからない          ,無回答,ｎ
,今回調査（全体）,2.1 ,2.0 ,2.4 ,3.8 ,86.7 ,1.1 ,1.9 ,2253 
業種別,情報・コンテンツ業,0.2 ,0.5 ,0.5 ,1.7 ,94.6 ,0.5 ,2.1 ,634 
業種別,専門サービス業,1.3 ,0.5 ,1.6 ,2.6 ,91.5 ,0.6 ,1.9 ,798 
業種別,技術サービス業,0.6 ,1.2 ,2.2 ,4.7 ,89.1 ,0.3 ,1.9 ,322 
業種別,事業サービス業,7.4 ,7.2 ,6.5 ,7.4 ,66.2 ,3.5 ,2.0 ,461 
特定10業種,ソフトウェア業,0.0 ,0.0 ,0.0 ,0.7 ,97.9 ,0.4 ,1.1 ,283 
特定10業種,インターネット附随サービス業,0.0 ,1.6 ,0.0 ,0.0 ,95.1 ,1.6 ,1.6 ,61 
特定10業種,映像情報制作・配給業,0.0 ,0.0 ,0.0 ,0.0 ,95.6 ,0.0 ,4.4 ,68 
特定10業種,出版業,1.8 ,3.6 ,1.8 ,3.6 ,87.3 ,1.8 ,0.0 ,55 
特定10業種,税理士事務所,1.4 ,0.5 ,0.5 ,2.4 ,91.9 ,1.0 ,2.4 ,210 
特定10業種,デザイン業,1.9 ,1.0 ,1.0 ,0.0 ,95.2 ,0.0 ,1.0 ,104 
特定10業種,経営コンサルタント業,0.6 ,1.1 ,1.7 ,2.9 ,90.9 ,0.6 ,2.3 ,175 
特定10業種,建築設計業,0.0 ,0.6 ,1.2 ,5.2 ,92.5 ,0.0 ,0.6 ,173 
特定10業種,自動車整備業,14.3 ,9.5 ,9.5 ,7.1 ,47.6 ,7.1 ,4.8 ,42 
特定10業種,建物サービス業,12.5 ,10.4 ,7.3 ,9.4 ,55.2 ,3.1 ,2.1 ,96 
従業者規模別,１～２人,2.3 ,0.9 ,2.2 ,3.8 ,86.9 ,0.9 ,3.1 ,914 
従業者規模別,３～５人,1.8 ,1.3 ,2.4 ,4.9 ,87.1 ,0.7 ,1.8 ,552 
従業者規模別,６～９人,1.2 ,3.7 ,2.5 ,2.5 ,88.9 ,0.8 ,0.4 ,243 
従業者規模別,10～29人,1.6 ,2.9 ,3.5 ,2.6 ,87.8 ,1.3 ,0.3 ,311 
従業者規模別,30人以上,2.9 ,5.3 ,2.4 ,3.9 ,81.6 ,2.9 ,1.0 ,206 
年間売上高増減別（３年前）,大幅(10％以上)増加,0.9 ,1.3 ,1.7 ,2.6 ,91.3 ,0.9 ,1.3 ,229
年間売上高増減別（３年前）,やや(10％未満)増加,1.7 ,1.7 ,1.3 ,2.1 ,89.7 ,0.4 ,3.0 ,233
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,2.2 ,1.9 ,2.7 ,4.1 ,85.7 ,2.1 ,1.3 ,631
年間売上高増減別（３年前）,やや(10％未満)減少,3.4 ,3.7 ,0.7 ,3.1 ,85.4 ,1.7 ,2.0 ,294
年間売上高増減別（３年前）,大幅(10％以上)減少,2.1 ,1.7 ,3.6 ,4.9 ,84.9 ,0.4 ,2.4 ,755
売上高経常利益率別,黒字,1.8 ,1.8 ,2.0 ,3.4 ,88.2 ,1.2 ,1.7 ,1362
売上高経常利益率別,赤字,2.7 ,2.3 ,3.6 ,4.4 ,84.2 ,0.8 ,2.0 ,660
経常損益の変化別（３年前）,増益,1.1 ,2.0 ,2.0 ,3.5 ,88.1 ,1.3 ,2.0 ,455
経常損益の変化別（３年前）,横ばい,3.3 ,2.5 ,2.2 ,3.7 ,85.9 ,1.0 ,1.5 ,732
経常損益の変化別（３年前）,減益,1.8 ,1.7 ,3.0 ,4.2 ,86.2 ,1.0 ,2.0 ,929
年間売上高増ｼ小岩３丁目,2018-11-02,23,その他の住宅（３階建て以下共同住宅等）,65-69歳,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,北小岩１丁目,2018-02-17,16,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,北小岩２丁目,2018-03-05,22,その他の住宅（３階建て以下共同住宅等）,10歳代,高校生,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,北小岩２丁目,2018-03-13,18,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,北小岩３丁目,2018-11-02,22,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,北小岩６丁目,2018-12-09,08,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,西小岩１丁目,2018-02-17,20,道路上,40歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,西小岩１丁目,2018-11-21,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,東小岩６丁目,2018-07-16,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2017-11-01,13,道路上,20歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2018-01-02,22,道路上,20歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2018-01-21,22,道路上,40歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2018-02-10,06,道路上,30歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2018-08-11,07,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2018-09-02,10,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,小岩,北小岩二丁目交番,131237,東京都,江戸川区,南小岩８丁目,2018-10-13,17,その他,40歳代,その他,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩２丁目,2018-01-17,16,その他の住宅（３階建て以下共同住宅等）,10歳代,高校生,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩２丁目,2018-02-04,19,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩２丁目,2018-09-02,11,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩６丁目,2018-04-29,16,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩６丁目,2018-07-21,09,道路上,20歳代,その他,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩６丁目,2018-07-31,16,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,北小岩６丁目,2018-11-02,07,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,小岩,京成小岩駅前交番,131237,東京都,江戸川区,西小岩４丁目,2018-04-02,23,４階建て以上共同住宅,20歳代,その他,施錠した
