,,集めている          ,集めていない        ,無回答,ｎ
,今回調査（全体）,77.3,19.8,3,2253
業種別,情報・コンテンツ業,79.3,18.6,2.1,634
業種別,専門サービス業,77.3,19.2,3.5,798
業種別,技術サービス業,84.2,13.7,2.2,322
業種別,事業サービス業,71.4,25.6,3,461
特定10業種別,ソフトウェア業,83,15.9,1.1,283
特定10業種別,インターネット附随サービス業,85.2,13.1,1.6,61
特定10業種別,映像情報制作・配給業,73.5,23.5,2.9,68
特定10業種別,出版業,72.7,23.6,3.6,55
特定10業種別,税理士事務所,75.7,21,3.3,210
特定10業種別,デザイン業,82.7,13.5,3.8,104
特定10業種別,経営コンサルタント業,72,26.3,1.7,175
特定10業種別,建築設計業,84.4,15,0.6,173
特定10業種別,自動車整備業,54.8,26.2,19,42
特定10業種別,建物サービス業,74,26,0,96
従業者規模別,1～2人,76.1,20.8,3.1,914
従業者規模別,3～5人,75.7,20.5,3.8,552
従業者規模別,6～9人,77.8,18.5,3.7,243
従業者規模別,10～29人,78.1,20.3,1.6,311
従業者規模別,30人以上,85.4,13.6,1,206
年間売上高増減別（３年前）,大幅(10％以上)増加,82.1,16.6,1.3,229
年間売上高増減別（３年前）,やや(10％未満)増加,81.1,17.6,1.3,233
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,76.2,19.7,4.1,631
年間売上高増減別（３年前）,やや(10％未満)減少,74.1,22.1,3.7,294
年間売上高増減別（３年前）,大幅(10％以上)減少,76.6,20.4,3,755
売上高経常利益率別,黒字,78,19.5,2.5,1362
売上高経常利益率別,赤字,76.5,20,3.5,660
経常損益の変化別（３年前）,増益,80.7,17.4,2,455
経常損益の変化別（３年前）,横ばい,76.9,19.5,3.6,732
経常損益の変化別（３年前）,減益,75.9,20.8,3.3,929
年間売上高増東区,上野３丁目,2018-11-01,16,道路上,40歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野５丁目,2018-02-04,10,道路上,40歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野５丁目,2018-02-06,17,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野５丁目,2018-05-29,21,道路上,20歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野５丁目,2018-10-26,19,道路上,40歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野６丁目,2017-12-28,11,道路上,40歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野６丁目,2018-01-03,15,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野６丁目,2018-04-28,14,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,上野６丁目,2018-05-20,12,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東３丁目,2017-11-27,22,道路上,30歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東３丁目,2018-02-24,00,道路上,40歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東３丁目,2018-03-24,17,道路上,30歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東４丁目,2017-11-24,01,道路上,30歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東４丁目,2018-05-29,14,道路上,30歳代,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東４丁目,2018-06-05,16,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,上野,御徒町交番,131067,東京都,台東区,台東４丁目,2018-09-19,14,駐車（輪）場,60-64歳,その他,施錠した
