表側１,表側２,表側３,回答企業数(件),進んだ(％),変わらない(％),わからない(％),無回答(％)
,,今回調査（全体）,725,31.6,42.9,15.9,9.7
業種別,,食料品卸売業,222,28.4,38.7,16.7,16.2
業種別,,生鮮食品卸売業,116,25,38.8,16.4,19.8
業種別,,加工食品等卸売業,106,32.1,38.7,17,12.3
業種別,,衣料品関連卸売業,140,36.4,37.9,17.9,7.9
業種別,,住関連卸売業,80,33.8,47.5,15,3.8
業種別,,その他卸売業,276,30.8,47.5,14.5,7.2
従業者規模別,,1～5人,376,18.1,45.2,23.7,13
従業者規模別,,6～9人,99,40.4,44.4,8.1,7.1
従業者規模別,,10～49人,204,45.6,40.2,7.8,6.4
従業者規模別,,50人以上,35,68.6,28.6,2.9,0
取引形態別,一次卸,小売直取引卸,212,33,44.3,12.3,10.4
取引形態別,一次卸,他部門直取引卸,47,46.8,38.3,12.8,2.1
取引形態別,一次卸,元卸,148,39.9,40.5,12.8,6.8
取引形態別,二次卸,中間卸,80,15,48.8,22.5,13.8
取引形態別,二次卸,最終卸,128,30.5,40.6,18,10.9
取引形態別,その他,製造問屋,19,42.1,31.6,15.8,10.5
取引形態別,その他,その他卸,71,19.7,49.3,23.9,7
売上高増減別(前年同期比),,増加,54,50,37,3.7,9.3
売上高増減別(前年同期比),,横ばい,102,32.4,46.1,16.7,4.9
売上高増減別(前年同期比),,減少,558,29.6,43.2,16.8,10.4
売上高増減別(３年前),,増加,136,47.8,36,9.6,6.6
売上高増減別(３年前),,横ばい,130,31.5,47.7,14.6,6.2
売上高増減別(３年前),,減少,443,26.4,43.3,18.7,11.5
取引形態別,�,0,0,0,0,0,0,6,0,0,3,1,0,0,0,0,0,1,1,1,1,0,0,0,0
調布市深大寺東町４丁目,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
調布市深大寺東町５丁目,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,1,2,2,0,0,0,0
調布市深大寺東町６丁目,7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
調布市深大寺東町７丁目,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2
調布市深大寺東町８丁目,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,3,0,0,1,0,0,0,1,0,3,1,0,0,0,2
調布市八雲台１丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,4,3,0,0,0,1
調布市八雲台２丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
調布市計,1721,1,0,1,79,0,39,31,6,3,41,1,1,5,1,21,6,1,5,1195,0,15,694,54,11,5,11,4,8,208,185,405,151,57,2,0,195
町田市原町田１丁目,40,0,0,0,8,0,6,1,1,0,1,0,0,0,0,1,0,0,0,20,0,0,5,0,0,0,2,0,3,2,8,11,2,2,0,0,7
町田市原町田２丁目,20,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,0,3,7,0,0,0,0,0,0,1,2,4,2,0,0,0,2
町田市原町田３丁目,25,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,4,0,0,0,0,0,0,7,2,7,1,0,0,0,6
町田市原町田４丁目,119,1,0,1,9,0,5,3,1,0,6,1,0,3,1,0,0,0,1,78,0,2,23,1,0,0,1,0,2,32,17,25,7,2,0,0,16
町田市原町田５丁目,15,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,1,8,0,0,3,1,0,1,0,0,0,1,2,3,1,0,0,0,2
町田市原町田６丁目,376,3,2,1,48,0,30,15,2,1,20,0,0,0,19,0,0,0,1,254,0,1,40,3,2,0,5,2,7,139,55,51,7,10,0,0,34
町田市森野１丁目,136,0,0,0,9,0,7,1,1,0,6,0,0,0,2,0,0,0,4,105,0,6,45,1,0,1,0,0,4,27,21,16,6,3,0,0,7
町田市森野２丁目,26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,2,0,0,4,12,3,3,4,0,2
