表側１,表側２,表側３,回答企業数(件),子・子の配偶者に継がせたい(％),配偶者に継がせたい(％),子・配偶者以外の親族に継がせたい(％),従業員に継がせたい(％),外部の人間に継がせたい(％),誰でもよいから継がせたい(％),親会社が決定する(％),他社に売却したい(％),まだ決める時期にない(％),決める必要があるがまだ決められていない(％),その他(％),無回答(％)
,,今回調査（全体）,1554,25.9,1.5,1.4,3.5,1.8,2.3,1,0.8,26.3,18.1,5.8,11.6
業種別,,総合商品小売業,147,34,2,0.7,12.2,0,4.8,2.7,0,29.3,7.5,0,6.8
業種別,,生鮮食品小売業,74,21.6,0,1.4,2.7,0,1.4,0,0,20.3,24.3,8.1,20.3
業種別,,食料品関連小売業,380,28.2,1.3,1.1,0.8,0.8,1.3,0.8,0.8,27.1,16.6,7.6,13.7
業種別,,衣料品関連小売業,232,22.4,0.9,1.3,1.7,0,1.7,0.4,0.4,26.3,21.1,5.2,18.5
業種別,,住関連小売業,126,24.6,4,3.2,3.2,1.6,1.6,0.8,0,20.6,25.4,6.3,8.7
業種別,,その他小売業,593,24.8,1.3,1.3,3.9,3.9,2.9,1.2,1.5,27.2,18,5.9,8.1
経常損益の変化別(前年同期比),,増益,96,20.8,0,0,6.3,4.2,4.2,1,1,32.3,16.7,7.3,6.3
経常損益の変化別(前年同期比),,横ばい,278,29.9,1.1,1.8,2.9,1.1,2.2,1.1,0.7,25.5,16.5,7.6,9.7
経常損益の変化別(前年同期比),,減益,1080,25.2,1.7,1.5,3.6,1.9,2.2,1.1,0.9,26.4,18.2,5.2,12.1
経常損益の変化別(3年前),,増益,184,30.4,1.1,2.7,5.4,2.2,3.8,1.1,1.6,23.4,12.5,7.6,8.2
経常損益の変化別(3年前),,横ばい,476,25.4,2.3,1.1,2.9,1.7,2.5,1.1,0.6,28.8,19.1,5.5,9
経常損益の変化別(3年前),,減益,717,26.9,1.4,1.5,3.8,1.8,1.5,1,0.8,25.8,17.2,5.2,13.1
代表者の年齢別,,40歳未満,41,7.3,2.4,2.4,2.4,0,7.3,2.4,2.4,58.5,2.4,2.4,9.8
代表者の年齢別,,40歳代,176,18.2,1.1,0,4.5,2.8,2.8,3.4,2.8,51.1,6.3,1.7,5.1
代表者の年齢別,,50歳代,309,19.1,0.6,1.6,6.5,1.9,1.3,0.6,1.6,38.2,13.3,5.2,10
代表者の年齢別,,60歳代,411,23.1,1.2,1.5,3.6,1.5,2.4,0.5,0.2,24.8,24.3,5.8,10.9
代表者の年齢別,,70歳以上,606,34.5,2.1,1.5,1.7,1.8,2.3,0.8,0.2,11.9,21,7.6,14.7
経常損益の変蔵村山市計,538,2,2,0,31,0,17,10,2,2,16,0,0,2,0,8,3,1,2,384,1,20,190,21,1,2,1,1,2,88,57,105,20,13,2,0,70
多摩市関戸１丁目,54,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,21,1,0,0,1,0,0,23,4,2,1,0,0,0,1
多摩市関戸２丁目,31,0,0,0,5,0,3,2,0,0,2,0,0,0,0,1,0,0,1,12,0,1,3,1,0,0,0,0,0,0,7,12,2,5,0,0,5
多摩市関戸３丁目,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2
多摩市関戸４丁目,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,8,1,0,0,0,0,1,20,7,4,2,0,0,0,2
多摩市関戸５丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,1
多摩市関戸６丁目,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,1
多摩市連光寺１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1
多摩市連光寺２丁目,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2
多摩市連光寺３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0
多摩市連光寺５丁目,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
多摩市貝取,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
多摩市乞田,17,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8,0,1,3,0,0,1,0,0,0,2,1,7,2,0,0,0,5
多摩市落合１丁目,130,1,1,0,6,0,4,2,0,0,1,0,0,0,0,1,0,0,0,102,0,5,16,3,0,0,2,0,4,50,22,20,8,5,0,0,7
多摩市落合２丁目,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,1,0,0,0,0,0,7,3,1,1,0,0,0,0
