,,業務の効率性(生産性)の向上            ,従業員のワークライフバランスの向上      ,多様な働き方の実現  ,災害時に事業継続が可能                  ,固定費の削減（通勤費、賃料等）          ,人材の確保・流出の防止                  ,その他              ,無回答, n
, 今回調査（全体）,52.4,45.3,56.4,24,31.1,12.6,7.6,0.9,1284
業種別,情報・コンテンツ業,55.6,52.6,56.5,22.2,36.5,14.9,7.7,0.4,504
業種別,専門サービス業,56.8,39.8,54.8,23.9,28.9,11.1,6.4,1.6,440
業種別,技術サービス業,43,42.4,59.4,24.2,25.5,11.5,7.3,0,165
業種別,事業サービス業,41.7,43.7,56.3,33.1,26.5,10.6,9.3,1.3,151
特定10業種別,ソフトウェア業,52.3,52.7,55.9,22.7,40.6,17.6,9,0.8,256
特定10業種別,インターネット附随サービス業,60,48.9,64.4,28.9,53.3,20,2.2,0,45
特定10業種別,映像情報制作・配給業,60,46.7,71.1,13.3,22.2,8.9,6.7,0,45
特定10業種別,出版業,43.8,40.6,50,15.6,21.9,3.1,15.6,0,32
特定10業種別,税理士事務所,35.9,43.6,48.7,33.3,11.5,9,6.4,1.3,78
特定10業種別,デザイン業,46.7,36.7,50,30,36.7,13.3,3.3,8.3,60
特定10業種別,経営コンサルタント業,66.7,38.8,58.9,19.4,34.1,11.6,5.4,0.8,129
特定10業種別,建築設計業,47.1,43.1,66.7,22.5,24.5,10.8,3.9,0,102
特定10業種別,自動車整備業,50,50,50,0,50,50,50,0,2
特定10業種別,建物サービス業,50,28.6,28.6,35.7,28.6,7.1,7.1,0,14
従業者規模別,2人,69,36.7,48.2,12.8,38.9,4.9,8.4,0.9,226
従業者規模別,3～5人,47.4,55.1,56.2,28.8,27,14.2,2.6,0.4,274
従業者規模別,6～9人,44.1,54.4,59.6,36.8,18.4,19.1,8.1,1.5,136
従業者規模別,10～29人,40,58.6,67.6,29.5,25.2,20.5,10.5,0,210
従業者規模別,30人以上,39.2,59.4,67.1,34.3,26.6,21.7,10.5,0,143
年間売上高増減別(３年前),大幅(10％以上)増加,55.8,58.9,65.6,31.9,30.7,20.9,6.7,0.6,163
年間売上高増減別(３年前),やや(10％未満)増加,49,48.3,61.6,27.2,23.8,14.6,9.3,0.7,151
年間売上高増減別(３年前),ほぼ(±５％未満)横ばい,48.5,43.3,52.8,23.3,29.4,10.7,8.6,0.9,326
年間売上高増減別(３年前),やや(10％未満)減少,51.7,41.3,54.5,18.2,27.3,11.9,11.9,1.4,143
年間売上高増減別(３年前),大幅(10％以上)減少,52.1,41.4,52.8,22.2,34.8,10.3,5.8,0.7,428
売上高経常利益率別,黒字,50.1,48.7,59.2,26.9,28.9,14.2,7.9,0.6,809
売上高経常利益率別,赤字,58.3,40.9,54.1,18.5,37,10.6,6.4,0.8,357
経常損益の変化別(３年前),増益,54.5,53.5,64.2,28.1,30.1,16.1,8,0.3,299
経常損益の変化別(３年前),横ばい,48.3,39.1,55.4,21,29.9,10.8,9.2,1,381
経常損益の変化別(３年前),減益,51.7,44.3,51.5,24.3,30.9,12,6.8,1,515
代表者の年齢別,40歳未満,63.6,60,67.3,23.6,43.6,21.8,3.6,0,55
代表者の年齢別,40歳代,56.5,56.9,72,28,36.2,14.7,3.9,0.9,232
代表者の年齢別,50歳代,49.6,44,54.7,27.5,33.3,13.6,6.9,1.6,375
代表者の年齢別,60歳代,53.6,45.2,52.3,21.7,31.1,10.9,7.4,0.5,405
代表者の年齢別,70歳以上,48,31.4,46.1,18.6,18.6,9.8,14.2,0,204
業種別,専門ボ錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-07-19,03,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-08-09,08,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-09-09,22,道路上,40歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-09-13,11,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-10-19,09,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-10-28,14,道路上,40歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-10-28,18,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-10-28,18,道路上,60-64歳,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-11-03,23,道路上,30歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-11-04,18,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-11-11,07,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-11-21,23,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-11-25,23,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-12-16,09,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-02-09,12,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-03-01,12,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-04-06,07,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-04-23,16,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-08-03,04,道路上,30歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-09-23,23,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2018-11-23,08,その他,50歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,中村１丁目,2018-09-30,18,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,練馬,練馬駅前交番,131202,東京都,練馬区,中村北１丁目,2018-01-06,18,道路上,10歳代,高校生,施錠した
