大分類,中分類,備考
G情報通信業,37通信業,
G情報通信業,38放送業,
G情報通信業,39情報サービス業,
G情報通信業,40インターネット附随サービス業,
G情報通信業,41映像・音声・文字情報制作業,
H運輸業，郵便業,42鉄道業,
H運輸業，郵便業,43道路旅客運送業,
H運輸業，郵便業,44道路貨物運送業,
H運輸業，郵便業,45水運業,
H運輸業，郵便業,46航空運輸業,
H運輸業，郵便業,47倉庫業,
H運輸業，郵便業,48運輸に附帯するサービス業,
H運輸業，郵便業,49郵便業（信書便事業を含む）,
K不動産業，物品賃貸業,68不動産取引業,
K不動産業，物品賃貸業,69不動産賃貸業・管理業,
K不動産業，物品賃貸業,70物品賃貸業,
L学術研究，専門・技術サービス業,72専門サービス業（他に分類されないもの）,〇中分類「71学術・開発研究機関」、細分類「7282純粋持株会社」を除く
L学術研究，専門・技術サービス業,73広告業,〇中分類「71学術・開発研究機関」、細分類「7282純粋持株会社」を除く
L学術研究，専門・技術サービス業,74技術サービス業（他に分類されないもの）,〇中分類「71学術・開発研究機関」、細分類「7282純粋持株会社」を除く
M宿泊業，飲食サービス業,75宿泊業,
M宿泊業，飲食サービス業,76飲食店,
M宿泊業，飲食サービス業,77持ち帰り・配達飲食サービス業,
N生活関連サービス業，娯楽業,78洗濯・理容・美容・浴場業,〇小分類「792家事サービス業」を除く
N生活関連サービス業，娯楽業,79その他の生活関連サービス業,〇小分類「792家事サービス業」を除く
N生活関連サービス業，娯楽業,80娯楽業,〇小分類「792家事サービス業」を除く
O教育，学習支援業,82その他の教育，学習支援業,〇中分類「81学校教育」を除く
P医療，福祉,83医療業,〇小分類「841保健所」、「851社会保険事業団体」及び「852福祉事務所」を除く
P医療，福祉,84保健衛生,〇小分類「841保健所」、「851社会保険事業団体」及び「852福祉事務所」を除く
P医療，福祉,85社会保険・社会福祉・介護事業,〇小分類「841保健所」、「851社会保険事業団体」及び「852福祉事務所」を除く
Rサービス業（他に分類されないもの）,88廃棄物処理業,〇中分類「93政治・経済・文化団体」、「94宗教」、「96外国公務」を除く
Rサービス業（他に分類されないもの）,89自動車整備業,〇中分類「93政治・経済・文化団体」、「94宗教」、「96外国公務」を除く
Rサービス業（他に分類されないもの）,90機械等修理業（別掲を除く）,〇中分類「93政治・経済・文化団体」、「94宗教」、「96外国公務」を除く
Rサービス業（他に分類されないもの）,91職業紹介・労働者派遣業,〇中分類「93政治・経済・文化団体」、「94宗教」、「96外国公務」を除く
Rサービス業（他に分類されないもの）,92その他の事業サービス業,〇中分類「93政治・経済・文化団体」、「94宗教」、「96外国公務」を除く
Rサービス業（他に分類されないもの）,95?その他のサービス業,〇中分類「93政治・経済・文化団体」、「94宗教」、「96外国公務」を除く
代,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山２丁目,2019-09-28,08,その他の住宅（３階建て以下共同住宅等）,60-64歳,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山２丁目,2019-10-11,21,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山３丁目,2019-04-04,09,４階建て以上共同住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山３丁目,2019-04-18,14,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-01-12,15,道路上,10歳代,高校生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-01-20,17,道路上,20歳代,大学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-05-31,23,道路上,20歳代,大学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-06-08,22,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-08-19,01,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-08-28,16,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-09-13,21,道路上,20歳代,大学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-09-17,16,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-10-03,02,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-10-31,07,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-11-11,20,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-11-17,00,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-11-20,20,道路上,20歳代,大学生,施錠せず
窃盗,自転車盗,成城,烏山交番,131121,東京都,世田谷区,南烏山４丁目,2019-12-11,23,道路上,30歳代,その他,施錠せず
