表側１,表側２,表側３,回答企業数(件),すべて自社(％),一部を外部委託(％),全部を外部委託(％),該当する業務なし(％),無回答(％)
,,今回調査（全体）,760,19.9,34.6,37,6.1,2.5
,,前回調査,823,23.1,33.4,35.6,4.9,3
業種別,,食料品卸売業,237,28.3,36.7,29.5,3.4,2.1
業種別,,生鮮食品卸売業,126,30.2,40.5,23.8,3.2,2.4
業種別,,加工食品等卸売業,111,26.1,32.4,36,3.6,1.8
業種別,,衣料品関連卸売業,145,17.2,24.8,48.3,2.8,6.9
業種別,,住関連卸売業,83,13.3,34.9,39.8,9.6,2.4
業種別,,その他卸売業,288,16.3,38.5,35.4,9,0.7
従業者規模別,,1～5人,399,24.6,31.1,32.1,8.8,3.5
従業者規模別,,6～9人,101,16.8,35.6,40.6,5,2
従業者規模別,,10～49人,208,13,41.8,42.3,1.9,1
従業者規模別,,50人以上,36,5.6,38.9,50,5.6,0
取引形態別,一次卸,小売直取引卸,219,16.9,29.7,47.5,3.2,2.7
取引形態別,一次卸,他部門直取引卸,50,2,50,36,12,0
取引形態別,一次卸,元卸,154,8.4,35.1,51.9,3.2,1.3
取引形態別,二次卸,中間卸,85,30.6,34.1,24.7,4.7,5.9
取引形態別,二次卸,最終卸,135,25.2,40.7,23,8.1,3
取引形態別,その他,製造問屋,19,21.1,36.8,36.8,0,5.3
取引形態別,その他,その他卸,77,35.1,31.2,19.5,14.3,0
取引形態別,一0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
国分寺市北町５丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
国分寺市光町１丁目,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0
国分寺市光町２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
国分寺市光町３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0
国分寺市高木町１丁目,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国分寺市高木町２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国分寺市西町１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1
国分寺市西町２丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,2
国分寺市西町３丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,1,1,3,1,0,0,0,0,1
国分寺市西町４丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,1,4,1,0,0,0,3
国分寺市西町５丁目,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
国分寺市西恋ヶ窪１丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,1,0,3,1,0,0,0,0,1
