区分,平成20年度（当初算定）金額（千円）,平成20年度再算定金額（千円）,平成20年度（当初算定）増減率（％）,平成20年度再算定増減率（％）,平成21年度当初算定金額（千円）,平成21年度前年度当初算定増減率（％）,平成21年度当初算定増減率（％）,平成22年度（当初算定）金額（千円）,平成22年度再算定金額（千円）,平成22年度（当初算定）増減率（％）,平成22年度再算定増減率（％）,平成23年度（当初算定）金額（千円）,平成23年度再算定金額（千円）,平成23年度（当初算定）増減率（％）,平成23年度再算定増減率（％）,平成24年度当初算定金額（千円）,平成24年度前年度当初算定増減率（％）,平成24年度当初算定増減率（％）,平成25年度当初算定金額（千円）,平成25年度当初算定増減率（％）,平成26年度当初算定金額（千円）,平成26年度当初算定増減率（％）,平成27年度当初算定金額（千円）,平成27年度当初算定増減率（％）,平成28年度当初算定金額（千円）,平成28年度当初算定増減率（％）,区分
基準財政需要額（A)道府県分,,1739056055,,1.4,1639969868,,△5.7,1757024829,1762336811,7.1,7.5,1866987225,1870651468,6.3,6.1,1948868970,4.4,4.2,1976476803,1.4,1981686570,0.3,1992376376,0.5,1980018858,△0.6,需要
基準財政需要額（A)大都市分,,1429505258,,2.0,1312364698,,△8.2,1298324405,1298933792,△1.1,△1,1448695212,1450714219,11.6,11.7,1495088622,3.2,3.1,1559539452,4.3,1538587610,△1.3,1582124624,2.8,1591725639,0.6,需要
基準財政需要額（A)合計,,3168561313,,1.7,2952334566,,△6.8,3055349234,3061270603,3.5,3.7,3315682437,3321365687,8.5,8.5,3443957592,3.9,3.7,3536016255,2.7,3520274180,△0.4,3574501000,1.5,3571744497,△0.1,需要
基準財政収入額（B)道府県分,2514388254,2516312392,3.7,3.8,1904840253,△24.2,△24.3,,1544932812,,△18.9,1576580341,1580257954,2,2.3,1700538929,7.9,7.6,1768840682,4,1999071375,13,2203760729,10.2,2354493590,6.8,収入
基準財政収入額（B)大都市分,2322572879,2323045521,0.4,0.4,2136178886,△8,△8,,1893773397,,△11.3,1942934705,1944882341,2.6,2.7,1996567713,2.8,2.7,2098103184,5.1,2227558674,6.2,2311466509,3.8,2360863527,2.1,収入
基準財政収入額（B)合計,4846961133,4839357913,2.1,2.1,4041019139,△16.5,△16.5,,3438706209,,△14.9,3519515046,3525140295,2.3,2.5,3697106642,5,4.9,3866943866,4.6,4226630049,9.3,4515227238,6.8,4715357117,4.4,収入
交付基準額（A）-（B)道府県分,△775332199,△777256337,,,△264870385,,,212092017,217403999,,,290406884,290393514,,,248330041,,,207636121,,△17384805,,△211384353,,△374474732,,交付
交付基準額（A）-（B)大都市分,△893067621,△893540263,,,△823814188,,,△595448992,△594839605,,,△494239493,△494168122,,,△501479091,,,△538563732,,△688971064,,△729341885,,△769137888,,交付
交付基準額（A）-（B)合計,△1668399820,△1670796600,,,△1088684573,,,△383356975,△377435606,,,△203832609,△203774608,,,△253149050,,,△330927611,,△706355869,,△940726238,,△1143612620,,交付
財政力指数（B)/（A)道府県分,1.446,1.447,,,1.162,,,0.879,0.877,,,0.844,0.844,,,0.872,,,0.895,,1.009,,1.106,,1.189,,指数
財政力指数（B)/（A)大都市分,1.625,1.625,,,1.628,,,1.459,1.458,,,1.341,1.341,,,1.335,,,1.345,,1.448,,1.461,,1.483,,指数
財政力指数（B)/（A)合計,1.527,1.527,,,1.369,,,1.125,1.123,,,1.061,1.061,,,1.073,,,1.093,,1.201,,1.263,,1.32,,指数
標準財政収入額道府県分,3241505748,3244058848,,,2423906134,,,,1946607432,,,1983751250,1987428863,,,2152139018,,,2242232171,,2541322922,,2776383277,,2975663620,,標財
標準財政収入額大都市分,3100657221,3101264751,,,2854015091,,,,2530473930,,,2588781756,2590729392,,,2665777390,,,2788004790,,2959995548,,3056776269,,3121512161,,標財
標準財政収入額合計,6342162969,6345323599,,,5277921225,,,,4477081362,,,4572533006,4578158255,,,4817916408,,,5030236961,,5501318470,,5833159546,,6097175781,,標財
標準財政規模,4166028018,4168581118,,,3459948220,,,,2855878511,,,2809855215,2813532828,,,2947394657,,,3050967268,,3411288144,,3642201974,,3843486500,,標規
赤字限度額,346979741,347107396,,,296353866,,,,253544797,,,253372543,253556423,,,261297230,,,273858628,,301059190,,311982903,,322347757,,赤限
S6区分,17年度金額（百万円）,17年度構成比（％）,18年度金額（百万円）,18年度構成比（％）,19年度金額（百万円）,19年度構成比（％）,20年度金額（百万円）,20年度構成比（％）,21年度金額（百万円）,21年度構成比（％）,22年度金額（百万円）,22年度構成比（％）,23年度金額（百万円）,23年度構成比（％）,24年度金額（百万円）,24年度構成比（％）,25年度金額（百万円）,25年度構成比（％）,26年度金額（百万円）,26年度構成比（％）,27年度金額（百万円）,27年度構成比（％）,28年度（見込）金額（百万円）,28年度（見込）構成比（％）,29年度（見込）金額（百万円）,29年度（見込）構成比（％）,区分
一般会計,6668625,52.7,6609055,54.4,6433807,55.5,6256948,56.2,6351752,58.5,6338284,59.6,6523662,61.5,6571955,62.7,6279525,62.7,5893066,62.5,5616002,62,5600340,61.3,5598116,61.7,一般
特別会計,1390961,11,1146927,9.4,1046673,9,960545,8.6,879245,8.1,825626,7.8,762280,7.2,731419,7,680548,6.8,658942,7,636238,7,648879,7.1,660853,7.3,特会
母子父子福祉貸付姿金,20703,0.2,21710,0.2,22836,0.2,23591,0.2,24969,0.2,26183,0.2,27915,0.3,28687,0.3,29174,0.3,29245,0.3,29351,0.3,30021,0.3,30257,0.3,母父
中小企業設備導入等資金,19551,0.2,18023,0.1,16708,0.1,17100,0.2,15048,0.1,12621,0.1,11789,0.1,11012,0.1,10373,0.1,9301,0.1,8361,0.1,4525,0,3070,0,中小
農業改良資金助成,200,0,162,0,124,0,97,0,94,0,91,0,（一般会計へ）,,,,,,,,,,,,,,農業
と場,10915,0.1,10083,0.1,9405,0.1,9033,0.1,8310,0.1,7351,0.1,6488,0.1,5703,0.1,4789,0,3737,0,3156,0,2633,0,2783,0,と場
都営住宅等事業,743134,5.9,716653,5.9,704336,6.1,683226,6.1,647797,6,634997,6,623161,5.9,593464,5.7,544942,5.4,539206,5.7,532359,5.9,553076,6.1,572116,6.3,住事
都市開発資金,5994,0,3128,0,1188,0,332,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000,0,2000,0,都開
用地,356535,2.8,271726,2.2,207684,1.8,156130,1.4,117404,1.1,92369,0.9,88681,0.8,88786,0.8,88609,0.9,77097,0.8,63012,0.7,57625,0.6,50628,0.6,用地
多摩ニュータウン事業,123876,1,92793,0.8,75312,0.6,62070,0.6,57244,0.5,44941,0.4,-,-,（廃止）,,,,,,,,,,,,多ニ
市街地再開発事業,94844,0.7,（一般会計へ）,,,,,,,,,,,,,,,,,,,,,,,,市街
臨海都市基盤整備事業,15208,0.1,12649,0.1,9080,0.1,8965,0.1,8379,0.1,7074,0.1,4246,0,3767,0,2661,0,355,0,-,-,-,-,-,-,臨基
公営企業会計,4603050,36.4,4395015,36.2,4119440,35.5,3912806,35.2,3635004,33.5,3473071,32.7,3316988,31.3,3177820,30.3,3052225,30.5,2882079,30.5,2810639,31,2880701,31.6,2808757,31,公企
病院,111775,0.9,89730,0.7,88155,0.8,108538,1,105729,1,117842,1.1,127863,1.2,126114,1.2,124005,1.2,113327,1.2,109678,1.2,104734,1.1,101545,1.1,病院
中央卸売市場,85656,0.7,93206,0.8,56831,0.5,52431,0.5,50860,0.5,107833,1,105398,1,110775,1.1,149262,1.5,182046,1.9,265558,2.9,391271,4.3,387984,4.3,市場
都市再開発事業,34522,0.3,35445,0.3,23707,0.2,22707,0.2,21060,0.2,14793,0.1,11533,0.1,4617,0,3600,0,-,-,-,-,-,-,-,-,都再
臨海地域開発事業,487645,3.9,472925,3.9,453900,3.9,413300,3.7,307100,2.8,259680,2.4,249480,2.4,246980,2.4,243180,2.4,187265,2,187265,2.1,187265,2.1,187265,2.1,臨地
港湾事業,6571,0.1,5797,0,4969,0,4524,0,2604,0,2284,0,1955,0,1617,0,1270,0,913,0,620,0,406,0,211,0,港湾
交通事業,22567,0.2,21386,0.2,20243,0.2,23105,0.2,27874,0.3,31980,0.3,34344,0.3,35604,0.3,36974,0.4,37466,0.4,39850,0.4,44436,0.5,49180,0.5,交通
高速電車事業,701643,5.5,681154,5.6,640433,5.5,598832,5.4,581274,5.3,548811,5.2,523657,4.9,505285,4.8,477501,4.8,441308,4.7,399735,4.4,373608,4.1,327193,3.6,高速
水道事業,574681,4.5,518919,4.3,463387,4,419629,3.8,374616,3.4,346837,3.3,324226,3.1,301743,2.9,273466,2.7,245776,2.6,225282,2.5,219790,2.4,251002,2.8,水道
工業用水道事業,281,0,15,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,エ水
下水道事業,2577709,20.4,2476437,20.4,2367814,20.4,2269739,20.4,2163887,19.9,2043011,19.2,1938532,18.3,1845086,17.6,1742968,17.4,1673977,17.7,1582650,17.5,1559190,17.1,1504377,16.6,下水
