5-(9)　　三池港,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"41,968","5,630","36,338",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"41,968","5,630","36,338",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,"1,513",367,"1,146",,(5)　化学工業品,,,"5,140",4,"5,136"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,14,‐,14,,　　　　セメント,,281,"2,678",‐,"2,678"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,2,2,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,910,1,909
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,337,72,265,,　　　　石油製品,,321,"1,193",1,"1,192"
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,61,59,2,,　　　　LPG（液化石油ガス）,,323,317,‐,317
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,239,2,237,,　　　　コークス,,331,‐,‐,‐
         水産品,,81,862,234,628,,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,123,‐,123,,　　　　化学薬品,,351,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,123,‐,123,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,40,‐,40
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,409,‐,409
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,"22,227",‐,"22,227",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,11,‐,11
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,398,‐,398
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　砂利・砂,,161,"15,033",‐,"15,033",,　　　　たばこ,,424,‐,‐,‐
　　　　石材,,162,"7,194",‐,"7,194",,　　　　その他食料工業品,,425,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,879,194,685
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
