5-(14)　　二見港,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"54,551","14,049","40,502",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"54,551","14,049","40,502",,　　　　その他機械,,265,"1,368",328,"1,040"
(1)　農水産品,,,"2,850",938,"1,912",,(5)　化学工業品,,,"8,992",103,"8,889"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,‐,‐,‐,,　　　　セメント,,281,965,3,962
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,17,‐,17
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,"1,259",1,"1,258"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"3,848",‐,"3,848"
　　　　野菜・果物,,31,‐,‐,‐,,　　　　石油製品,,321,"1,985",‐,"1,985"
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,"1,312",87,"1,225",,　　　　LPG（液化石油ガス）,,323,229,32,197
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,6,6,‐
　　　　その他畜産品,,71,341,2,339,,　　　　コークス,,331,‐,‐,‐
         水産品,,81,"1,197",849,348,,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,"1,186",524,662,,　　　　化学薬品,,351,124,‐,124
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,695,33,662,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,559,61,498
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,"2,823",16,"2,807"
　　　　木材チップ,,111,491,491,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,"5,659",5,"5,654",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,35,‐,35
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,32,‐,32
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　砂利・砂,,161,"5,645",‐,"5,645",,　　　　たばこ,,424,‐,‐,‐
　　　　石材,,162,14,5,9,,　　　　その他食料工業品,,425,"2,756",16,"2,740"
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,"3,440",325,"3,115"
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,‐,‐,‐
(4)  金属機械工業品,,,"10,416","3,204","7,212",,　　　　その他日用品,,444,"3,133",300,"2,833"
　　　　鉄鋼,,221,‐,‐,‐,,　　　　ゴム製品,,451,105,‐,105
　　　　鋼材,,222,"1,894",362,"1,532",,　　　　木製品,,461,202,25,177
　　　　非鉄金属,,231,‐,‐,‐,,　　　　その他製造工業品,,471,‐,‐,‐
　　　　金属製品,,241,"1,625",332,"1,293",,(8)　特殊品,,,"19,185","8,934","10,251"
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,"2,198","2,076",122
　　　　完成自動車,,252,"1,190",480,710,,　　　　再利用資材,,491,"2,734","2,497",237
　　　　その他輸送用車両,,253,2,‐,2,,　　　　動植物性製造飼肥料,,501,268,15,253
　　　　二輪自動車,,254,‐,‐,‐,,　　　　廃棄物,,511,"1,529",330,"1,199"
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃土砂,,512,"1,279",57,"1,222"
　　　　その他輸送機械,,256,"4,001","1,526","2,475",,　　　　輸送用容器,,521,"2,360","2,295",65
　　　　産業機械,,261,336,176,160,,　　　　取合せ品,,531,"8,817","1,664","7,153"
　　　　電気機械,,262,‐,‐,‐,,(9)　分類不能のもの,,541,‐,‐,‐
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,【自航】,,,‐,‐,‐
　　　
,,大井食品ふ頭（ON）,6,0.0%,"44,522",0.0%,4,0.1%,"43,570",0.0%,2,0.0%,952,0.0%,
若洲,,,559,2.4%,"2,151,500",1.2%,15,0.3%,"429,452",0.3%,544,3.0%,"1,722,048",3.9%,
,,若洲内貿ふ頭,145,0.6%,"1,495,474",0.9%,-,-,-,-,145,0.8%,"1,495,474",3.4%,
,,15号地木材ふ頭,42,0.2%,"438,570",0.3%,15,0.3%,"429,452",0.3%,27,0.1%,"9,118",0.0%,
,,若洲建材ふ頭,372,1.6%,"217,456",0.1%,-,-,-,-,372,2.0%,"217,456",0.5%,
城南島,,,"1,826",7.7%,"1,117,639",0.6%,-,-,-,-,"1,826",10.0%,"1,117,639",2.5%,
,,大井建材ふ頭,"1,046",4.4%,"589,983",0.3%,-,-,-,-,"1,046",5.7%,"589,983",1.3%,
,,城南島建設発生土ふ頭,780,3.3%,"527,656",0.3%,-,-,-,-,780,4.3%,"527,656",1.2%,
中央防波堤,,,494,2.1%,"3,047,426",1.7%,17,0.3%,"295,531",0.2%,477,2.6%,"2,751,895",6.3%,
,,中央防波堤内側ばら物ふ頭,56,0.2%,"315,676",0.2%,17,0.3%,"295,531",0.2%,39,0.2%,"20,145",0.0%,
,,中央防波堤内側建設発生土ふ頭,147,0.6%,"170,410",0.1%,-,-,-,-,147,0.8%,"170,410",0.4%,
,,中央防波堤内側内貿ふ頭,291,1.2%,"2,561,340",1.5%,-,-,-,-,291,1.6%,"2,561,340",5.8%,
その他,,,79,0.3%,"67,185",0.0%,-,-,-,-,79,0.4%,"67,185",0.2%,
民間,,,"7,345",31.1%,"9,965,222",5.7%,220,4.1%,"2,118,296",1.6%,"7,125",39.0%,"7,846,926",17.8%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
