開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
★都計,5422419,5658738,11081157,2766349,2915515,5681864,2656070,2743223,5399293,51.02,51.52,51.28,-,43.13,43.86,43.50
☆区部計,3710865,3887688,7598553,1883519,2001889,3885408,1827346,1885799,3713145,50.76,51.49,51.13,-,43.07,44.13,43.61
☆市部計,1676094,1736056,3412150,863670,895088,1758758,812424,840968,1653392,51.53,51.56,51.54,-,43.18,43.19,43.18
☆郡部計,24313,24323,48636,11774,11507,23281,12539,12816,25355,48.43,47.31,47.87,-,40.41,39.76,40.09
☆島部計,11147,10671,21818,7386,7031,14417,3761,3640,7401,66.26,65.89,66.08,-,60.85,61.46,61.15
☆区部計,3710865,3887688,7598553,1883519,2001889,3885408,1827346,1885799,3713145,50.76,51.49,51.13,-,43.07,44.13,43.61
千代田区,23730,24172,47902,12718,13281,25999,11012,10891,21903,53.59,54.94,54.28,19,42.21,43.03,42.63
中央区,57481,65035,122516,29442,32722,62164,28039,32313,60352,51.22,50.31,50.74,41,40.93,40.69,40.81
港区,88924,105460,194384,40066,46135,86201,48858,59325,108183,45.06,43.75,44.35,61,33.45,31.73,32.52
新宿区,130303,131521,261824,62704,66473,129177,67599,65048,132647,48.12,50.54,49.34,49,40.92,43.53,42.23
文京区,81225,91930,173155,46104,51724,97828,35121,40206,75327,56.76,56.26,56.50,11,46.50,45.98,46.22
台東区,80789,76925,157714,40979,40177,81156,39810,36748,76558,50.72,52.23,51.46,35,41.59,43.49,42.52
墨田区,109033,110281,219314,56117,57336,113453,52916,52945,105861,51.47,51.99,51.73,33,44.42,46.22,45.32
江東区,198939,205240,404179,107458,113061,220519,91481,92179,183660,54.02,55.09,54.56,16,46.05,47.58,46.82
品川区,155091,163469,318560,79722,85918,165640,75369,77551,152920,51.40,52.56,52.00,30,42.31,43.11,42.72
目黒区,106419,122900,229319,53963,61528,115491,52456,61372,113828,50.71,50.06,50.36,45,41.70,40.45,41.03
大田区,295826,299470,595296,149402,152637,302039,146424,146833,293257,50.50,50.97,50.74,41,43.86,45.13,44.50
世田谷区,346337,395868,742205,179871,201104,380975,166466,194764,361230,51.94,50.80,51.33,37,44.32,43.62,43.95
渋谷区,87778,97947,185725,40290,45145,85435,47488,52802,100290,45.90,46.09,46.00,60,36.00,35.36,35.66
中野区,137293,136107,273400,68011,70666,138677,69282,65441,134723,49.54,51.92,50.72,43,41.62,44.60,43.10
杉並区,223982,248085,472067,115656,127073,242729,108326,121012,229338,51.64,51.22,51.42,36,43.12,42.94,43.03
豊島区,113484,112813,226297,55320,58097,113417,58164,54716,112880,48.75,51.50,50.12,46,41.19,43.47,42.32
北区,139143,142985,282128,78082,83180,161262,61061,59805,120866,56.12,58.17,57.16,10,47.62,50.12,48.89
荒川区,82436,83519,165955,42962,44887,87849,39474,38632,78106,52.12,53.74,52.94,26,44.92,47.42,46.17
板橋区,224773,232814,457587,114573,121563,236136,110200,111251,221451,50.97,52.21,51.60,34,42.98,44.61,43.80
練馬区,288298,307637,595935,149849,159959,309808,138449,147678,286127,51.98,52.00,51.99,31,44.96,45.59,45.28
足立区,277544,275933,553477,138480,143351,281831,139064,132582,271646,49.89,51.95,50.92,39,43.34,46.23,44.78
葛飾区,185269,186626,371895,91741,94060,185801,93528,92566,186094,49.52,50.40,49.96,47,43.25,45.24,44.25
江戸川区,276768,270951,547719,130009,131812,261821,146759,139139,285898,46.97,48.65,47.80,56,41.39,43.15,42.26
☆市部計,1676094,1736056,3412150,863670,895088,1758758,812424,840968,1653392,51.53,51.56,51.54,-,43.18,43.19,43.18
八王子市,231142,232755,463897,120451,123055,243506,110691,109700,220391,52.11,52.87,52.49,27,46.76,47.61,47.19
立川市,74198,75388,149586,35726,36084,71810,38472,39304,77776,48.15,47.86,48.01,54,38.24,37.21,37.72
武蔵野市,57054,63678,120732,31091,34438,65529,25963,29240,55203,54.49,54.08,54.28,19,44.24,43.75,43.98
三鷹市,74124,78701,152825,38858,40729,79587,35266,37972,73238,52.42,51.75,52.08,29,42.30,41.59,41.94
青梅市,57145,56958,114103,29077,28915,57992,28068,28043,56111,50.88,50.77,50.82,40,37.57,37.28,37.42
府中市,105287,104151,209438,53155,53079,106234,52132,51072,103204,50.49,50.96,50.72,43,40.67,40.41,40.54
昭島市,46089,46626,92715,21921,21813,43734,24168,24813,48981,47.56,46.78,47.17,57,39.60,39.50,39.55
町田市,170986,181003,351989,92567,98511,191078,78419,82492,160911,54.14,54.43,54.29,18,46.98,47.43,47.21
小金井市,48335,50292,98627,23537,24258,47795,24798,26034,50832,48.70,48.23,48.46,51,40.94,40.89,40.91
小平市,75345,78957,154302,36511,37598,74109,38834,41359,80193,48.46,47.62,48.03,53,37.71,36.84,37.27
日野市,75471,75472,150943,37662,37201,74863,37809,38271,76080,49.90,49.29,49.60,48,43.37,42.13,42.75
西東京市,79547,85243,164790,39670,41379,81049,39877,43864,83741,49.87,48.54,49.18,50,39.48,38.64,39.05
☆西多摩,104609,104410,209019,49960,48710,98670,54649,55700,110349,47.76,46.65,47.21,-,42.92,42.95,42.94
福生市,23574,23654,47228,11467,11176,22643,12107,12478,24585,48.64,47.25,47.94,55,39.00,38.07,38.54
羽村市,23301,22526,45827,10920,10617,21537,12381,11909,24290,46.86,47.13,47.00,58,33.81,32.88,33.35
あきる野市,33421,33907,67328,15799,15410,31209,17622,18497,36119,47.27,45.45,46.35,59,54.01,55.51,54.77
☆西多摩郡計,24313,24323,48636,11774,11507,23281,12539,12816,25355,48.43,47.31,47.87,-,40.41,39.76,40.09
瑞穂町,14088,13695,27783,5996,5816,11812,8092,7879,15971,42.56,42.47,42.52,62,32.95,32.75,32.85
日の出町,6831,7191,14022,3762,3775,7537,3069,3416,6485,55.07,52.50,53.75,23,47.60,45.80,46.68
檜原村,1039,1032,2071,656,614,1270,383,418,801,63.14,59.50,61.32,9,59.64,57.21,58.43
