区分,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）都有倉庫（食数）,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）寄託倉庫（食数）,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）ランニングストック（食数）,主食東京都備蓄分（クラッカー・アルファ化米・即席麺）計（単位：食数）,区市町村備蓄分乾パン（食数）,区市町村備蓄分インスタント（食数）,区市町村備蓄分米（食数）,区市町村備蓄分缶詰主食（食数）,区市町村備蓄分缶詰副食（食数）,区市町村備蓄分その他内容（食数）,区市町村備蓄分その他食数（食数）,区市町村備蓄分計（食数）,区市町村備蓄分水（？）,区分
千代田,-,20500,-,20500,36214,-,67550,-,58524,-,-,162288,8400,千
中央,-,25000,-,25000,-,-,5100,10000,51000,-,-,66100,12300,中
港,-,51000,-,51000,50850,-,11255,18248,-,-,-,80353,9000,港
新宿,30749,31200,-,61949,-,79000,178000,16000,198,離乳食,5600,278798,5700,新
文京,-,23000,-,23000,-,-,5040,-,-,クラッカー,187560,192600,2376,文
台東,-,-,-,0,39970,-,-,200000,100000,-,-,339970,28272,台
墨田,39000,37430,-,76430,-,-,13005,30810,4504,ビスケット、クラッカー,164612,212931,36360,墨
江東,-,-,-,0,199000,-,16700,-,-,-,-,215700,10800,江
品川,-,-,-,0,149200,-,27538,-,-,-,-,176738,3000,品
目黒,-,-,-,0,75200,-,13450,-,-,-,-,88650,30552,目
大田,304700,20000,-,324700,307580,-,15375,-,-,梅干し１２００ｋｇ食塩１５００ｋｇ,-,322955,26640,大
世田谷,1400,-,-,1400,-,-,17000,54000,-,ビスケット,345600,416600,6500,世
渋谷,-,11200,-,11200,-,-,50000,30000,-,クラッカー,100000,180000,14600,渋
中野,-,10000,-,10000,-,-,3845,24126,-,-,-,27971,-,野
杉並,-,-,-,0,228310,-,21085,10048,-,ビスケット,268000,527443,55344,杉
豊島,-,43820,-,43820,195884,-,12955,-,-,-,-,208839,29232,豊
北,-,51000,-,51000,-,-,32200,99600,-,-,-,131800,37200,北
荒川,3880,15000,-,18880,96700,-,9900,-,-,-,-,106600,2814,荒
板橋,-,-,-,0,764650,-,21350,-,-,-,-,786000,-,板
練馬,-,44310,-,44310,126026,-,8480,-,-,-,-,134506,1236,練
足立,-,48000,-,48000,-,-,41440,-,-,クラッカー,204540,245980,610404,足
葛飾,90000,14000,-,104000,281664,-,15370,1760,-,-,-,298794,40656,葛
江戸川,14000,-,-,14000,200375,-,-,6828,-,粉ミルク,20428,227631,-,戸
区計,483729,445460,0,929189,2751623,79000,586638,501420,214226,,1296340,5429247,971386,計
