区分,東京都備蓄分（クラッカー・アルファ化米・即席麺）都有倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）寄託倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）ランニングストック（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）計（食数）,区市町村備蓄分乾パン（食数）,区市町村備蓄分インスタント（食数）,区市町村備蓄分米（食数）,区市町村備蓄分缶詰主食（食数）,区市町村備蓄分缶詰副食（食数）,区市町村備蓄分その他内容,区市町村備蓄分その他食数,区市町村備蓄分計（食数）,区市町村備蓄分水（？）,区分
千代田,-,20500,-,20500,36214,-,67550,-,58524,-,-,162288,8400,千
中央,-,25000,-,25000,-,-,5100,10000,51000,-,-,66100,12300,中
港,-,51000,-,51000,50850,-,11255,18248,-,-,-,80353,9000,港
新宿,30749,31200,-,61949,-,79000,178000,16000,198,離乳食,5600,278798,5700,新
文京,-,23000,-,23000,-,-,5040,-,-,クラッカー,187560,192600,2376,文
台東,-,-,-,0,39970,-,-,200000,100000,-,-,339970,28272,台
墨田,39000,37430,-,76430,-,-,13005,30810,4504,ビスケット、クラッカー,164612,212931,36360,墨
江東,-,-,-,0,199000,-,16700,-,-,-,-,215700,10800,江
品川,-,-,-,0,149200,-,27538,-,-,-,-,176738,3000,品
目黒,-,-,-,0,75200,-,13450,-,-,-,-,88650,30552,目
大田,304700,20000,-,324700,307580,-,15375,-,-,梅干し１２００ｋｇ、食塩１５００ｋｇ,-,322955,26640,大
世田谷,1400,-,-,1400,-,-,17000,54000,-,ビスケット,345600,416600,6500,世
渋谷,-,11200,-,11200,-,-,50000,30000,-,クラッカー,100000,180000,14600,渋
中野,-,10000,-,10000,-,-,3845,24126,-,-,-,27971,-,野
杉並,-,-,-,0,228310,-,21085,10048,-,ビスケット,268000,527443,55344,杉
豊島,-,43820,-,43820,195884,-,12955,-,-,-,-,208839,29232,豊
北,-,51000,-,51000,-,-,32200,99600,-,-,-,131800,37200,北
荒川,3880,15000,-,18880,96700,-,9900,-,-,-,-,106600,2814,荒
板橋,-,-,-,0,764650,-,21350,-,-,-,-,786000,-,板
練馬,-,44310,-,44310,126026,-,8480,-,-,-,-,134506,1236,練
足立,-,48000,-,48000,-,-,41440,-,-,クラッカー,204540,245980,610404,足
葛飾,90000,14000,-,104000,281664,-,15370,1760,-,-,-,298794,40656,葛
江戸川,14000,-,-,14000,200375,-,-,6828,-,粉ミルク,20428,227631,-,戸
区計,483729,445460,0,929189,2751623,79000,586638,501420,214226,-,1296340,5429247,971386,計
迢謨ｪ,東京都備蓄分（クラッカー・アルファ化米・即席麺）都有倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）寄託倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）ランニングストック（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）計（食数）,区市町村備蓄分乾パン（食数）,区市町村備蓄分インスタント（食数）,区市町村備蓄分米（食数）,区市町村備蓄分缶詰主食（食数）,区市町村備蓄分缶詰副食（食数）,区市町村備蓄分その他内容,区市町村備蓄分その他食数,区市町村備蓄分計（食数）,区市町村備蓄分水（？）,区分
八王子,-,5530,-,5530,195712,-,241850,-,-,-,-,437562,84840,八
立川,130000,-,-,130000,5040,-,10800,12960,-,-,-,28800,-,立
武蔵野,-,6930,-,6930,122850,-,12150,30048,37500,粉ミルク,1008,203556,1968,武
三鷹,-,14000,-,14000,78048,-,190450,-,-,-,-,268498,-,三
青梅,-,9900,-,9900,24816,-,6300,-,-,おかゆ,4500,35616,-,青
府中,-,5000,-,5000,79089,-,284850,3000,-,-,-,366939,-,府
昭島,-,6300,-,6300,23664,-,5070,36736,-,-,-,65470,-,昭
調布,-,-,-,0,-,-,20970,-,-,-,-,20970,32640,調
町田,-,6600,-,6600,71680,-,149000,-,-,-,-,220680,45516,町
小金井,-,1700,-,1700,-,-,3275,-,-,-,-,3275,-,金
小平,-,5000,-,5000,35700,-,6057,-,-,-,-,41757,-,平
日野,-,2700,-,2700,-,-,29400,-,-,ファイバービスケット、粉ミルク,2480,31880,8244,日
東村山,-,-,-,0,-,-,985,-,-,-,-,985,13440,東
国分寺,-,7000,-,7000,47800,-,4372,-,6993,-,-,59165,94116,分
国立,-,11970,-,11970,7368,-,7302,-,-,-,-,14670,4020,国
西東京,-,-,-,0,-,-,15800,-,-,-,-,15800,100,西
福生,-,-,-,0,12056,-,1477,9040,-,３日間食料セット,15795,38368,-,福
狛江,-,1000,-,1000,-,-,3035,-,-,アルファ化米,26050,29085,840,狛
東大和,-,14700,-,14700,23580,-,3615,-,-,-,-,27195,-,東
清瀬,-,-,-,0,-,-,-,32410,3000,餅、梅かゆ、黒豆パン、ビスケット、けんちん汁、とん汁,11132,46542,4590,清
東久留米,-,3890,-,3890,44100,-,31650,5520,900,-,-,82170,-,久
武蔵村山,-,12000,-,12000,-,-,2630,24080,22910,-,-,49620,-,武
多摩,-,22600,-,22600,115200,600,5000,-,540,ベビーフード,7488,128828,8700,多
稲城,-,2100,-,2100,5248,-,107750,-,-,サバイバルフーズ・梅がゆ,8830,121828,-,稲
羽村,-,2100,-,2100,-,-,2270,-,-,-,,2270,-,羽
あきる野,-,5000,-,5000,-,-,7915,-,-,-,-,7915,1200,あ
市計,130000,146020,0,276020,891951,600,1153973,153794,71843,-,77283,2349444,300214,計
区分,東京都備蓄分（クラッカー・アルファ化米・即席麺）都有倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）寄託倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）ランニングストック（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）計（食数）,区市町村備蓄分乾パン（食数）,区市町村備蓄分インスタント（食数）,区市町村備蓄分米（食数）,区市町村備蓄分缶詰主食（食数）,区市町村備蓄分缶詰副食（食数）,区市町村備蓄分その他内容,区市町村備蓄分その他食数,区市町村備蓄分計（食数）,区市町村備蓄分水（？）,区分
瑞穂町,-,1000,-,1000,17675,-,-,2121,-,,,19796,8646,瑞
日の出町,-,4900,-,4900,-,-,32700,3600,-,,,36300,-,日
檜原村,-,-,-,0,1128,-,12700,7620,-,,,21448,6000,檜
奥多摩町,-,-,-,0,-,-,2260,-,-,,,2260,660,奥
多摩町村計,0,5900,0,5900,18803,0,47660,13341,0,,,79804,15306,計
大島町,12000,-,-,12000,-,-,-,-,-,,,0,-,大
利島村,-,4200,-,4200,4480,-,145,50,80,おかゆ,2970,7725,1404,利
新島村,-,60690,-,60690,57610,-,3800,-,-,,,61410,150,新
神津島村,-,13300,-,13300,12000,-,-,-,-,,,12000,-,神
三宅村,5000,5390,-,10390,5400,-,-,-,-,,,5400,-,三
御蔵島村,-,3850,-,3850,4200,-,-,-,-,,,4200,-,御
八丈町,16100,7000,-,23100,7000,-,-,-,-,,,7000,-,八
青ヶ島村,-,700,-,700,-,-,-,-,200,クラッカー,400,600,156,青
小笠原村,34950,-,-,34950,-,-,3395,-,-,,,3395,34560,小
島しょ町村計,68050,95130,0,163180,90690,0,7340,50,280,,3370,101730,36270,計
都外,,,,0,,,,,,,,,,外
0.000258,0.000757,0.000135,0.000071,0.000062,0.000056,0.000043,0.00098,0.000084,0.000032,0.000004,0.000052,0.000049,0.000024,0.000027,0.000035,0.000036,0.000037,0.000045,0.000074,0.000056,0.000053,0.000047,0.000062,0.00005,0.000019,0.000032,0.000033,0.000059,0.000036,0.000009,0.000036,0.000038,0.000046,0.000017,0.000039,0.00022,0.000045,0.000049,0.000198,0.000029,0.000017,1.027788,0.512843
譚ｱ莠ｬ驛ｽ蝨ｰ蝓滂ｼ擾ｼ｡16�上ヱ繝ｫ繝励�邏吶�譛ｨ陬ｽ蜩�,0.001289,0.000442,0.001303,0.000729,1.017967,0.001539,0.000077,0.000474,0.001651,0.000213,0.000435,0.000353,0.000367,0.000306,0.000649,0.000813,0.000655,0.000744,0.000324,0.002854,0.004222,0.000456,0.000989,0.000752,0.00055,0.000552,0.000269,0.00062,0.000866,0.000428,0.000818,0.000991,0.00112,0.000554,0.000834,0.022393,0.000374,0.000425,0.000846,0.00018,0.000771,0.000402,0.007817,0.000646,0.000024,0.000421,0.000648,0.000139,0.000183,0.000232,0.000185,0.000175,0.00032,0.000359,0.000356,0.000318,0.000218,0.001264,0.000689,0.000136,0.000205,0.000167,0.000386,0.000237,0.000078,0.000224,0.000379,0.000147,0.000214,0.000282,0.000459,0.000198,0.000319,0.01034,0.000164,0.00013,1.100653,0.549202
譚ｱ莠ｬ驛ｽ蝨ｰ蝓滂ｼ擾ｼ｡20�丞喧蟄ｦ陬ｽ蜩�,0.002968,0.001073,0.000866,0.003593,0.001524,1.016868,0.000607,0.007349,0.001631,0.000362,0.00038,0.000277,0.000428,0.00037,0.000876,0.001191,0.000801,0.000785,0.000799,0.001118,0.000376,0.000204,0.000821,0.001258,0.000075,0.000095,0.000042,0.000142,0.000264,0.000192,0.000413,0.00583,0.000218,0.0003,0.000473,0.001962,0.000767,0.000066,0.000809,0.000422,0.000464,0.001054,0.001561,0.003307,0.00008,0.001586,0.000697,0.0003,0.000354,0.000766,0.000401,0.000503,0.00084,0.0006,0.000681,0.000653,0.001059,0.002373,0.000644,0.000152,0.00038,0.000337,0.000125,0.000128,0.000061,0.000151,0.000319,0.000159,0.000223,0.001888,0.000283,0.000446,0.000468,0.002307,0.000424,0.000063,1.084431,0.541107
譚ｱ莠ｬ驛ｽ蝨ｰ蝓滂ｼ擾ｼ｡21�冗浹豐ｹ繝ｻ遏ｳ轤ｭ陬ｽ蜩�,0.000388,0.000575,0.000097,0.000106,0.000077,0.000112,1.001449,0.000063,0.000295,0.000135,0.000076,0.000063,0.000062,0.00005,0.000054,0.000077,0.000048,0.000045,0.000087,0.000069,0.000166,0.000859,0.0003,0.00028,0.000057,0.000034,0.000023,0.001068,0.000053,0.00016,0.000118,0.000094,0.000074,0.000062,0.000122,0.000042,0.000434,0.000032,0.000017,0.000027,0.000014,0.000017,0.000017,0.000044,0.000021,0.000018,0.000022,0.000039,0.000011,0.000019,0.000015,0.000014,0.000013,0.000014,0.000014,0.000013,0.000016,0.000018,0.000019,0.000034,0.000015,0.00
