町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,851,667,664,1331
両国二丁目,1235,989,987,1976
両国三丁目,1217,888,969,1857
両国四丁目,1221,991,971,1962
千歳一丁目,963,796,833,1629
千歳二丁目,589,517,473,990
千歳三丁目,1403,1178,1158,2336
緑一丁目,1728,1488,1376,2864
緑二丁目,1715,1589,1670,3259
緑三丁目,1514,1346,1293,2639
緑四丁目,2567,2234,2039,4273
立川一丁目,859,617,675,1292
立川二丁目,839,689,658,1347
立川三丁目,994,817,814,1631
立川四丁目,995,761,765,1526
菊川一丁目,956,803,866,1669
菊川二丁目,1411,1054,1211,2265
菊川三丁目,2137,1818,1897,3715
江東橋一丁目,844,661,598,1259
江東橋二丁目,1266,1066,973,2039
江東橋三丁目,507,380,228,608
江東橋四丁目,1465,1104,950,2054
江東橋五丁目,1609,1450,1439,2889
横網一丁目,138,157,142,299
横網二丁目,658,566,568,1134
亀沢一丁目,1191,1013,1031,2044
亀沢二丁目,986,846,972,1818
亀沢三丁目,992,1026,973,1999
亀沢四丁目,1413,1278,1222,2500
石原一丁目,1473,1170,1219,2389
石原二丁目,1410,1248,1239,2487
石原三丁目,1675,1512,1357,2869
石原四丁目,1428,1305,1249,2554
本所一丁目,1565,1428,1416,2844
本所二丁目,897,768,836,1604
本所三丁目,982,887,868,1755
本所四丁目,1372,1242,1160,2402
東駒形一丁目,792,620,639,1259
東駒形二丁目,826,739,748,1487
東駒形三丁目,901,745,742,1487
東駒形四丁目,1432,1165,1209,2374
吾妻橋一丁目,1290,971,1100,2071
吾妻橋二丁目,887,662,715,1377
吾妻橋三丁目,860,785,832,1617
錦糸一丁目,1292,974,932,1906
錦糸二丁目,394,312,236,548
錦糸三丁目,412,336,274,610
錦糸四丁目,916,819,812,1631
太平一丁目,1740,1652,1616,3268
太平二丁目,848,723,559,1282
太平三丁目,780,633,602,1235
太平四丁目,2505,2231,2287,4518
横川一丁目,789,822,727,1549
横川二丁目,907,763,692,1455
横川三丁目,618,537,506,1043
横川四丁目,693,625,561,1186
横川五丁目,1402,1184,1516,2700
業平一丁目,1504,1390,1558,2948
業平二丁目,801,688,614,1302
業平三丁目,839,668,671,1339
業平四丁目,1159,887,979,1866
業平五丁目,1140,1058,1178,2236
向島一丁目,1320,1073,1090,2163
向島二丁目,1529,1264,1381,2645
向島三丁目,2490,2178,2169,4347
向島四丁目,1319,1240,1304,2544
向島五丁目,2533,2137,2088,4225
東向島一丁目,1699,1549,1498,3047
東向島二丁目,2827,2399,2558,4957
東向島三丁目,1598,1617,1648,3265
東向島四丁目,1917,1697,1748,3445
東向島五丁目,2104,1813,1959,3772
東向島六丁目,2953,2708,2710,5418
堤通一丁目,1099,1129,1075,2204
堤通二丁目,2031,1797,2245,4042
墨田一丁目,1409,1475,1601,3076
墨田二丁目,1989,1920,1916,3836
墨田三丁目,1974,1814,1783,3597
墨田四丁目,2407,2304,2366,4670
墨田五丁目,1536,1394,1380,2774
押上一丁目,1318,1026,1142,2168
押上二丁目,1970,1751,1906,3657
押上三丁目,2247,2130,2084,4214
京島一丁目,3568,3361,3603,6964
京島二丁目,966,933,832,1765
京島三丁目,2284,2116,2006,4122
文花一丁目,2957,2518,2987,5505
文花二丁目,1237,1112,1165,2277
文花三丁目,1184,1340,1299,2639
八広一丁目,1819,1697,1625,3322
八広二丁目,2075,2051,2006,4057
八広三丁目,1826,1821,1674,3495
八広四丁目,2156,2137,2073,4210
八広五丁目,1553,1422,1443,2865
八広六丁目,2067,2029,1929,3958
立花一丁目,3092,2727,2881,5608
立花二丁目,832,758,743,1501
立花三丁目,1544,1421,1429,2850
立花四丁目,1807,1793,1710,3503
立花五丁目,1777,2021,1970,3991
立花六丁目,1115,1069,1171,2240
東墨田一丁目,63,71,57,128
東墨田二丁目,709,660,617,1277
東墨田三丁目,381,412,379,791
