町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,802,664,659,1323
両国二丁目,1143,942,892,1834
両国三丁目,1048,776,847,1623
両国四丁目,1099,880,856,1736
千歳一丁目,825,699,729,1428
千歳二丁目,542,489,412,901
千歳三丁目,1158,941,951,1892
緑一丁目,1555,1388,1281,2669
緑二丁目,1602,1531,1583,3114
緑三丁目,1229,1142,1069,2211
緑四丁目,2146,1883,1680,3563
立川一丁目,705,558,553,1111
立川二丁目,801,655,626,1281
立川三丁目,865,742,751,1493
立川四丁目,802,663,601,1264
菊川一丁目,800,731,766,1497
菊川二丁目,1198,997,1058,2055
菊川三丁目,1968,1699,1792,3491
江東橋一丁目,809,635,592,1227
江東橋二丁目,1233,1072,905,1977
江東橋三丁目,446,309,232,541
江東橋四丁目,1372,1002,973,1975
江東橋五丁目,1573,1419,1448,2867
横網一丁目,127,144,137,281
横網二丁目,661,552,557,1109
亀沢一丁目,1104,983,945,1928
亀沢二丁目,849,760,853,1613
亀沢三丁目,917,951,879,1830
亀沢四丁目,1330,1209,1146,2355
石原一丁目,1409,1187,1198,2385
石原二丁目,1228,1124,1123,2247
石原三丁目,1551,1455,1224,2679
石原四丁目,1371,1328,1193,2521
本所一丁目,1454,1386,1346,2732
本所二丁目,833,777,803,1580
本所三丁目,912,856,848,1704
本所四丁目,1188,1126,1071,2197
東駒形一丁目,732,587,603,1190
東駒形二丁目,815,756,754,1510
東駒形三丁目,794,703,699,1402
東駒形四丁目,1353,1188,1149,2337
吾妻橋一丁目,1184,947,1011,1958
吾妻橋二丁目,815,659,650,1309
吾妻橋三丁目,823,748,820,1568
錦糸一丁目,1182,913,840,1753
錦糸二丁目,369,290,249,539
錦糸三丁目,399,328,279,607
錦糸四丁目,881,784,767,1551
太平一丁目,1671,1622,1542,3164
太平二丁目,881,742,617,1359
太平三丁目,634,522,498,1020
太平四丁目,2366,2175,2266,4441
横川一丁目,698,756,654,1410
横川二丁目,819,710,610,1320
横川三丁目,628,569,509,1078
横川四丁目,688,643,567,1210
横川五丁目,1348,1209,1470,2679
業平一丁目,1440,1368,1496,2864
業平二丁目,792,685,609,1294
業平三丁目,813,651,652,1303
業平四丁目,1087,901,939,1840
業平五丁目,1097,1023,1110,2133
向島一丁目,1195,1048,998,2046
向島二丁目,1352,1194,1232,2426
向島三丁目,2068,1854,1786,3640
向島四丁目,1277,1262,1280,2542
向島五丁目,2278,2034,1946,3980
東向島一丁目,1629,1501,1457,2958
東向島二丁目,2612,2339,2421,4760
東向島三丁目,1578,1596,1678,3274
東向島四丁目,1811,1650,1714,3364
東向島五丁目,1941,1799,1889,3688
東向島六丁目,2658,2566,2570,5136
堤通一丁目,1064,1189,1099,2288
堤通二丁目,2034,1903,2308,4211
墨田一丁目,1216,1364,1468,2832
墨田二丁目,1901,1929,1842,3771
墨田三丁目,1832,1793,1717,3510
墨田四丁目,2403,2315,2464,4779
墨田五丁目,1501,1439,1363,2802
押上一丁目,1233,1037,1102,2139
押上二丁目,1982,1807,1935,3742
押上三丁目,2120,2057,1923,3980
京島一丁目,3153,3026,3187,6213
京島二丁目,971,934,852,1786
京島三丁目,2357,2200,2127,4327
文花一丁目,2851,2534,3012,5546
文花二丁目,1104,1087,1067,2154
文花三丁目,1154,1312,1311,2623
八広一丁目,1708,1696,1573,3269
八広二丁目,1960,2037,1960,3997
八広三丁目,1750,1712,1642,3354
八広四丁目,1927,2011,1899,3910
八広五丁目,1489,1441,1415,2856
八広六丁目,1937,1971,1890,3861
立花一丁目,3145,2862,2981,5843
立花二丁目,804,750,713,1463
立花三丁目,1370,1295,1317,2612
立花四丁目,1736,1818,1712,3530
立花五丁目,1735,1951,1871,3822
立花六丁目,1123,1130,1192,2322
東墨田一丁目,69,79,65,144
東墨田二丁目,640,620,559,1179
東墨田三丁目,377,404,362,766
497
菊川二8779842141 ], [ 139.71695321930437, 35.619675879531329 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 31821, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 31821, "SAFIELD001": 31834, "SAFIELD002": 2, "SAFIELD003": "讀崎ｾｼ縺ｿ", "SAFIELD004": 10.0, "SAFIELD005": "螟ｧ蟠主慍蛹ｺ", "SAFIELD006": "隘ｿ莠泌渚逕ｰ蜈ｭ荳∫岼", "SAFIELD007": 9, "SAFIELD008": "蝠�･ｭ蝨ｰ蝓�", "SAFIELD009": 132, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.71695321930437, 35.619675879531329 ], [ 139.7168979567513, 35.619645359479193 ], [ 139.71685622207423, 35.619649645766138 ] ] } },
