町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,801,642,650,1292
両国二丁目,1132,950,908,1858
両国三丁目,1144,839,906,1745
両国四丁目,1098,885,882,1767
千歳一丁目,860,725,746,1471
千歳二丁目,556,494,431,925
千歳三丁目,1197,974,987,1961
緑一丁目,1566,1394,1273,2667
緑二丁目,1648,1573,1661,3234
緑三丁目,1335,1261,1146,2407
緑四丁目,2233,1927,1740,3667
立川一丁目,782,578,601,1179
立川二丁目,809,658,638,1296
立川三丁目,959,806,817,1623
立川四丁目,838,693,607,1300
菊川一丁目,815,735,781,1516
菊川二丁目,1306,1041,1123,2164
菊川三丁目,1997,1716,1833,3549
江東橋一丁目,829,645,607,1252
江東橋二丁目,1202,1024,924,1948
江東橋三丁目,461,335,237,572
江東橋四丁目,1413,1039,1002,2041
江東橋五丁目,1593,1437,1426,2863
横網一丁目,132,155,146,301
横網二丁目,673,570,574,1144
亀沢一丁目,1188,1014,1026,2040
亀沢二丁目,927,807,908,1715
亀沢三丁目,933,960,886,1846
亀沢四丁目,1339,1217,1165,2382
石原一丁目,1420,1172,1209,2381
石原二丁目,1251,1138,1125,2263
石原三丁目,1559,1440,1247,2687
石原四丁目,1376,1297,1214,2511
本所一丁目,1545,1440,1406,2846
本所二丁目,873,788,810,1598
本所三丁目,963,885,879,1764
本所四丁目,1210,1119,1080,2199
東駒形一丁目,703,565,592,1157
東駒形二丁目,804,733,736,1469
東駒形三丁目,807,715,696,1411
東駒形四丁目,1361,1185,1164,2349
吾妻橋一丁目,1232,975,1035,2010
吾妻橋二丁目,840,659,676,1335
吾妻橋三丁目,823,770,809,1579
錦糸一丁目,1180,889,854,1743
錦糸二丁目,372,297,243,540
錦糸三丁目,394,323,273,596
錦糸四丁目,878,782,788,1570
太平一丁目,1667,1609,1573,3182
太平二丁目,861,717,603,1320
太平三丁目,710,581,560,1141
太平四丁目,2436,2202,2287,4489
横川一丁目,719,783,678,1461
横川二丁目,830,723,623,1346
横川三丁目,618,560,510,1070
横川四丁目,684,637,551,1188
横川五丁目,1339,1167,1464,2631
業平一丁目,1469,1384,1531,2915
業平二丁目,784,664,626,1290
業平三丁目,836,647,666,1313
業平四丁目,1098,879,950,1829
業平五丁目,1131,1058,1160,2218
向島一丁目,1234,1058,1041,2099
向島二丁目,1352,1181,1247,2428
向島三丁目,2138,1910,1865,3775
向島四丁目,1281,1255,1300,2555
向島五丁目,2291,2001,1942,3943
東向島一丁目,1611,1490,1462,2952
東向島二丁目,2662,2354,2461,4815
東向島三丁目,1587,1578,1648,3226
東向島四丁目,1857,1678,1692,3370
東向島五丁目,2014,1819,1938,3757
東向島六丁目,2764,2618,2640,5258
堤通一丁目,1096,1196,1117,2313
堤通二丁目,2008,1863,2261,4124
墨田一丁目,1245,1357,1456,2813
墨田二丁目,1974,1966,1880,3846
墨田三丁目,1870,1809,1757,3566
墨田四丁目,2423,2316,2448,4764
