,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体 ,42.7 ,16.8 ,8.9 ,16.9 ,14.3 ,0.3 ,100.0 ,13069
韓国 ,29.7 ,19.9 ,9.9 ,18.9 ,21.3 ,0.3 ,100.0 ,1783
台湾,23.0 ,19.2 ,12.4 ,27.3 ,17.4 ,0.7 ,100.0 ,2181
中国 ,65.7 ,14.2 ,5.4 ,8.4 ,6.1 ,0.2 ,100.0 ,2333
香港 ,17.3 ,15.2 ,10.5 ,26.0 ,30.4 ,0.6 ,100.0 ,727
タイ ,40.4 ,19.2 ,9.9 ,20.1 ,9.6 ,0.9 ,100.0 ,838
シンガポール,28.9 ,21.5 ,13.3 ,21.5 ,14.8 ,0.0 ,100.0 ,409
マレーシア,38.9 ,19.1 ,11.1 ,15.3 ,15.6 ,0.0 ,100.0 ,285
米国,51.7 ,15.5 ,7.5 ,11.3 ,13.7 ,0.2 ,100.0 ,1356
カナダ ,54.7 ,16.1 ,8.6 ,8.6 ,11.8 ,0.4 ,100.0 ,284
英国,54.8 ,12.9 ,6.8 ,13.2 ,12.1 ,0.3 ,100.0 ,357
ドイツ ,51.1 ,10.8 ,9.3 ,16.4 ,11.8 ,0.5 ,100.0 ,199
フランス,54.1 ,14.2 ,4.2 ,12.9 ,14.5 ,0.0 ,100.0 ,332
イタリア,62.5 ,13.1 ,5.5 ,9.0 ,9.8 ,0.0 ,100.0 ,216
スペイン,72.5 ,9.3 ,3.1 ,8.6 ,6.5 ,0.0 ,100.0 ,229
オーストラリア ,59.4 ,18.9 ,5.8 ,9.8 ,6.1 ,0.0 ,100.0 ,435
インド,48.4 ,16.5 ,10.7 ,16.4 ,7.5 ,0.6 ,100.0 ,160
インドネシア,49.0 ,17.8 ,8.9 ,14.5 ,9.9 ,0.0 ,100.0 ,217
フィリピン ,52.7 ,18.5 ,9.5 ,11.9 ,7.4 ,0.0 ,100.0 ,241
ベトナム,60.4 ,14.6 ,8.4 ,10.8 ,5.8 ,0.0 ,100.0 ,193
ロシア ,51.2 ,13.9 ,9.1 ,15.9 ,9.9 ,0.0 ,100.0 ,175
その他,63.8 ,10.7 ,8.9 ,11.3 ,5.3 ,0.0 ,100.0 ,119
オーストラリ�,406000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,土木費,市街地再開発費,937000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,6043650,6043650,937000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,社会及労働施設費,社会福祉施設等整備費,2500000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,16125000,16125000,2500000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,社会及労働施設費,社会福祉施設等整備費,157000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,1012650,1012650,157000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,産業経済費,金融事業費,4600000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,29670000,29670000,4600000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,土木費,道路補修費,2266000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,14615700,14615700,2266000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,土木費,中小河川整備費,3000000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,19350000,19350000,3000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,消防費,消防装備費,2000000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,12900000,12900000,2000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-690,消防費,消防施設整備費,2000000,22,22.12.21,23.08,02.12,08.25,02.25,1.290,-,-,12900000,12900000,2000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-691,その他（普通債）,高速電車事業会計補助金,1000000,22,23.01.25,23.08,02.12,08.25,02.25,1.240,-,-,6200000,6200000,1000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-691,社会及労働施設費,社会福祉施設等整備助成費,5000000,22,23.01.25,23.08,02.12,08.25,02.25,1.240,-,-,31000000,31000000,5000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-691,社会及労働施設費,社会福祉施設等整備助成費,1000000,22,23.01.25,23.08,02.12,08.25,02.25,1.240,-,-,6200000,6200000,1000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-691,土木費,交通安全施設費,5000000,22,23.01.25,23.08,02.12,08.25,02.25,1.240,-,-,31000000,31000000,5000000000
