,10代,20代,30代,40代,50代,60代,70代以上,無回答,合計,標本数
全体 ,5.2 ,30.7 ,27.6 ,19.6 ,9.5 ,3.6 ,0.7 ,3.1 ,100.0 ,13069
韓国 ,6.6 ,42.7 ,19.2 ,16.2 ,8.1 ,2.2 ,0.7 ,4.2 ,100.0 ,1783
台湾,5.1 ,27.5 ,30.6 ,22.0 ,9.2 ,3.1 ,0.4 ,2.2 ,100.0 ,2181
中国 ,6.1 ,28.8 ,31.1 ,20.5 ,7.7 ,3.9 ,0.6 ,1.2 ,100.0 ,2333
香港 ,4.3 ,23.6 ,25.6 ,26.6 ,14.6 ,2.5 ,0.4 ,2.5 ,100.0 ,727
タイ ,3.2 ,31.9 ,30.8 ,15.7 ,8.6 ,3.2 ,0.5 ,6.0 ,100.0 ,838
シンガポール,2.6 ,29.2 ,24.6 ,20.9 ,13.0 ,4.8 ,0.8 ,4.1 ,100.0 ,409
マレーシア,0.7 ,27.8 ,26.5 ,24.1 ,10.9 ,3.8 ,0.3 ,5.9 ,100.0 ,285
米国,4.1 ,24.0 ,22.8 ,18.6 ,16.4 ,6.7 ,2.7 ,4.7 ,100.0 ,1356
カナダ ,6.0 ,28.4 ,18.2 ,17.4 ,15.6 ,6.8 ,2.9 ,4.7 ,100.0 ,284
英国,2.8 ,26.6 ,25.2 ,16.0 ,17.6 ,5.1 ,0.8 ,5.8 ,100.0 ,357
ドイツ ,5.9 ,20.6 ,33.7 ,16.8 ,14.2 ,4.8 ,1.6 ,2.4 ,100.0 ,199
フランス,4.1 ,31.3 ,25.4 ,18.1 ,10.1 ,6.7 ,1.9 ,2.4 ,100.0 ,332
イタリア,3.8 ,22.3 ,38.1 ,20.0 ,7.9 ,4.1 ,1.0 ,2.8 ,100.0 ,216
スペイン,3.0 ,17.7 ,46.4 ,19.8 ,6.7 ,2.8 ,0.3 ,3.3 ,100.0 ,229
オーストラリア ,4.9 ,35.0 ,25.7 ,12.0 ,9.1 ,6.2 ,1.9 ,5.1 ,100.0 ,435
インド,0.0 ,26.1 ,31.0 ,29.4 ,6.3 ,0.6 ,0.6 ,6.1 ,100.0 ,160
インドネシア,1.7 ,27.3 ,29.2 ,21.6 ,10.0 ,3.1 ,0.4 ,6.7 ,100.0 ,217
フィリピン ,2.4 ,29.2 ,25.7 ,23.0 ,12.3 ,3.7 ,0.4 ,3.3 ,100.0 ,241
ベトナム,1.4 ,27.1 ,23.5 ,19.2 ,19.0 ,4.5 ,1.0 ,4.3 ,100.0 ,193
ロシア ,7.0 ,38.4 ,26.9 ,14.5 ,6.6 ,1.7 ,0.0 ,4.9 ,100.0 ,175
その他,2.4 ,24.0 ,40.7 ,12.1 ,6.5 ,6.5 ,1.3 ,6.3 ,100.0 ,119
オーストラリ�000
一般会計,一般会計普通債,長期債,債券,公募,公募10-676,土木費,地下高速鉄道建設事業助成費,12000000,21,21.11.27,22.02,01.09,08.25,02.25,1.370,-,-,82200000,82200000,12000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-676,教育費,都立学校整備費,6848000,21,21.11.27,22.02,01.09,08.25,02.25,1.370,-,-,46908800,46908800,6848000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,街路整備費,6700000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,77385000,77385000,6700000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,道路災害防除費,173000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,1998150,1998150,173000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,道路災害防除費,1085000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,12531750,12531750,1085000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,道路橋梁直轄事業負担金,1109000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,12808950,12808950,1109000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,河川防災費,410000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,4735500,4735500,410000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,河川防災費,977000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,11284350,11284350,977000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,高潮防御施設費,1363000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,15742650,15742650,1363000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,砂防海岸整備費,704000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,8131200,8131200,704000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,砂防海岸整備費,518000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,5982900,5982900,518000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,河川海岸直轄事業負担金,1252000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,14460600,14460600,1252000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,河川海岸直轄事業負担金,1135000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,13109250,13109250,1135000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,公園整備費,2204000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,25456200,25456200,2204000000
一般会計,一般会計普通債,長期債,債券,公募,公募30-10,土木費,公園整備費,388000,21,21.12.02,22.08,21.09,08.25,02.25,2.310,-,-,4481400,4481400,388000000
