,地下鉄,地下鉄以外の鉄道,空港リムジンバス,貸切バス,定期観光バス,路線バス,タクシー,水上バス・屋形船,船（都内移動のみ）,自転車,親族・知人の車,レンタカー,その他,無回答,合計,標本数
全体,56.4 ,74.4 ,18.9 ,18.3 ,2.6 ,6.2 ,22.7 ,1.3 ,1.1 ,1.4 ,3.6 ,1.9 ,1.4 ,1.3 ,199.6 ,"13,069 "
韓国,53.4 ,80.2 ,19.8 ,6.9 ,1.2 ,5.2 ,19.3 ,1.6 ,0.6 ,1.3 ,4.8 ,1.9 ,1.1 ,0.7 ,186.0 ,"1,783 "
台湾,63.2 ,79.8 ,15.2 ,21.4 ,2.4 ,6.4 ,11.2 ,1.4 ,1.1 ,1.0 ,1.8 ,0.8 ,0.9 ,1.5 ,199.7 ,"2,181 "
中国,45.5 ,56.5 ,13.7 ,38.8 ,2.7 ,5.8 ,18.7 ,1.0 ,0.6 ,0.7 ,4.4 ,1.9 ,1.6 ,2.1 ,181.7 ,"2,333 "
香港,64.3 ,83.7 ,24.2 ,8.3 ,2.8 ,7.2 ,22.7 ,0.5 ,1.0 ,0.4 ,1.3 ,3.6 ,1.0 ,1.2 ,213.0 ,727 
タイ,48.5 ,83.2 ,17.7 ,11.7 ,5.1 ,2.3 ,26.7 ,1.5 ,1.0 ,2.5 ,7.0 ,6.8 ,1.5 ,1.6 ,195.1 ,838 
シンガポール,62.6 ,78.7 ,29.0 ,8.5 ,2.9 ,4.7 ,24.1 ,1.1 ,0.3 ,0.2 ,1.3 ,2.3 ,1.0 ,2.3 ,210.6 ,409 
マレーシア,64.5 ,79.1 ,26.8 ,15.2 ,6.2 ,8.8 ,35.8 ,0.3 ,1.4 ,0.0 ,4.6 ,0.3 ,2.0 ,0.7 ,236.3 ,285 
米国,63.6 ,78.8 ,26.4 ,5.0 ,4.8 ,9.8 ,51.5 ,2.4 ,3.1 ,1.9 ,5.1 ,1.6 ,2.7 ,0.7 ,239.9 ,"1,356 "
カナダ,73.1 ,84.0 ,23.9 ,4.6 ,5.6 ,8.1 ,39.7 ,1.4 ,4.3 ,3.2 ,3.0 ,1.1 ,1.1 ,0.0 ,239.0 ,284 
英国,73.5 ,85.6 ,24.7 ,2.8 ,3.6 ,8.0 ,49.9 ,5.1 ,2.2 ,3.5 ,1.8 ,0.8 ,1.4 ,0.6 ,248.1 ,357 
ドイツ,71.1 ,79.0 ,23.8 ,1.5 ,1.9 ,6.3 ,40.1 ,2.9 ,2.4 ,2.5 ,4.6 ,0.9 ,1.4 ,0.9 ,223.8 ,199 
フランス,77.6 ,82.2 ,25.1 ,1.2 ,0.9 ,11.9 ,38.7 ,1.5 ,3.7 ,5.5 ,3.0 ,3.4 ,2.1 ,0.3 ,237.5 ,332 
イタリア,77.3 ,74.7 ,16.2 ,3.7 ,2.8 ,4.5 ,38.7 ,1.7 ,1.8 ,2.4 ,2.2 ,0.5 ,0.4 ,1.7 ,218.0 ,216 
スペイン,79.0 ,89.6 ,18.1 ,1.1 ,2.6 ,10.7 ,36.3 ,1.9 ,4.4 ,4.2 ,3.3 ,3.4 ,2.8 ,0.0 ,237.4 ,229 
オーストラリア,69.4 ,87.8 ,28.1 ,3.7 ,3.9 ,7.3 ,41.4 ,2.1 ,2.1 ,5.9 ,3.8 ,0.3 ,1.7 ,0.9 ,241.7 ,435 
インド,47.8 ,74.7 ,38.2 ,3.8 ,3.1 ,8.7 ,50.9 ,0.0 ,1.8 ,2.5 ,2.0 ,1.9 ,1.8 ,1.8 ,227.1 ,160 
インドネシア,63.2 ,79.5 ,26.7 ,15.2 ,3.9 ,7.7 ,36.9 ,0.4 ,1.3 ,0.9 ,3.2 ,5.1 ,0.4 ,0.9 ,233.1 ,217 
フィリピン,61.9 ,78.7 ,27.5 ,5.5 ,7.8 ,12.2 ,33.7 ,0.4 ,0.8 ,2.9 ,7.9 ,2.9 ,1.7 ,1.7 ,227.4 ,241 
ベトナム,44.1 ,71.8 ,17.3 ,21.8 ,4.1 ,7.2 ,24.4 ,1.4 ,2.4 ,2.5 ,6.1 ,6.5 ,3.3 ,1.1 ,190.9 ,193 
ロシア,65.6 ,82.3 ,21.5 ,7.3 ,2.3 ,7.5 ,35.0 ,4.7 ,1.8 ,2.2 ,7.0 ,1.1 ,1.1 ,0.6 ,221.6 ,175 
その他,64.8 ,86.0 ,27.1 ,1.2 ,0.0 ,5.9 ,40.7 ,0.7 ,1.1 ,4.4 ,0.6 ,0.0 ,3.1 ,0.6 ,225.7 ,119 
オーストラリ学校整備費,3480000,09,19.09.27,20.02,29.09,08.25,02.25,1.730,-,-,30102000,30102000,3480000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-649,警察費,施設費,6000,09,19.09.27,20.02,29.09,08.25,02.25,1.730,-,-,51900,51900,6000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,警察費,施設費,4054000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,37499500,37499500,4054000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,首都圏新都市鉄道株式会社出資金,4640000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,42920000,42920000,4640000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,道路整備費,4640000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,42920000,42920000,4640000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,道路補修費,3480000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,32190000,32190000,3480000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,河川海岸直轄事業負担金,1160000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,10730000,10730000,1160000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,河川防災費,522000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,4828500,4828500,522000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,中小河川整備費,2030000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,18777500,18777500,2030000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,河川環境整備費,348000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,3219000,3219000,348000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,東京港海岸保全費,1160000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,10730000,10730000,1160000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,土木費,島しょ等港湾整備費,1160000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,10730000,10730000,1160000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,教育費,都立学校整備費,4060000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,37555000,37555000,4060000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-650,警察費,施設費,1006000,09,19.10.25,20.02,29.09,08.25,02.25,1.850,-,-,9305500,9305500,1006000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,土木費,東京港整備費,1500000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,17325000,17325000,1500000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,保健衛生費,東京港廃棄物処理場建設費,100000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,1155000,1155000,100000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,保健衛生費,東京港廃棄物処理場建設費,900000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,10395000,10395000,900000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,教育費,都立学校整備費,1202000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,13883100,13883100,1202000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,教育費,都立学校整備費,166000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,1917300,1917300,166000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,教育費,都立学校整備費,632000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,7299600,7299600,632000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,土木費,公園整備費,1500000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,17325000,17325000,1500000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,土木費,街路整備費,4000000,18,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,46200000,46200000,4000000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,土木費,街路整備費,1500000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,17325000,17325000,1500000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,土木費,街路整備費,1500000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,17325000,17325000,1500000000
一般会計,一般会計普通債,長期債,債券,公募,公募20-12,土木費,街路整備費,7000000,19,19.10.30,20.02,09.09,08.25,02.25,2.310,-,-,80850000,80850000,7000000000
一般会計,一般会計普通債,長期債,債券,公募,公募10-651,警察費,施設費,1894000,09,19.11.27,20.02,29.09,08.25,02.25,1.620,-,-,15341400,15341400,1894000000
