,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量（内、自己中間処理後量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後再生利用量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後自己最終処分量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託処理量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託直接最終処分量）（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量（内、自己未処理再生利用量）（千t）,自己未処理量（内、自己未処理自己最終処分量）（千t）,自己未処理量（内、自己未処理委託処理量）（千t）,自己未処理量（内、自己未処理委託直接最終処分量）（千t）,委託処理量（千t）,委託処理量（内、委託中間処理量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後再生利用量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後最終処分量）（千t）,委託処理量（内、委託直接最終処分量）（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,68,0,68,,,,,,,,68,0,,68,0,68,68,56,42,15,0,12,15,42,12,15,
燃え殻,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥,3,,3,,,,,,,,3,,,3,,3,3,1,0,0,,2,0,0,2,0,
汚泥（内、上水汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、建設汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、その他の汚泥）,3,,3,,,,,,,,3,,,3,,3,3,1,0,0,,2,0,0,2,0,
廃油,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
廃酸,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,,,0,,,
廃アルカリ,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,0,,0,0,,
廃プラスチック類,14,0,14,,,,,,,,14,0,,14,0,14,14,8,6,3,0,5,3,6,5,3,
ゴムくず,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,,,0,,,
金属くず,14,0,14,,,,,,,,14,0,,14,,14,14,14,12,2,,,2,12,,2,
ガラス・陶磁器くず,5,0,5,,,,,,,,5,0,,5,0,5,5,5,4,1,0,,1,4,,1,
鉱さい,,,,,,,,,,,,,,,,,,,,,,,,,,,
がれき,10,,10,,,,,,,,10,,,10,,10,10,10,7,3,,,3,7,,3,
がれき（内、コンクリート塊）,4,,4,,,,,,,,4,,,4,,4,4,4,3,1,,,1,3,,1,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,4,,4,,,,,,,,4,,,4,,4,4,4,3,1,,,1,3,,1,
がれき（内、その他のがれき類）,3,,3,,,,,,,,3,,,3,,3,3,3,1,1,,,1,1,,1,
石綿含有産業破棄物,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,,0,
ばいじん,,,,,,,,,,,,,,,,,,,,,,,,,,,
紙くず,1,,1,,,,,,,,1,,,1,,1,1,0,0,0,,1,0,0,1,0,
木くず,6,,6,,,,,,,,6,,,6,0,6,6,3,3,0,0,3,0,3,3,0,
繊維くず,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,0,,0,0,,
動植物性残さ,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物系固形不要物,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物のふん尿,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物の死体,,,,,,,,,,,,,,,,,,,,,,,,,,,
政令13号物,,,,,,,,,,,,,,,,,,,,,,,,,,,
混合廃棄物,14,,14,,,,,,,,14,,,14,0,14,14,14,8,6,0,,6,8,,6,
その他,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
特別管理産業廃棄物,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,0,,0,0,,
廃油,,,,,,,,,,,,,,,,,,,,,,,,,,,
廃酸,,,,,,,,,,,,,,,,,,,,,,,,,,,
廃アルカリ,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性廃棄物,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,0,,0,0,,
特定有害廃棄物,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、廃PCB等）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、廃石綿等）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他のば い じ ん）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の廃 油）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の廃酸）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の廃アルカリ）,,,,,,,,,,,,,,,,,,,,,,,,,,,
