地域区分,国・地域（人）,人口
総数,総数,390321
アジア,アジア,324366
アジア,アフガニスタン,95
アジア,アラブ首長国連邦,7
アジア,ミャンマー,4015
アジア,バーレーン,2
アジア,ブータン,10
アジア,バングラデシュ,3348
アジア,ブルネイ,10
アジア,カンボジア,204
アジア,スリランカ,1382
アジア,中国,134493
アジア,キプロス,8
アジア,インド,8706
アジア,インドネシア,2736
アジア,イラン,1336
アジア,イラク,45
アジア,イスラエル,398
アジア,ヨルダン,32
アジア,韓国・朝鮮,115051
アジア,クウェート,12
アジア,ラオス,258
アジア,レバノン,51
アジア,マレーシア,2268
アジア,モンゴル,926
アジア,オマーン,4
アジア,モルディブ,10
アジア,ネパール,3600
アジア,パキスタン,1468
アジア,フィリピン,32130
アジア,カタール,18
アジア,サウジアラビア,172
アジア,シリア,50
アジア,シンガポール,1225
アジア,タイ,6743
アジア,東ティモール,3
アジア,トルコ,552
アジア,ベトナム,2988
アジア,イエメン,10
ヨーロッパ,ヨーロッパ,25802
ヨーロッパ,アルバニア,7
ヨーロッパ,オーストリア,250
ヨーロッパ,ベルギー,296
ヨーロッパ,ブルガリア,170
ヨーロッパ,ベラルーシ,97
ヨーロッパ,クロアチア,40
ヨーロッパ,チェコ,89
ヨーロッパ,デンマーク,258
ヨーロッパ,エストニア,32
ヨーロッパ,フィンランド,271
ヨーロッパ,フランス,5568
ヨーロッパ,ドイツ,2793
ヨーロッパ,ギリシャ,85
ヨーロッパ,ハンガリー,174
ヨーロッパ,アイスランド,27
ヨーロッパ,アイルランド,490
ヨーロッパ,イタリア,1082
ヨーロッパ,キルギス,43
ヨーロッパ,カザフスタン,44
ヨーロッパ,リヒテンシュタイン,4
ヨーロッパ,ルクセンブルク,10
ヨーロッパ,ラトビア,19
ヨーロッパ,リトアニア,65
ヨーロッパ,マルタ,15
ヨーロッパ,モルドバ,37
ヨーロッパ,マケドニア,12
ヨーロッパ,オランダ,483
ヨーロッパ,ノルウェー,124
ヨーロッパ,ポーランド,260
ヨーロッパ,ポルトガル,149
ヨーロッパ,ルーマニア,627
ヨーロッパ,ロシア,2009
ヨーロッパ,スペイン,614
ヨーロッパ,スウェーデン,803
ヨーロッパ,スイス,484
ヨーロッパ,トルクメニスタン,4
ヨーロッパ,タジキスタン,6
ヨーロッパ,英国,7541
ヨーロッパ,ウクライナ,337
ヨーロッパ,ウズベキスタン,223
ヨーロッパ,アルメニア,17
ヨーロッパ,アゼルバイジャン,7
ヨーロッパ,グルジア,6
ヨーロッパ,スロベニア,14
ヨーロッパ,スロバキア,56
ヨーロッパ,ボスニア・ヘルツェゴビナ,10
ヨーロッパ,※セルビア・モンテネグロ,50
アフリカ,アフリカ,2920
アフリカ,アルジェリア,31
アフリカ,ブルンジ,5
アフリカ,ボツワナ,1
アフリカ,カメルーン,61
アフリカ,中央アフリカ,1
アフリカ,チャド,1
アフリカ,コンゴ共和国,3
アフリカ,コンゴ民主共和国,66
アフリカ,ベナン,15
アフリカ,ジブチ,3
アフリカ,エチオピア,122
アフリカ,エリトリア,3
アフリカ,ガボン,4
アフリカ,ガーナ,572
アフリカ,ギニア,137
アフリカ,ガンビア,9
アフリカ,コートジボアール,32
アフリカ,ケニア,110
アフリカ,リベリア,11
アフリカ,リビア,7
アフリカ,レソト,43
アフリカ,マダガスカル,14
アフリカ,マリ,41
