一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
175,世田谷区北烏山6-25-12,35.675659,139.596451,JGD2011,高速国道中央自動車道,A,2011-10-12,2011-10-13,1,4,8.8,1.2,62,58
176,世田谷区上北沢5-2-1,35.670830,139.622574,JGD2011,都道新宿国立線,C,2011-10-12,2011-10-13,4,4,9.5,1.2,65,62
177,世田谷区上北沢5-3-1,35.671001,139.621475,JGD2011,国道20号,C,2011-10-12,2011-10-13,3,4,6,1.2,73,71
178,世田谷区北烏山1-12-5,35.673088,139.604050,JGD2011,国道20号,B,2011-10-12,2011-10-13,3,4,2.5,1.2,74,74
179,世田谷区八幡山1-6-10,35.660065,139.623077,JGD2011,都道調布経堂停車場線,B,2011-10-12,2011-10-13,4,2,2.5,1.2,68,62
180,世田谷区代沢1-3-6,35.655685,139.679001,JGD2011,都道渋谷経堂線,B,2011-10-12,2011-10-13,4,2,2,1.2,69,69
181,世田谷区弦巻3-15-8,35.636566,139.644821,JGD2011,都道瀬田貫井線,A,2011-10-12,2011-10-13,4,2,2.1,1.2,64,60
182,世田谷区玉川台1-12-5,35.623756,139.632126,JGD2011,都道瀬田貫井線,B,2011-10-12,2011-10-13,4,2,2.3,1.2,64,61
183,世田谷区大蔵6-20-28,35.625130,139.607300,JGD2011,都道大田調布線,A,2011-10-12,2011-10-13,4,2,3.5,1.2,69,65
184,世田谷区喜多見3-25-1,35.624748,139.597153,JGD2011,都道大田調布線,A,2011-10-12,2011-10-13,4,2,2.5,1.2,66,59
185,世田谷区野毛2-6-6,35.601189,139.641373,JGD2011,都道大田調布線,A,2011-10-12,2011-10-13,4,2,7.9,1.2,62,58
186,世田谷区羽根木1-6-14,35.664528,139.660507,JGD2011,都道環状7号線（環七通り）,c,2011-05-10,2011-05-20,4,5,4.7,1.2,69,68
187,世田谷区太子堂１-4-24,35.645943,139.676056,JGD2011,国道246号（玉川通り）,c,2011-05-24,2011-06-03,3,6,4.4,1.2,73,73
188,世田谷区上馬4-1-3,35.635284,139.664078,JGD2011,国道246号（玉川通り）,c,2011-08-23,2011-09-02,3,6,3.2,1.2,74,74
189,世田谷区野毛1-25-1,35.605718,139.643334,JGD2011,都道環状8号線（環八通り）,b,2011-09-06,2011-09-16,4,6,2.7,1.2,71,70
190,世田谷区八幡山2-10-2,35.660605,139.614968,JGD2011,都道環状8号線（環八通り）,b,2011-10-04,2011-10-14,4,6,4.3,1.2,67,66
191,世田谷区北烏山9-3-8,35.669563,139.594894,JGD2011,国道20号（甲州街道）,b,2011-10-18,2011-10-28,3,4,3,1.2,75,74
192,世田谷区等々力4-19-18,35.610874,139.652435,JGD2011,都道白金台町等々力線（目黒通り）,b,2011-04-12,2011-04-22,4,4,8.8,1.2,70,67
193,世田谷区世田谷1-11-18,35.642334,139.653488,JGD2011,都道世田谷町田線（世田谷通り）,c,2011-06-07,2011-06-17,4,2,3.5,1.2,70,67
194,世田谷区上北沢2-1-3,35.669216,139.617523,JGD2011,都道調布経堂停車場線（赤堤通り）,a,2011-06-21,2011-07-01,4,2,1.7,1.2,66,61
195,世田谷区大原1-16-16,35.668644,139.665207,JGD2011,都道赤坂杉並線（井の頭通り）,a,2011-07-05,2011-07-15,4,2,3.9,1.2,64,63
196,世田谷区野沢3-4,35.629002,139.674240,JGD2011,都道環状7号線（環七通り）,b,2011-12-13,2011-12-14,4,6,2.7,1.2,74,73
197,世田谷区太子堂2-13-2,35.644619,139.673004,JGD2011,国道246号（玉川通り）,c,2011-12-13,2011-12-14,3,7,2.6,1.2,73,73
198,世田谷区上北沢4-31-10,35.670990,139.617905,JGD2011,国道20号（甲州街道）,c,2011-12-13,2011-12-14,3,4,4.7,1.2,71,70
199,世田谷区砧公園7,35.632093,139.624210,JGD2011,都道環状8号線（環八通り）,b,2011-12-13,2011-12-14,4,6,4.6,1.2,71,69
200,世田谷区瀬田2-31-2,35.618130,139.629593,JGD2011,国道246号（玉川通り）,b,2011-12-13,2011-12-14,3,8,3,1.2,75,74
201,世田谷区野毛3-20,35.604420,139.637070,JGD2011,都道大田調布線（多摩堤通り）,a,2011-12-13,2011-12-14,4,2,0.8,1.2,69,65
202,世田谷区松原1-39-11,35.670105,139.651138,JGD2011,国道20号（甲州街道）,c,2011-12-14,2011-12-15,3,8,3.5,1.2,74,74
203,世田谷区成城3-18-23,35.634262,139.597687,JGD2011,都道世田谷町田線（世田谷通り）,b,2011-12-13,2011-12-14,4,2,2.5,1.2,72,70
