区分,件数平成30（件）,件数令和元（件）,件数2（件）,件数3（件）,件数4（件）,構成比平成29（％）,構成比30（％）,構成比令和元（％）,構成比2（％）,構成比3（％）,構成比4（％）
総数,97,95,116,99,83,100,100,100,100,100,100
Ａ・Ｂ・Ｃ　農・林・漁・鉱,-,- ,- ,- ,1,-,-,-,- ,- ,1.2
Ｄ　建設業,3,3,2,5,7,1.9,3.1,3.2,1.7,5.1,8.4
Ｅ　製造業,9,15,9,10,11,5.7,9.3,15.8,7.8,10.1,13.3
Ｆ　電気・ガス・熱供給・水道業,2,- ,7,1,1,1,2.1,- ,6,1,1.2
Ｇ　情報通信業,13,4,13,6,6,10.5,13.4,4.2,11.2,6.1,7.2
Ｈ　運輸・郵便業,17,13,20,14,6,22.9,17.5,13.7,17.2,14.1,7.2
Ｉ　卸売・小売業,9,13,9,12,9,12.4,9.3,13.7,7.8,12.1,10.8
Ｊ・Ｋ　金融・保険・不動産・物品賃貸業,5,6,3,5,3,4.8,5.2,6.3,2.6,5.1,3.6
Ｌ　学術研究・専門サービス業,3,4,3,2,4,6.7,3.1,4.2,2.6,2,4.8
Ｍ　宿泊業・飲食サービス業,6,10,5,9,3,1,6.2,10.5,4.3,9.1,3.6
Ｎ　生活関連サービス業・娯楽業,2,3,2,4,1,5.7,2.1,3.2,1.7,4,1.2
Ｏ　教育・学習支援業,8,6,11,10,11,6.7,8.2,6.3,9.5,10.1,13.3
Ｐ　医療・福祉,12,6,16,13,9,12.4,12.4,6.3,13.8,13.1,10.8
Ｑ　複合サービス事業,-,1,2,- ,- ,-,-,1.1,1.7,- ,-
Ｒ　サービス業,4,10,12,7,11,6.7,4.1,10.5,10.3,7.1,13.3
Ｓ　公務,4,1,2,- ,- ,1.9,4.1,1.1,1.7,- ,-
Ｔ　分類不能,-,- ,- ,1,- ,-,-,- ,- ,1,-
