地域区分,国・地域（人）,人口
総数,総数,353826
アジア,アジア,291568
アジア,アフガニスタン,55
アジア,アラブ首長国連邦,13
アジア,ミャンマー,3618
アジア,バーレーン,1
アジア,ブータン,16
アジア,バングラデシュ,3105
アジア,ブルネイ,12
アジア,カンボジア,176
アジア,スリランカ,1276
アジア,中国,120331
アジア,キプロス,6
アジア,インド,5883
アジア,インドネシア,2732
アジア,イラン,1366
アジア,イラク,41
アジア,イスラエル,466
アジア,ヨルダン,37
アジア,韓国・朝鮮,103191
アジア,クウェート,16
アジア,ラオス,214
アジア,レバノン,37
アジア,マレーシア,3141
アジア,モンゴル,749
アジア,オマーン,8
アジア,モルディブ,11
アジア,ネパール,2070
アジア,パキスタン,1557
アジア,フィリピン,31505
アジア,カタール,30
アジア,サウジアラビア,73
アジア,シリア,45
アジア,シンガポール,1174
アジア,タイ,6004
アジア,トルコ,406
アジア,ベトナム,2199
アジア,イエメン,4
ヨーロッパ,ヨーロッパ,22876
ヨーロッパ,アルバニア,8
ヨーロッパ,オーストリア,241
ヨーロッパ,ベルギー,277
ヨーロッパ,ブルガリア,151
ヨーロッパ,ベラルーシ,110
ヨーロッパ,クロアチア,22
ヨーロッパ,チェコ,74
ヨーロッパ,デンマーク,250
ヨーロッパ,エストニア,27
ヨーロッパ,フィンランド,268
ヨーロッパ,フランス,4274
ヨーロッパ,ドイツ,2335
ヨーロッパ,ギリシャ,85
ヨーロッパ,ハンガリー,149
ヨーロッパ,アイスランド,22
ヨーロッパ,アイルランド,457
ヨーロッパ,イタリア,854
ヨーロッパ,キルギス,27
ヨーロッパ,カザフスタン,34
ヨーロッパ,リヒテンシュタイン,1
ヨーロッパ,ルクセンブルク,3
ヨーロッパ,ラトビア,22
ヨーロッパ,リトアニア,57
ヨーロッパ,モナコ,1
ヨーロッパ,マルタ,15
ヨーロッパ,モルドバ,17
ヨーロッパ,マケドニア,16
ヨーロッパ,オランダ,449
ヨーロッパ,ノルウェー,92
ヨーロッパ,ポーランド,208
ヨーロッパ,ポルトガル,129
ヨーロッパ,ルーマニア,710
ヨーロッパ,ロシア,1799
ヨーロッパ,スペイン,527
ヨーロッパ,スウェーデン,541
ヨーロッパ,スイス,408
ヨーロッパ,トルクメニスタン,2
ヨーロッパ,タジキスタン,7
ヨーロッパ,英国,7585
ヨーロッパ,ウクライナ,342
ヨーロッパ,ウズベキスタン,144
ヨーロッパ,アルメニア,6
ヨーロッパ,アゼルバイジャン,4
ヨーロッパ,グルジア,9
ヨーロッパ,スロベニア,12
ヨーロッパ,スロバキア,68
ヨーロッパ,ボスニア・ヘルツェゴビナ,4
ヨーロッパ,セルビア・モンテネグロ,33
アフリカ,アフリカ,3003
アフリカ,アルジェリア,41
アフリカ,ブルンジ,2
アフリカ,ボツワナ,1
アフリカ,カメルーン,72
アフリカ,中央アフリカ,1
アフリカ,チャド,2
アフリカ,コンゴ共和国,15
アフリカ,コンゴー民主共和国,41
アフリカ,ベナン,7
アフリカ,ジブチ,2
アフリカ,エチオピア,93
アフリカ,エリトリア,4
アフリカ,ガボン,5
アフリカ,ガーナ,610
アフリカ,ギニア,165
アフリカ,ガンビア,19
アフリカ,コートジボアール,35
アフリカ,ケニア,96
アフリカ,リベリア,6
アフリカ,リビア,8
アフリカ,レソト,49
アフリカ,マダガスカル,7
アフリカ,マリ,44
アフリカ,モロッコ,92
アフリカ,マラウイ,4
アフリカ,モーリシャス,23
アフリカ,ニジェール,2
アフリカ,ナイジェリア,734
アフリカ,ルワンダ,4
アフリカ,セネガル,85
アフリカ,シエラレオネ,26
アフリカ,ソマリア,5
アフリカ,スーダン,29
アフリカ,セイシェル,3
アフリカ,タンザニア,51
アフリカ,トーゴ,9
アフリカ,チュニジア,94
アフリカ,ウガンダ,100
アフリカ,南アフリカ,151
アフリカ,エジプト,226
アフリカ,ブルキナファソ,1
アフリカ,ザンビア,14
アフリカ,ジンバブエ,17
アフリカ,アンゴラ,3
アフリカ,ギニアビサウ,5
北米,北米,22305
北米,バルバドス,48
北米,バハマ,89
北米,ベリーズ,2
北米,カナダ,3398
北米,コスタリカ,44
北米,キューバ,66
北米,ドミニカ共和国,69
北米,ドミニカ国,10
北米,エルサルバドル,26
北米,グアテマラ,18
北米,ハイチ,8
北米,ホンジュラス,62
北米,ジャマイカ,37
北米,メキシコ,341
北米,ニカラグア,14
北米,パナマ,14
北米,セント・ヴィンセント,1
北米,トリニダード・トバゴ,12
北米,米国,18043
北米,グレナダ,2
北米,アンティグア・バーブーダ,1
南米,南米,8744
南米,アルゼンチン,350
南米,ボリビア,114
南米,ブラジル,4796
南米,チリ,135
南米,コロンビア,772
南米,エクアドル,29
南米,パラグアイ,92
南米,ペルー,2359
南米,スリナム,5
南米,ウルグアイ,24
南米,ベネズエラ,68
オセアニア,オセアニア,5086
オセアニア,オーストラリア,4027
オセアニア,フィジー,56
オセアニア,マーシャル諸島,3
オセアニア,ミクロネシア,3
オセアニア,ニュージーランド,939
オセアニア,パプア・ニューギニア,15
オセアニア,パラオ,6
オセアニア,ソロモン諸島,4
オセアニア,トンガ,22
オセアニア,サモア,11
無国籍・その他,無国籍・その他,244
,,
外国人登録人口　平成17年１月,,
第２表 国籍別外国人登録人口（平成17年１月１日現在）,,
注)「無国籍・その他」は、旧国名で報告された人数を含む。,,
注)「無国籍�.7815415,139.7653169
16,0.49,1.94,35.7815415,139.7654419
16,0.41,2.09,35.7815415,139.7655669
16,0.52,2.01,35.7815415,139.7656919
16,0.53,1.9,35.7815415,139.7658169
16,0.65,1.91,35.7815415,139.7659419
16,0.69,1.73,35.7815415,139.7660669
16,0.69,1.76,35.7815415,139.7661919
16,0.63,1.8,35.7815415,139.7663169
16,0.64,1.78,35.7815415,139.7664419
16,0.64,1.73,35.7815415,139.7665669
16,0.64,1.82,35.7815415,139.7666919
16,0.34,2.1,35.7815415,139.7668169
16,0.59,2.1,35.7815415,139.7669419
16,0.58,1.86,35.7815415,139.7670669
16,0.57,1.81,35.7815415,139.7671919
16,0.57,1.87,35.7815415,139.7673169
16,0.53,1.88,35.7815415,139.7674419
16,0.49,1.94,35.7815415,139.7675669
16,0.42,2,35.7815415,139.7676919
16,0.39,2,35.7815415,139.7678169
16,0.33,2.1,35.7815415,139.7679419
16,0.35,2.05,35.7815415,139.7680669
16,0.35,2.03,35.7815415,139.7681919
16,0.26,2.28,35.7815415,139.7683169
16,0,2.52,35.7815415,139.7684419
16,0,2.33,35.7815415,139.7685669
16,0,2.68,35.7815415,139.7686919
16,0,2.73,35.7815415,139.7688169
16,0,2.74,35.7815415,139.7689419
16,0,2.67,35.7815415,139.7690669
16,0,2.65,35.7815415,139.7691919
