地域,有人直接通報承認対象物数,無人直接通報承認対象物数,即時通報承認対象物数,非常通報承認対象物数,緊急通報登録者数
計,402,25,14,2085,2530
特別区,210,22,9,1656,1982
千代田区,－,1,－,94,110
中央区,2,1,－,103,34
港区,4,－,－,104,42
品川区,4,4,1,80,126
大田区,21,3,－,112,61
目黒区,3,－,－,45,93
世田谷区,23,3,2,102,156
渋谷区,3,－,－,56,24
新宿区,10,2,－,115,31
中野区,7,－,－,49,118
杉並区,12,－,1,86,180
文京区,3,1,1,34,101
豊島区,5,－,－,68,50
北区,21,－,1,44,76
板橋区,12,－,－,76,130
練馬区,16,－,－,73,38
台東区,3,－,－,82,71
荒川区,6,－,－,24,45
足立区,20,1,－,69,243
墨田区,11,4,1,60,73
江東区,6,2,1,66,72
葛飾区,9,－,1,66,38
江戸川区,9,－,－,48,70
受託地区,192,3,5,429,548
立川／立川市,8,－,－,31,23
立川／昭島市,7,2,－,17,18
立川／国立市,4,－,－,9,11
国分寺／国分寺市,－,－,1,11,10
国分寺／小金井市,2,－,－,17,19
小平／小平市,9,－,－,13,32
武蔵野／武蔵野市,7,－,－,25,33
保谷／保谷市,3,－,－,15,22
保谷／田無市,2,－,－,5,28
三鷹／三鷹市,3,－,1,21,18
調布／調布市,3,－,－,26,42
府中／府中市,4,－,－,21,95
東村山／東村山市,15,－,－,15,34
狛江／狛江市,1,－,－,5,22
北多摩西部／東大和市,4,－,－,6,14
北多摩西部／武蔵村山市,3,－,－,8,20
清瀬／清瀬市,12,－,－,17,7
八王子／八王子市,37,1,1,61,－
日野／日野市,5,－,－,16,11
町田／町田市,13,－,－,33,7
青梅／青梅市,20,－,－,20,17
福生／福生市,2,－,－,8,13
福生／羽村町,2,－,1,6,8
福生／瑞穂町,1,－,－,3,6
秋川／秋川市,2,－,－,2,20
秋川／日の出町,5,－,－,－,－
秋川／五日市町,6,－,－,5,－
秋川／檜原村,2,－,－,－,－
奥多摩／奥多摩町,4,－,－,1,－
多摩／多摩市,6,－,1,12,18
