所属,幼年消防クラブ／クラブ数,幼年消防クラブ／クラブ員数,幼年消防クラブ／指導者数,消防少年団員数／計,消防少年団員数／学年別／小学校／小計,消防少年団員数／学年別／小学校／4年,消防少年団員数／学年別／小学校／5年,消防少年団員数／学年別／小学校／6年,消防少年団員数／学年別／中学校／小計,消防少年団員数／学年別／中学校／1年,消防少年団員数／学年別／中学校／2年,消防少年団員数／学年別／中学校／3年,消防少年団員数／性別／男／小計,消防少年団員数／性別／男／小学生,消防少年団員数／性別／男／中学生,消防少年団員数／性別／女／小計,消防少年団員数／性別／女／小学生,消防少年団員数／性別／女／中学生,消防少年団／指導員数／指導員数,消防少年団／指導員数／準指導員,婦人防火組織／組織数,婦人防火組織／人員,婦人防火組織／活動内容／消防活動,婦人防火組織／活動内容／救護、炊き出し、連絡等,婦人防火組織／活動内容／予防啓蒙活動
計,863,102570,11445,2801,2195,899,685,611,606,288,189,129,1104,860,244,1697,1335,362,686,861,67,29289,1,5,67
特別区,553,60619,7054,2070,1612,684,501,427,458,217,145,96,807,626,181,1263,986,277,500,742,52,27286,1,1,52
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,4,334,35,17,16,7,6,3,1,1,－,－,4,3,1,13,13,－,5,－,1,60,－,－,1
神田,7,416,77,29,24,9,9,6,5,2,2,1,11,9,2,18,15,3,9,6,1,318,－,－,1
京橋,11,448,94,45,34,21,8,5,11,5,3,3,22,19,3,23,15,8,13,8,1,35,－,－,1
日本橋,4,126,17,28,14,4,5,5,14,9,2,3,13,6,7,15,8,7,15,5,－,－,－,－,－
臨港,8,334,25,37,30,25,2,3,7,1,1,5,8,7,1,29,23,6,9,8,1,235,－,－,1
芝,－,－,－,38,29,18,3,8,9,6,2,1,20,16,4,18,13,5,9,33,1,97,－,－,1
麻布,5,594,58,27,24,9,8,7,3,3,－,－,11,10,1,16,14,2,9,23,1,20,－,－,1
赤坂,－,－,－,39,31,12,14,5,8,4,2,2,27,20,7,12,11,1,9,3,1,331,－,－,1
高輪,3,250,37,37,22,7,5,10,15,6,6,3,9,4,5,28,18,10,4,34,－,－,－,－,1
品川,16,1085,186,32,28,19,6,3,4,－,2,2,10,8,2,22,20,2,5,7,1,102,－,－,1
大井,18,2056,321,38,30,14,3,13,8,3,1,4,9,6,3,29,24,5,22,14,1,72,－,－,1
荏原,12,1071,212,38,29,10,12,7,9,7,1,1,7,6,1,31,23,8,8,9,－,－,－,－,－
大森,15,1861,338,47,23,3,9,11,24,9,6,9,20,13,7,27,10,17,8,2,1,146,－,－,1
東調布,37,4568,755,26,19,7,8,4,7,4,2,1,11,8,3,15,11,4,8,36,1,222,－,－,1
蒲田,10,1187,156,53,41,14,12,15,12,3,9,－,19,16,3,34,25,9,9,11,1,435,－,－,1
矢口,7,1018,62,38,24,12,5,7,14,3,4,7,9,8,1,29,16,13,7,64,1,126,－,－,1
目黒,－,－,－,25,16,7,7,2,9,3,3,3,11,10,1,14,6,8,8,2,1,1307,－,－,1
世田谷,17,1377,309,51,38,13,17,8,13,7,6,－,27,18,9,24,20,4,9,0,1,292,－,－,1
玉川,6,673,55,35,28,11,8,9,7,5,2,－,7,6,1,28,22,6,7,5,1,114,－,－,1
成城,17,2228,293,37,27,6,14,7,10,5,4,1,23,14,9,14,13,1,9,9,1,130,－,－,1
渋谷,1,24,4,31,28,17,6,5,3,3,－,－,8,8,－,23,20,3,6,26,1,225,－,－,1
四谷,2,110,24,39,22,7,10,5,17,4,6,7,17,8,9,22,14,8,5,35,1,80,－,－,1
牛込,22,1743,254,27,18,9,3,6,9,5,3,1,6,3,3,21,15,6,3,4,1,190,－,－,1
新宿,23,2053,101,29,26,15,6,5,3,3,－,－,23,22,1,6,4,2,5,－,1,165,－,－,1
中野,10,1109,85,34,24,13,2,9,10,4,3,3,10,6,4,24,18,6,5,27,1,232,－,－,1
野方,12,1842,119,47,43,23,4,16,4,－,3,1,14,13,1,33,30,3,3,92,1,250,－,－,1
杉並,3,150,18,30,24,11,9,4,6,1,2,3,21,18,3,9,6,3,5,4,1,348,－,－,1
荻窪,－,－,－,41,33,19,12,2,8,6,1,1,18,13,5,23,20,3,5,3,1,235,－,－,1
小石川,8,1136,70,33,25,9,15,1,8,6,－,2,9,6,3,24,19,5,8,1,1,181,－,－,1
本郷,2,143,13,40,37,13,16,8,3,3,－,－,21,18,3,19,19,－,10,－,1,50,－,－,1
豊島,6,753,54,43,38,22,7,9,5,3,1,1,17,15,2,26,23,3,9,2,1,130,－,－,1
池袋,1,85,11,39,29,9,5,15,10,5,4,1,9,6,3,30,23,7,13,1,1,244,－,－,1
王子,5,1002,73,55,43,19,14,10,12,3,3,6,17,14,3,38,29,9,17,4,1,66,1,1,1
赤羽,33,3875,527,66,56,28,19,9,10,1,9,－,33,27,6,33,29,4,20,2,1,250,－,－,1
滝野川,7,687,109,53,42,7,11,24,11,11,－,－,18,16,2,35,26,9,15,7,1,220,－,－,1
板橋,5,675,90,33,26,13,5,8,7,3,4,－,11,6,5,22,20,2,11,2,1,80,－,－,1
志村,21,2158,241,35,22,10,10,2,13,6,5,2,20,12,8,15,10,5,7,72,1,261,－,－,1
練馬,13,1822,219,36,27,9,12,6,9,6,2,1,11,8,3,25,19,6,9,3,1,170,－,－,1
光が丘,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
石神井,6,1480,72,36,33,15,11,7,3,2,1,－,15,14,1,21,19,2,10,1,1,145,－,－,1
上野,13,1203,93,31,30,9,18,3,1,1,－,－,5,4,1,26,26,－,6,3,1,900,－,－,1
浅草,8,721,54,38,38,21,13,4,－,－,－,－,20,20,－,18,18,－,4,7,1,60,－,－,1
日本堤,10,772,66,24,22,4,10,8,2,－,2,－,7,6,1,17,16,1,9,5,1,327,－,－,1
荒川,3,262,39,52,49,29,5,15,3,2,1,－,21,20,1,31,29,2,17,45,1,127,－,－,1
尾久,5,764,137,26,23,9,8,6,3,1,2,－,3,3,－,23,20,3,9,－,1,77,－,－,1
千住,4,631,36,37,27,5,13,9,10,4,5,1,17,15,2,20,12,8,7,7,1,347,－,－,1
足立,14,1994,162,31,26,8,8,10,5,2,2,1,4,3,1,27,23,4,8,－,1,9103,－,－,1
西新井,4,974,59,40,34,20,4,10,6,2,4,－,9,7,2,31,27,4,6,－,1,1673,－,－,1
本所,9,1169,111,22,15,1,10,4,7,4,1,2,11,7,4,11,8,3,7,2,1,180,－,－,1
向島,9,1042,148,37,20,4,8,8,17,6,4,7,37,20,17,－,－,－,11,25,1,183,－,－,1
深川,5,476,52,35,28,10,13,5,7,6,1,－,14,10,4,21,18,3,11,5,1,308,－,－,1
城東,3,635,41,45,38,14,13,11,7,1,5,1,18,16,2,27,22,5,14,4,1,166,－,－,1
本田,5,1318,81,42,38,18,15,5,4,3,1,－,16,15,1,26,23,3,9,8,1,5000,－,－,1
金町,2,165,25,67,47,13,8,26,20,10,7,3,22,18,4,45,29,16,13,27,1,225,－,－,1
江戸川,21,3178,341,48,36,18,6,12,12,6,2,4,24,21,3,24,15,9,16,2,1,272,－,－,1
小岩,41,4842,495,31,18,5,11,2,13,8,3,2,3,1,2,28,17,11,5,7,1,177,－,－,1
受託地区,330,41951,4391,731,583,215,184,184,148,71,44,33,297,234,63,434,349,85,186,119,15,2003,－,4,15
立川,21,2580,345,48,34,12,8,14,14,7,4,3,20,15,5,28,19,9,25,3,3,185,－,3,3
国分寺,17,1993,253,25,13,2,3,8,12,6,6,－,11,10,1,14,3,11,8,8,1,54,－,－,1
小平,7,1293,91,26,22,7,4,11,4,－,1,3,5,5,－,21,17,4,5,－,1,52,－,－,1
武蔵野,3,914,52,40,30,12,12,6,10,5,4,1,15,11,4,25,19,6,5,－,1,45,－,－,1
保谷,15,2908,97,28,24,6,7,11,4,1,－,3,7,6,1,21,18,3,10,5,1,20,－,－,1
三鷹,33,3738,391,39,39,17,11,11,－,－,－,－,20,20,－,19,19,－,6,－,－,－,－,－,－
調布,19,1897,318,40,34,16,8,10,6,1,4,1,25,23,2,15,11,4,9,5,1,380,－,－,1
府中,40,5305,613,46,35,10,8,17,11,6,3,2,23,18,5,23,17,6,11,3,－,－,－,－,－
日野,35,3886,245,40,26,22,2,2,14,7,1,6,18,11,7,22,15,7,7,4,1,48,－,－,1
町田,7,1027,72,34,23,6,5,12,11,5,3,3,19,13,6,15,10,5,8,－,－,－,－,－,－
八王子,27,2686,370,41,36,14,13,9,5,5,－,－,18,13,5,23,23,－,12,7,1,673,－,－,1
青海,10,864,123,61,55,12,21,22,6,1,4,1,33,29,4,28,26,2,11,－,1,159,－,1,1
東村山,25,3656,409,32,21,3,12,6,11,5,3,3,7,3,4,25,18,7,6,32,1,142,－,－,1
福生,－,－,－,41,31,12,11,8,10,6,1,3,8,5,3,33,26,7,12,15,－,－,－,－,－
狛江,15,1679,252,29,16,5,2,9,13,2,7,4,13,5,8,16,11,5,6,－,1,69,－,－,1
北多摩西部,12,1610,200,30,28,12,10,6,2,2,－,－,17,15,2,13,13,－,15,6,－,－,－,－,－
清瀬,1,195,11,27,26,14,8,4,1,－,1,－,12,11,1,15,15,－,6,5,1,42,－,－,1
秋川,27,2801,350,37,28,12,15,1,9,9,－,－,8,7,1,29,21,8,4,9,－,－,－,－,－
奥多摩,1,70,11,43,43,13,19,11,－,－,－,－,9,9,－,34,34,－,12,11,－,－,－,－,－
多摩,15,2849,188,24,19,8,5,6,5,3,2,－,9,5,4,15,14,1,8,6,1,134,－,－,1
秋川,27,2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25.6,H25.6,H25.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25.4,H25.4,,H25.10,,,,,,,,,,,,,,,,,,,,,,,,,,
驫俶氛謾ｹ豁｣蟷ｴ譛�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25.10,H25.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雋ｻ逶ｮ蜷咲ｭ�,,,縲宣｣滓侭�育函魄ｮ蜩∫岼髯､縺擾ｼ峨��,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,縲蝉ｽ丞ｱ�ｼ悟�辭ｱ繝ｻ豌ｴ驕難ｼ悟ｮｶ蜈ｷ繝ｻ螳ｶ莠狗畑蜩√��,,,,,,*蟶ゆｽ丞ｮ�ｾ帷ｵｦ蜈ｬ遉ｾ縲∽ｸ�闊ｬ遉ｾ蝗｣豕穂ｺｺ蜿医�荳�闊ｬ雋｡蝗｣豕穂ｺｺ縺檎ｮ｡逅�＠縺ｦ縺�ｋ菴丞ｮ�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,縲占｢ｫ譛阪�螻･迚ｩ�御ｿ晏▼蛹ｻ逋ゑｼ御ｺ､騾夐�壻ｿ｡縲�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,縲先蕗閧ｲ�梧蕗鬢雁ｨｯ讌ｽ�瑚ｫｸ髮題ｲｻ縲�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
譚ｱ莠ｬ縺ｮ迚ｩ萓｡�丞ｹｳ謌撰ｼ抵ｼ募ｹｴ�托ｼ先怦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
�暦ｼ� 荳ｻ 隕� 蜩� 逶ｮ 縺ｮ 譚ｱ 莠ｬ 驛ｽ 蛹ｺ 驛ｨ 蟆� 螢ｲ 萓｡ 譬ｼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
