町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,863,697,713,1410
両国二丁目,1237,1010,984,1994
両国三丁目,1102,823,895,1718
両国四丁目,1169,922,916,1838
千歳一丁目,850,714,750,1464
千歳二丁目,559,500,423,923
千歳三丁目,1201,968,1002,1970
緑一丁目,1624,1439,1344,2783
緑二丁目,1658,1576,1639,3215
緑三丁目,1356,1275,1196,2471
緑四丁目,2294,1984,1853,3837
立川一丁目,729,572,561,1133
立川二丁目,837,686,664,1350
立川三丁目,926,775,796,1571
立川四丁目,820,668,629,1297
菊川一丁目,825,746,788,1534
菊川二丁目,1220,1005,1086,2091
菊川三丁目,2044,1766,1866,3632
江東橋一丁目,907,701,711,1412
江東橋二丁目,1329,1140,1046,2186
江東橋三丁目,558,388,336,724
江東橋四丁目,1735,1234,1376,2610
江東橋五丁目,1623,1449,1515,2964
横網一丁目,128,148,139,287
横網二丁目,719,611,576,1187
亀沢一丁目,1149,1013,994,2007
亀沢二丁目,918,814,903,1717
亀沢三丁目,952,978,907,1885
亀沢四丁目,1385,1248,1220,2468
石原一丁目,1480,1244,1246,2490
石原二丁目,1278,1173,1151,2324
石原三丁目,1631,1508,1286,2794
石原四丁目,1420,1369,1270,2639
本所一丁目,1500,1423,1407,2830
本所二丁目,859,795,840,1635
本所三丁目,979,893,925,1818
本所四丁目,1218,1143,1111,2254
東駒形一丁目,769,616,626,1242
東駒形二丁目,860,799,765,1564
東駒形三丁目,831,733,723,1456
東駒形四丁目,1386,1217,1186,2403
吾妻橋一丁目,1235,973,1062,2035
吾妻橋二丁目,833,678,667,1345
吾妻橋三丁目,838,770,828,1598
錦糸一丁目,1292,996,966,1962
錦糸二丁目,451,369,330,699
錦糸三丁目,474,373,374,747
錦糸四丁目,994,874,899,1773
太平一丁目,1808,1738,1699,3437
太平二丁目,991,819,726,1545
太平三丁目,694,563,567,1130
太平四丁目,2542,2328,2458,4786
横川一丁目,723,786,691,1477
横川二丁目,876,744,655,1399
横川三丁目,647,586,542,1128
横川四丁目,754,685,621,1306
横川五丁目,1382,1259,1554,2813
業平一丁目,1465,1389,1526,2915
業平二丁目,811,693,643,1336
業平三丁目,840,672,672,1344
業平四丁目,1120,941,980,1921
業平五丁目,1125,1041,1146,2187
向島一丁目,1214,1068,1016,2084
向島二丁目,1371,1221,1261,2482
向島三丁目,2106,1885,1822,3707
向島四丁目,1286,1278,1301,2579
向島五丁目,2342,2076,2005,4081
東向島一丁目,1654,1529,1489,3018
東向島二丁目,2673,2391,2488,4879
東向島三丁目,1609,1609,1715,3324
東向島四丁目,1862,1690,1758,3448
東向島五丁目,1994,1848,1953,3801
東向島六丁目,2704,2598,2633,5231
堤通一丁目,1112,1236,1137,2373
堤通二丁目,2099,1974,2445,4419
墨田一丁目,1238,1394,1510,2904
墨田二丁目,1963,1998,1914,3912
墨田三丁目,1855,1828,1766,3594
墨田四丁目,2438,2338,2511,4849
墨田五丁目,1506,1451,1378,2829
