町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1079,820,809,1629
両国二丁目,1353,1035,1076,2111
両国三丁目,1331,972,1009,1981
両国四丁目,1344,1074,1047,2121
千歳一丁目,975,796,860,1656
千歳二丁目,639,542,508,1050
千歳三丁目,1503,1247,1214,2461
緑一丁目,2002,1677,1574,3251
緑二丁目,1784,1650,1718,3368
緑三丁目,1687,1466,1481,2947
緑四丁目,2912,2447,2287,4734
立川一丁目,893,635,701,1336
立川二丁目,887,727,687,1414
立川三丁目,1105,889,912,1801
立川四丁目,1051,798,800,1598
菊川一丁目,1078,870,949,1819
菊川二丁目,1485,1101,1258,2359
菊川三丁目,2217,1874,1971,3845
江東橋一丁目,992,756,744,1500
江東橋二丁目,1438,1173,1123,2296
江東橋三丁目,622,458,316,774
江東橋四丁目,1751,1257,1272,2529
江東橋五丁目,1720,1513,1536,3049
横網一丁目,142,165,148,313
横網二丁目,703,593,599,1192
亀沢一丁目,1248,1048,1075,2123
亀沢二丁目,1041,889,1026,1915
亀沢三丁目,1052,1073,1047,2120
亀沢四丁目,1518,1362,1354,2716
石原一丁目,1632,1286,1322,2608
石原二丁目,1464,1270,1286,2556
石原三丁目,1742,1541,1411,2952
石原四丁目,1602,1472,1435,2907
本所一丁目,1654,1458,1485,2943
本所二丁目,935,785,854,1639
本所三丁目,1059,880,942,1822
本所四丁目,1473,1254,1249,2503
東駒形一丁目,882,682,703,1385
東駒形二丁目,859,752,776,1528
東駒形三丁目,946,763,774,1537
東駒形四丁目,1443,1174,1246,2420
吾妻橋一丁目,1330,1033,1103,2136
吾妻橋二丁目,916,692,749,1441
吾妻橋三丁目,874,800,848,1648
錦糸一丁目,1443,1073,1050,2123
錦糸二丁目,473,361,325,686
錦糸三丁目,476,382,331,713
錦糸四丁目,1023,905,918,1823
太平一丁目,1990,1833,1828,3661
太平二丁目,949,767,653,1420
太平三丁目,912,725,699,1424
太平四丁目,2659,2340,2443,4783
横川一丁目,819,839,771,1610
横川二丁目,981,826,736,1562
横川三丁目,706,605,591,1196
横川四丁目,765,661,602,1263
横川五丁目,1458,1231,1630,2861
業平一丁目,1582,1404,1604,3008
業平二丁目,816,694,617,1311
業平三丁目,870,674,702,1376
業平四丁目,1234,929,1021,1950
業平五丁目,1216,1101,1221,2322
向島一丁目,1430,1170,1177,2347
向島二丁目,1568,1279,1416,2695
向島三丁目,2677,2314,2309,4623
向島四丁目,1349,1259,1338,2597
向島五丁目,2612,2177,2164,4341
東向島一丁目,1803,1613,1574,3187
東向島二丁目,2857,2418,2610,5028
東向島三丁目,1743,1701,1763,3464
東向島四丁目,1994,1727,1776,3503
東向島五丁目,2208,1879,2038,3917
東向島六丁目,2994,2756,2775,5531
堤通一丁目,1148,1196,1118,2314
堤通二丁目,2095,1839,2395,4234
墨田一丁目,1458,1505,1662,3167
墨田二丁目,2069,1970,1958,3928
墨田三丁目,2043,1855,1864,3719
墨田四丁目,2483,2350,2445,4795
墨田五丁目,1559,1406,1398,2804
押上一丁目,1313,1029,1129,2158
押上二丁目,2015,1766,1904,3670
押上三丁目,2356,2201,2212,4413
京島一丁目,3626,3408,3699,7107
京島二丁目,1005,967,843,1810
京島三丁目,2289,2113,2056,4169
文花一丁目,2995,2570,3064,5634
文花二丁目,1335,1171,1251,2422
文花三丁目,1190,1321,1301,2622
八広一丁目,1872,1758,1647,3405
八広二丁目,2230,2182,2082,4264
八広三丁目,1862,1833,1726,3559
八広四丁目,2330,2239,2222,4461
八広五丁目,1620,1446,1485,2931
八広六丁目,2113,2064,2011,4075
立花一丁目,3483,3026,3228,6254
立花二丁目,892,811,805,1616
立花三丁目,1630,1494,1499,2993
立花四丁目,1879,1856,1803,3659
立花五丁目,2030,2237,2174,4411
立花六丁目,1201,1103,1249,2352
東墨田一丁目,82,85,64,149
東墨田二丁目,778,718,666,1384
東墨田三丁目,403,423,387,810
京島三丁目,2": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 15.0, "SAFIELD005": "蜩∝ｷ晏慍蛹ｺ", "SAFIELD006": "蛹怜刀蟾昜ｸ�荳∫岼", "SAFIELD007": 8, "SAFIELD008": "霑鷹團蝠�･ｭ蝨ｰ蝓�", "SAFIELD009": 132, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.73938751301068, 35.623223463809495 ], [ 139.73935487051924, 35.623287706754958 ], [ 139.73932532470488, 35.623347174792542 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 95370, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 95370, "SAFIELD001": 95439, "SAFIELD002": 9, "SAFIELD003": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 5.0, "SAFIELD005": "蜩∝ｷ晏慍蛹ｺ", "SAFIELD006": "蛹怜刀蟾昜ｸ�荳∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 143, "SAFIELD010": 1 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.7415763326336, 35.623351253773706 ], [ 139.74153197961536, 35.623327693964789 ] ] } },
