町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1062,809,811,1620
両国二丁目,1330,1025,1052,2077
両国三丁目,1350,986,996,1982
両国四丁目,1386,1098,1093,2191
千歳一丁目,1024,821,864,1685
千歳二丁目,667,545,526,1071
千歳三丁目,1525,1251,1218,2469
緑一丁目,2060,1690,1626,3316
緑二丁目,1814,1661,1741,3402
緑三丁目,1729,1500,1497,2997
緑四丁目,2957,2470,2296,4766
立川一丁目,925,641,713,1354
立川二丁目,914,715,717,1432
立川三丁目,1119,874,931,1805
立川四丁目,1081,809,810,1619
菊川一丁目,1127,876,976,1852
菊川二丁目,1500,1117,1253,2370
菊川三丁目,2216,1866,1936,3802
江東橋一丁目,1032,768,755,1523
江東橋二丁目,1480,1201,1142,2343
江東橋三丁目,615,457,307,764
江東橋四丁目,1772,1252,1280,2532
江東橋五丁目,1730,1488,1549,3037
横網一丁目,135,153,149,302
横網二丁目,705,585,585,1170
亀沢一丁目,1243,1018,1060,2078
亀沢二丁目,1034,883,1016,1899
亀沢三丁目,1157,1119,1086,2205
亀沢四丁目,1595,1398,1392,2790
石原一丁目,1679,1308,1359,2667
石原二丁目,1465,1257,1281,2538
石原三丁目,1719,1520,1381,2901
石原四丁目,1654,1495,1499,2994
本所一丁目,1724,1488,1555,3043
本所二丁目,925,763,832,1595
本所三丁目,1090,898,955,1853
本所四丁目,1537,1286,1285,2571
東駒形一丁目,906,685,708,1393
東駒形二丁目,835,750,755,1505
東駒形三丁目,970,765,781,1546
東駒形四丁目,1504,1197,1275,2472
吾妻橋一丁目,1362,1043,1131,2174
吾妻橋二丁目,957,698,758,1456
吾妻橋三丁目,866,783,844,1627
錦糸一丁目,1445,1070,1020,2090
錦糸二丁目,464,349,323,672
錦糸三丁目,489,383,334,717
錦糸四丁目,1019,894,913,1807
太平一丁目,2003,1854,1803,3657
太平二丁目,936,755,650,1405
太平三丁目,914,718,706,1424
太平四丁目,2710,2359,2424,4783
横川一丁目,840,846,760,1606
横川二丁目,975,809,718,1527
横川三丁目,717,608,575,1183
横川四丁目,758,641,600,1241
横川五丁目,1447,1228,1599,2827
業平一丁目,1599,1405,1596,3001
業平二丁目,824,691,611,1302
業平三丁目,869,678,691,1369
業平四丁目,1260,954,1007,1961
業平五丁目,1229,1092,1239,2331
向島一丁目,1445,1165,1188,2353
向島二丁目,1570,1274,1398,2672
向島三丁目,2741,2321,2331,4652
向島四丁目,1353,1260,1334,2594
向島五丁目,2621,2170,2159,4329
東向島一丁目,1795,1594,1554,3148
東向島二丁目,2851,2391,2602,4993
東向島三丁目,1759,1683,1768,3451
東向島四丁目,2053,1757,1807,3564
東向島五丁目,2217,1865,2037,3902
東向島六丁目,3031,2750,2762,5512
堤通一丁目,1106,1172,1130,2302
堤通二丁目,2073,1791,2332,4123
墨田一丁目,1432,1491,1667,3158
墨田二丁目,2055,1953,1949,3902
墨田三丁目,2020,1831,1821,3652
墨田四丁目,2466,2343,2416,4759
墨田五丁目,1550,1382,1395,2777
押上一丁目,1359,1081,1156,2237
押上二丁目,1988,1744,1870,3614
押上三丁目,2333,2177,2200,4377
京島一丁目,3624,3403,3730,7133
京島二丁目,997,959,835,1794
京島三丁目,2300,2140,2039,4179
文花一丁目,2969,2507,3028,5535
文花二丁目,1320,1148,1237,2385
文花三丁目,1211,1329,1324,2653
八広一丁目,1931,1787,1685,3472
八広二丁目,2289,2210,2106,4316
八広三丁目,1899,1821,1749,3570
八広四丁目,2467,2336,2253,4589
八広五丁目,1624,1461,1487,2948
八広六丁目,2127,2076,1999,4075
立花一丁目,3450,2950,3173,6123
立花二丁目,884,808,793,1601
立花三丁目,1683,1492,1516,3008
立花四丁目,1908,1846,1805,3651
立花五丁目,2028,2234,2186,4420
立花六丁目,1210,1106,1249,2355
東墨田一丁目,77,79,65,144
東墨田二丁目,818,733,693,1426
東墨田三丁目,404,421,402,823
町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1060,799,815,1614
両国二丁目,1338,1031,1060,2091
両国三丁目,1341,981,983,1964
両国四丁目,1394,1098,1087,2185
千歳一丁目,1004,815,858,1673
千歳二丁目,662,543,529,1072
千歳三丁目,1529,1258,1215,2473
緑一丁目,2071,1697,1627,3324
緑二丁目,1811,1650,1735,3385
緑三丁目,1720,1488,1491,2979
緑四丁目,2966,2478,2300,4778
立川一丁目,928,651,716,1367
立川二丁目,909,714,710,1424
立川三丁目,1104,862,922,1784
立川四丁目,1090,812,820,1632
菊川一丁目,1135,878,985,1863
菊川二丁目,1492,1117,1252,2369
菊川三丁目,2224,1873,1946,3819
江東橋一丁目,1042,776,763,1539
江東橋二丁目,1471,1183,1140,2323
江東橋三丁目,613,456,302,758
江東橋四丁目,1714,1225,1257,2482
江東橋五丁目,1744,1500,1554,3054
横網一丁目,138,159,149,308
横網二丁目,701,585,575,1160
亀沢一丁目,1238,1027,1053,2080
亀沢二丁目,1039,889,1022,1911
亀沢三丁目,1151,1115,1094,2209
亀沢四丁目,1575,1384,1386,2770
石原一丁目,1689,1322,1354,2676
石原二丁目,1472,1266,1280,2546
石原三丁目,1742,1539,1401,2940
石原四丁目,1663,1502,1507,3009
本所一丁目,1714,1489,1535,3024
本所二丁目,928,760,837,1597
本所三丁目,1093,896,961,1857
本所四丁目,1539,1290,1285,2575
東駒形一丁目,894,681,704,1385
東駒形二丁目,843,748,762,1510
東駒形三丁目,958,764,774,1538
東駒形四丁目,1506,1202,1269,2471
吾妻橋一丁目,1359,1043,1126,2169
吾妻橋二丁目,952,699,759,1458
吾妻橋三丁目,871,795,843,1638
錦糸一丁目,1431,1060,1018,2078
錦糸二丁目,467,353,332,685
錦糸三丁目,478,381,324,705
錦糸四丁目,1021,895,911,1806
太平一丁目,1981,1834,1798,3632
太平二丁目,950,763,655,1418
太平三丁目,936,733,713,1446
太平四丁目,2709,2363,2440,4803
横川一丁目,837,847,759,1606
横川二丁目,975,822,716,1538
横川三丁目,716,609,575,1184
横川四丁目,769,656,608,1264
横川五丁目,1444,1224,1600,2824
業平一丁目,1596,1411,1598,3009
業平二丁目,827,694,609,1303
業平三丁目,872,674,694,1368
業平四丁目,1256,952,1011,1963
業平五丁目,1220,1087,1230,2317
向島一丁目,1458,1178,1194,2372
向島二丁目,1578,1282,1407,2689
向島三丁目,2760,2350,2348,4698
向島四丁目,1360,1269,1337,2606
向島五丁目,2617,2165,2161,4326
東向島一丁目,1803,1595,1560,3155
東向島二丁目,2855,2400,2626,5026
東向島三丁目,1741,1667,1761,3428
東向島四丁目,2024,1738,1788,3526
東向島五丁目,2227,1873,2052,3925
東向島六丁目,3024,2749,2758,5507
堤通一丁目,1112,1173,1123,2296
堤通二丁目,2081,1807,2343,4150
墨田一丁目,1431,1494,1666,3160
墨田二丁目,2062,1962,1959,3921
墨田三丁目,2023,1829,1833,3662
墨田四丁目,2451,2333,2402,4735
墨田五丁目,1553,1386,1398,2784
押上一丁目,1342,1063,1147,2210
押上二丁目,1996,1756,1888,3644
押上三丁目,2351,2184,2204,4388
京島一丁目,3633,3415,3738,7153
京島二丁目,998,952,839,1791
京島三丁目,2292,2137,2037,4174
文花一丁目,2977,2518,3041,5559
文花二丁目,1333,1163,1243,2406
文花三丁目,1224,1336,1320,2656
八広一丁目,1923,1783,1674,3457
八広二丁目,2269,2196,2100,4296
八広三丁目,1898,1825,1742,3567
八広四丁目,2444,2321,2243,4564
八広五丁目,1631,1462,1491,2953
八広六丁目,2131,2079,2010,4089
立花一丁目,3462,2962,3170,6132
立花二丁目,879,806,791,1597
立花三丁目,1691,1512,1517,3029
立花四丁目,1907,1846,1818,3664
立花五丁目,2034,2251,2186,4437
立花六丁目,1216,1115,1253,2368
東墨田一丁目,77,79,65,144
東墨田二丁目,816,730,696,1426
東墨田三丁目,403,420,399,819
