町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,898,697,719,1416
両国二丁目,1230,1015,983,1998
両国三丁目,1199,869,955,1824
両国四丁目,1199,956,964,1920
千歳一丁目,882,748,761,1509
千歳二丁目,594,520,453,973
千歳三丁目,1231,987,1016,2003
緑一丁目,1693,1491,1356,2847
緑二丁目,1710,1617,1691,3308
緑三丁目,1404,1315,1215,2530
緑四丁目,2446,2075,1936,4011
立川一丁目,805,601,622,1223
立川二丁目,843,694,663,1357
立川三丁目,982,818,836,1654
立川四丁目,878,710,635,1345
菊川一丁目,845,759,808,1567
菊川二丁目,1344,1063,1160,2223
菊川三丁目,2071,1775,1897,3672
江東橋一丁目,930,708,731,1439
江東橋二丁目,1360,1151,1083,2234
江東橋三丁目,573,400,346,746
江東橋四丁目,1739,1222,1365,2587
江東橋五丁目,1635,1465,1515,2980
横網一丁目,134,156,144,300
横網二丁目,719,601,590,1191
亀沢一丁目,1186,1027,1026,2053
亀沢二丁目,922,812,919,1731
亀沢三丁目,976,994,918,1912
亀沢四丁目,1407,1263,1243,2506
石原一丁目,1493,1235,1267,2502
石原二丁目,1289,1174,1166,2340
石原三丁目,1640,1517,1303,2820
石原四丁目,1425,1346,1275,2621
本所一丁目,1549,1456,1435,2891
本所二丁目,891,812,836,1648
本所三丁目,1015,913,938,1851
本所四丁目,1235,1140,1121,2261
東駒形一丁目,767,617,624,1241
東駒形二丁目,869,793,776,1569
東駒形三丁目,855,752,730,1482
東駒形四丁目,1403,1228,1201,2429
吾妻橋一丁目,1279,995,1076,2071
吾妻橋二丁目,865,686,694,1380
吾妻橋三丁目,848,797,847,1644
錦糸一丁目,1290,976,962,1938
錦糸二丁目,447,363,331,694
錦糸三丁目,478,376,372,748
錦糸四丁目,988,873,905,1778
太平一丁目,1803,1728,1706,3434
太平二丁目,963,778,708,1486
太平三丁目,793,647,631,1278
太平四丁目,2558,2321,2476,4797
横川一丁目,762,832,719,1551
横川二丁目,875,744,654,1398
横川三丁目,650,592,548,1140
横川四丁目,766,681,631,1312
横川五丁目,1362,1217,1539,2756
業平一丁目,1498,1405,1560,2965
業平二丁目,812,697,635,1332
業平三丁目,865,667,690,1357
業平四丁目,1113,917,985,1902
業平五丁目,1162,1083,1193,2276
向島一丁目,1263,1100,1045,2145
向島二丁目,1388,1223,1263,2486
向島三丁目,2139,1877,1846,3723
向島四丁目,1313,1295,1327,2622
向島五丁目,2346,2060,2002,4062
東向島一丁目,1636,1505,1496,3001
東向島二丁目,2718,2414,2520,4934
東向島三丁目,1633,1607,1699,3306
東向島四丁目,1895,1707,1748,3455
東向島五丁目,2046,1851,1989,3840
東向島六丁目,2791,2658,2662,5320
堤通一丁目,1148,1263,1170,2433
堤通二丁目,2082,1944,2427,4371
墨田一丁目,1259,1392,1517,2909
墨田二丁目,2006,2015,1932,3947
墨田三丁目,1894,1847,1818,3665
墨田四丁目,2469,2351,2515,4866
墨田五丁目,1508,1434,1387,2821
押上一丁目,1284,1050,1159,2209
押上二丁目,2065,1881,2013,3894
押上三丁目,2236,2180,2056,4236
京島一丁目,3526,3348,3571,6919
京島二丁目,1003,970,863,1833
京島三丁目,2364,2208,2137,4345
文花一丁目,2928,2597,3163,5760
文花二丁目,1161,1108,1117,2225
文花三丁目,1189,1361,1372,2733
八広一丁目,1758,1718,1612,3330
