種別,重点化を図るべき公園・緑地,所在区市町,,,,
総合公園,芝公園,港区,,,,
総合公園,青山公園,港区,,,,
総合公園,明治公園,港区・新宿区・渋谷区,,,,
総合公園,戸山公園,新宿区,,,,
総合公園,後楽園公園（小石川後楽園）,文京区,,,,
総合公園,亀戸中央公園,江東区,,,,
総合公園,目黒公園（林試の森公園）,品川区・目黒区,,,,
総合公園,砧公園,世田谷区,,,,
総合公園,祖師ヶ谷公園（祖師谷公園）,世田谷区,,,,
総合公園,和田堀公園,杉並区,,,,
総合公園,浮間公園,北区・板橋区,,,,
総合公園,白鬚西公園,荒川区,,,,
総合公園,稲荷山公園,練馬区,,,,
総合公園,舎人公園,足立区,,,,
運動公園,猿江公園,江東区,,,,
運動公園,高井戸公園,杉並区,,,,
運動公園,尾久の原公園,荒川区,,,,
運動公園,上板橋公園（城北中央公園）,板橋区・練馬区,,,,
運動公園,中川公園,足立区,,,,
運動公園,宇喜田公園,江戸川区,,,,
風致公園,芦花公園（蘆花恒春園）,世田谷区,,,,
風致公園,善福寺公園,杉並区,,,,
風致公園,赤塚公園,板橋区,,,,
風致公園,石神井公園,練馬区,,,,
特殊公園,上野公園,台東区,,,,
特殊公園,清澄公園（清澄庭園）,江東区,,,,
広域公園,東京臨海広域防災公園,江東区,,,,
広域公園,水元公園,飾区,,,,
広域公園,篠崎公園,江戸川区,,,,
緑地,善福寺川緑地,杉並区,,,,
緑地,玉川上水緑地（玉川上水緑道）,杉並区・三鷹市,,,,
総合公園,滝山公園,八王子市,,,,
総合公園,小宮公園,八王子市,,,,
総合公園,平山城址公園,八王子市,,,,
緑地,八王子緑地,八王子市,,,,
緑地,多摩丘陵北部緑地（長沼公園）,八王子市,,,,
広域公園,野山北・六道山公園,武蔵村山市・瑞穂町,,,,
広域公園,中藤公園,武蔵村山市,,,,
緑地,観音寺森緑地,武蔵村山市,,,,
緑地,東大和緑地（東大和公園）,東大和市,,,,
緑地,東大和芋窪緑地,東大和市,,,,
特殊公園,井の頭公園,武蔵野市・三鷹市,,,,
広域公園,小金井公園,武蔵野市・小金井市・小平市・西東京市,,,,
広域公園,野川公園,三鷹市・調布市・小金井市,,,,
広域公園,武蔵野の森公園,三鷹市・府中市・調布市,,,,
総合公園,府中の森公園,府中市,,,,
風致公園,武蔵野公園,府中市・小金井市,,,,
風致公園,浅間山公園,府中市,,,,
特殊公園,神代公園（神代植物公園）,調布市,,,,
緑地,小山田緑地,町田市,,,,
緑地,大戸緑地,町田市,,,,
特殊公園,七生公園（多摩動物公園）,日野市,,,,
総合公園,六仙公園,東久留米市,,,,
緑地,八国山緑地,東村山市,,,,
総合公園,東伏見公園,西東京市,,,,
広域公園,桜ヶ丘公園,多摩市・稲城市,,,,
運動公園,秋留台公園,あきる野市,,,,
総合公p/fukushihoken/wc-photos/01_001_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_3.jpg,非常用呼び出しはインターホン,201901,,
1,1,4,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,2F,139.699955,35.689631,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_3.jpg,非常用呼び出しはインターホン,201901,,
1,2,1,小田急電鉄,小田原線,南新宿,東京都,渋谷区代々木2丁目29番16号,,多目的トイレ,2F,139.698941,35.683703,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_3.jpg,非常用呼び出しはインターホン,201901,,
1,3,1,小田急電鉄,小田原線,参宮橋,東京都,渋谷区代々木4丁目6番7号,,多目的トイレ,1F,139.693507,35.678625,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_3.jpg,,201901,202011,
1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201901,,201911
1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201901,,201911
1,4,3,小田急電鉄,小田原線,代々木八幡,東京都,渋谷区代々木5丁目6番1号,,多目的トイレ,2F,139.688794,35.669666,JGD2011,男性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○兼用,×兼用,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_3.jpg,点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える,201911,201911,
