日,1(m),2(m),3(m),4(m),5(m),6(m),7(m),8(m),9(m),10(m),11(m),12(m),年(m),備考
1,-9.92,-9.97,-10.05,-10.01,-9.90,-9.81,-9.68,-9.65,-,-,-,-,,
2,-9.91,-9.97,-10.09,-10.04,-9.94,-9.85,-9.68,-9.66,-,-,-,-,,
3,-9.90,-10.00,-10.10,-10.02,-9.92,-9.90,-9.67,-9.65,-,-,-,-,,
4,-9.91,-10.00,-10.14,-9.94,-9.84,-9.89,-9.72,-9.65,-,-,-,-,,
5,-9.94,-9.99,-10.14,-9.98,-9.90,-9.89,-9.77,-9.67,-,-,-,-,,
6,-9.96,-9.99,-10.12,-10.00,-9.94,-9.93,-9.75,-9.69,-,-,-,-,,
7,-9.95,-10.02,-10.08,-9.93,-9.88,-9.92,-9.74,-9.71,-,-,-,-,,
8,-9.97,-10.04,-10.03,-9.88,-9.95,-9.92,-9.77,-9.68,-,-,-,-,,
9,-10.00,-10.01,-10.04,-9.91,-9.96,-9.91,-9.74,-9.70,-,-,-,-,,
10,-10.01,-10.08,-10.01,-9.88,-9.88,-9.93,-9.72,-9.76,-,-,-,-,,
11,-10.02,-10.13,-10.00,-9.90,-9.83,-9.95,-9.75,-9.79,-,-,-,-,,
12,-10.02,-10.13,-10.02,-9.96,-9.91,-9.94,-9.78,-9.81,-,-,-,-,,
13,-10.03,-10.08,-10.02,-9.92,-9.93,-9.77,-9.77,-9.81,-,-,-,-,,
14,-10.04,-9.99,-9.96,-9.83,-9.94,-9.63,-9.74,-9.82,-,-,-,-,,
15,-10.07,-10.04,-9.90,-9.86,-9.93,-9.66,-9.55,-9.83,-,-,-,-,,
16,-10.09,-10.10,-9.92,-9.90,-9.90,-9.63,-9.57,-9.84,-,-,-,-,,
17,-10.12,-10.12,-9.90,-9.82,-9.87,-9.60,-9.56,-9.74,-,-,-,-,,
18,-9.96,-10.14,-9.88,-9.83,-9.87,-9.66,-9.57,-9.76,-,-,-,-,,
19,-9.87,-10.14,-9.82,-9.88,-9.88,-9.67,-9.60,-9.68,-,-,-,-,,
20,-9.90,-10.12,-9.86,-9.92,-9.88,-9.63,-9.62,-9.55,-,-,-,-,,
21,-9.93,-10.04,-9.90,-9.86,-9.86,-9.64,-9.59,-9.36,-,-,-,-,,
22,-9.93,-10.10,-9.89,-9.82,-9.87,-9.65,-9.53,-9.10,-,-9.50,-,-,,
23,-9.91,-10.05,-9.89,-9.87,-9.87,-9.62,-9.53,-8.75,-,-,-,-,,
24,-9.84,-10.05,-9.91,-9.89,-9.88,-9.65,-9.54,-8.74,-,-,-,-,,
25,-9.93,-10.07,-9.93,-9.92,-9.89,-9.61,-9.55,-8.36,-,-,-,-,,
26,-9.97,-10.06,-9.95,-9.90,-9.89,-9.67,-9.54,-,-8.43,-,-,-,,
27,-9.98,-10.06,-9.95,-9.89,-9.87,-9.74,-9.56,-,-,-,-,-,,
28,-9.99,-10.07,-9.96,-9.82,-9.86,-9.70,-9.59,-,-,-,-,-,,
29,-9.99,-10.00,-9.98,-9.82,-9.86,-9.68,-9.62,-,-,-,-,-,,
30,-9.96,***,-9.96,-9.89,-9.85,-9.67,-9.64,-,-,-,-,-,,
31,-9.96,***,-9.98,***,-9.82,***,-9.65,-,***,-,***,-,,
平均,-9.97,-10.05,-9.98,-9.90,-9.89,-9.76,-9.65,-9.55,-8.43,-9.50,-,-,-9.67,
最高,-9.84,-9.97,-9.82,-9.82,-9.82,-9.60,-9.53,-8.36,-8.43,-9.50,-,-,-8.36,
最低,-10.12,-10.14,-10.14,-10.04,-9.96,-9.95,-9.78,-9.84,-8.43,-9.50,-,-,-10.14,
