日,1(m),2(m),3(m),4(m),5(m),6(m),7(m),8(m),9(m),10(m),11(m),12(m),年(m),備考
1,-4.13,-4.48,-4.78,-4.98,-5.07,-5.22,-5.03,-4.82,-3.41,-3.26,-3.64,-3.79,,
2,-4.14,-4.49,-4.79,-4.99,-5.07,-5.22,-5.03,-4.83,-3.43,-3.28,-3.66,-3.80,,
3,-4.15,-4.51,-4.81,-5.00,-5.08,-5.23,-5.03,-4.81,-3.46,-3.30,-3.66,-3.82,,
4,-4.17,-4.52,-4.82,-5.00,-5.07,-5.24,-5.04,-4.83,-3.48,-3.32,-3.68,-3.83,,
5,-4.18,-4.53,-4.84,-5.01,-5.08,-5.25,-5.04,-4.84,-3.50,-3.34,-3.69,-3.83,,
6,-4.20,-4.55,-4.85,-5.01,-5.09,-5.25,-5.05,-4.85,-3.52,-3.35,-3.71,-3.85,,
7,-4.21,-4.56,-4.86,-5.01,-5.09,-5.26,-5.06,-4.86,-3.54,-3.38,-3.72,-3.86,,
8,-4.23,-4.58,-4.87,-4.98,-5.10,-5.27,-5.06,-4.87,-3.53,-3.37,-3.72,-3.88,,
9,-4.25,-4.59,-4.88,-4.98,-5.11,-5.28,-5.07,-4.88,-3.54,-3.35,-3.74,-3.89,,
10,-4.26,-4.61,-4.86,-4.98,-5.10,-5.28,-5.08,-4.90,-3.58,-3.38,-3.76,-3.91,,
11,-4.28,-4.62,-4.87,-4.99,-5.11,-5.29,-5.08,-4.90,-3.60,-3.40,-3.65,-3.92,,
12,-4.30,-4.64,-4.88,-5.00,-5.11,-5.30,-5.09,-4.92,-3.62,-3.41,-3.67,-3.94,,
13,-4.31,-4.65,-4.89,-5.01,-5.11,-5.20,-5.09,-4.93,-3.59,-3.43,-3.69,-3.94,,
14,-4.33,-4.64,-4.89,-5.00,-5.12,-5.12,-5.06,-4.94,-3.58,-3.44,-3.71,-3.86,,
15,-4.35,-4.65,-4.86,-4.99,-5.12,-5.10,-4.89,-4.95,-3.55,-3.46,-3.71,-3.92,,
16,-4.37,-4.67,-4.85,-5.00,-5.13,-5.08,-4.90,-4.96,-3.57,-3.47,-3.74,-3.95,,
17,-4.38,-4.68,-4.85,-5.00,-5.13,-5.06,-4.91,-4.91,-3.58,-3.47,-3.76,-3.98,,
18,-4.35,-4.70,-4.86,-5.00,-5.13,-5.06,-4.91,-4.91,-3.60,-3.48,-3.77,-4.00,,
19,-4.31,-4.72,-4.86,-5.01,-5.14,-5.05,-4.90,-4.89,-3.62,-3.50,-3.77,-4.01,,
20,-4.32,-4.72,-4.87,-5.02,-5.14,-5.05,-4.91,-4.79,-3.41,-3.51,-3.78,-4.03,,
21,-4.33,-4.68,-4.88,-5.02,-5.15,-5.05,-4.89,-4.68,-3.13,-3.53,-3.80,-4.04,,
22,-4.34,-4.69,-4.89,-5.03,-5.15,-5.05,-4.84,-4.07,-3.08,-3.53,-3.79,-4.05,,
23,-4.36,-4.70,-4.90,-5.04,-5.16,-5.04,-4.81,-3.65,-3.00,-3.54,-3.81,-4.02,,
24,-4.38,-4.71,-4.91,-5.04,-5.16,-5.04,-4.79,-3.63,-3.03,-3.57,-3.80,-4.06,,
25,-4.40,-4.72,-4.92,-5.05,-5.17,-5.04,-4.78,-3.61,-3.06,-3.58,-3.78,-4.08,,
26,-4.42,-4.73,-4.93,-5.06,-5.18,-5.04,-4.77,-3.61,-3.11,-3.58,-3.79,-4.08,,
27,-4.43,-4.74,-4.94,-5.06,-5.18,-5.04,-4.78,-3.62,-3.14,-3.60,-3.78,-4.08,,
28,-4.44,-4.76,-4.95,-5.06,-5.19,-5.04,-4.78,-3.61,-3.17,-3.61,-3.77,-4.10,,
29,-4.45,-4.76,-4.95,-5.06,-5.20,-5.03,-4.79,-3.58,-3.20,-3.61,-3.79,-4.12,,
30,-4.46,***,-4.96,-5.06,-5.21,-5.03,-4.80,-3.42,-3.24,-3.64,-3.81,-4.14,,
31,-4.47,***,-4.97,***,-5.21,***,-4.81,-3.38,***,-3.64,***,-4.15,,
平均,-4.31,-4.64,-4.88,-5.02,-5.13,-5.14,-4.94,-4.47,-3.40,-3.46,-3.74,-3.97,-4.42,
最高,-4.13,-4.48,-4.78,-4.98,-5.07,-5.03,-4.77,-3.38,-3.00,-3.26,-3.64,-3.79,-3.00,
最低,-4.46,-4.76,-4.96,-5.06,-5.21,-5.30,-5.09,-4.96,-3.62,-3.64,-3.81,-4.14,-5.30,
