地域区分,国・地域（人）,人口,,,,,,,
総数,総数,517881,,,,,,,
アジア,アジア,454296,,,,,,,
アジア,アフガニスタン,254,,,,,,,
アジア,アラブ首長国連邦,26,,,,,,,
アジア,ミャンマー,10883,,,,,,,
アジア,バーレーン,6,,,,,,,
アジア,ブータン,36,,,,,,,
アジア,バングラデシュ,4565,,,,,,,
アジア,ブルネイ,11,,,,,,,
アジア,カンボジア,523,,,,,,,
アジア,スリランカ,1840,,,,,,,
アジア,中国,203348,,,,,,,
アジア,台湾,17297,,,,,,,
アジア,キプロス,17,,,,,,,
アジア,東ティモール,4,,,,,,,
アジア,インド,13049,,,,,,,
アジア,インドネシア,5319,,,,,,,
アジア,イラン,967,,,,,,,
アジア,イラク,25,,,,,,,
アジア,イスラエル,252,,,,,,,
アジア,ヨルダン,35,,,,,,,
アジア,韓国,83171,,,,,,,
アジア,朝鮮,4708,,,,,,,
アジア,クウェート,17,,,,,,,
アジア,ラオス,204,,,,,,,
アジア,レバノン,47,,,,,,,
アジア,マレーシア,2606,,,,,,,
アジア,モンゴル,2755,,,,,,,
アジア,オマーン,6,,,,,,,
アジア,モルディブ,12,,,,,,,
アジア,ネパール,24482,,,,,,,
アジア,パキスタン,1213,,,,,,,
アジア,フィリピン,32523,,,,,,,
アジア,カタール,11,,,,,,,
アジア,サウジアラビア,159,,,,,,,
アジア,シリア,118,,,,,,,
アジア,シンガポール,1119,,,,,,,
アジア,タイ,7373,,,,,,,
アジア,トルコ,886,,,,,,,
アジア,ベトナム,34388,,,,,,,
アジア,イエメン,26,,,,,,,
アジア,パレスチナ,15,,,,,,,
ヨーロッパ,ヨーロッパ,27135,,,,,,,
ヨーロッパ,アルバニア,15,,,,,,,
ヨーロッパ,オーストリア,240,,,,,,,
ヨーロッパ,ベルギー,346,,,,,,,
ヨーロッパ,ブルガリア,157,,,,,,,
ヨーロッパ,ベラルーシ,111,,,,,,,
ヨーロッパ,クロアチア,39,,,,,,,
ヨーロッパ,チェコ,106,,,,,,,
ヨーロッパ,デンマーク,189,,,,,,,
ヨーロッパ,エストニア,43,,,,,,,
ヨーロッパ,フィンランド,233,,,,,,,
ヨーロッパ,フランス,5684,,,,,,,
ヨーロッパ,ドイツ,2129,,,,,,,
