番号,区市町村,申請団体名,事業名
1,中央区,パークタワー晴海自治会,住民同士の交流促進の為のふれあい祭り
2,港区,港区麻布町会・自治会連合会,コロナ状況下での感染症対策を踏まえた防災ワークショップ
3,,赤坂青山町会連合会,デジタルを活用した情報共有・情報発信講座
4,,高輪南町会,地域開発等に伴う地域防犯力強化と啓発
5,新宿区,赤城下町町会,「町内　餅つき大会」
6,,大久保２丁目町会,大久保２丁目町会　歳末防火防犯パトロール
7,文京区,文京区本郷五丁目台町町会,夜警を活用した応急救護および通信訓練
8,,曙町会,曙町会「もちつき」大会
9,,文京区田町町会,大震災時など公的消防が機能不全になっても、地域内で初期消火を住民で担うための訓練
10,台東区,下車坂町町会,防犯講習会と歳末警戒
11,,元浅草三丁目町会,夜間町内警備による防犯力の向上
12,,浅草千和町会,防災力向上を目指した充電訓練の実施
13,,谷中三崎町会,地域の見回り及び防火防災啓発活動
14,,芝崎町西町会,コミュニケーション強化を目指した「町会を写真で知ろう」イベントと講演会
15,,池之端4丁目町会,地域防災力向上を目指した防災訓練
16,,東上野六丁目南町会,東上野六丁目南町会　デジタル講習会
17,,石浜２丁目町会,夜間町内警備による防犯力の向上
18,,鳥越二丁目町会,もちつき
19,,雷門地区町会連合会,地域の防災力向上事業
20,,下谷東町会,防災力向上を目指した防災訓練の実施
21,江東区,南砂五丁目金森町会,南砂五丁目金森町会　餅つき大会
22,品川区,潮路南第二ハイツ自治会,被災時安否確認訓練
23,,荏原一丁目町会,緊急企画！荏原一丁目みんな集まれクリスマス会
24,,八潮40号棟自治会,フェーズフリーの防災　対策日常と災害時の差を無くし、普段使用している物を災害時にも役立てる
25,,43号棟自治会,地域における共助の重要性　災害時に備える炊き出し訓練
26,目黒区,中町東町会,中町東町会　餅つき
27,,目黒本町北町会,青少年をはじめとした地域の交流による防災・防犯・安心安全の向上のまちづくり
28,,目黒区目黒本町五丁目南町会,令和4年　年末夜警活動
29,大田区,鵜の木地区町会連合会,鵜の木クイズラリー
30,,蒲田西地区自治会連合会,コンサートを通じた地域交流・地域力向上事業
31,,山王三・四丁目自治会,地域の歴史をデジタルで振り返る
32,,大田区自治会連合会,地区自治会連合会HPの作成・更新及びHP更新講習会の実施
33,,田園調布東久自治会,楽しい親子防災
34,,大田区嶺町地区自治会連合会,「ぐるっと５町会！みねまちクイズラリー」を通して地域交流する市民事業活動
35,,大田区六郷地区自治会連合会,六郷ふれあいフェスタ　～つながりのある地域社会へ～
36,,下丸子三丁目町会,餅つき大会を通じて住民間の交流をはかる
37,,北千束中自治会,地域交流音楽会を通じた地域力の向上
38,,新井宿七丁目町会,新井宿七丁目町会　餅つき大会
39,,東雪谷東中自治会,自治会のデジタル活用支援
40,世田谷区,八幡山町会,八幡山地域交流もちつき大会
41,,祖師谷第三自治会,安否確認訓練とMy防災マップ作成を通じた地域防災力の向上
42,,桜上水２丁目町会,我が町から、初期消火を成功させて大火を防ぐ運動
43,,都営桜上水三丁目アパート自治会,防災訓練で、被災時に対応のできる自治会を目指す。
44,,赤堤１丁目町会,防災公園の井戸水を濾過した水を利用しての発災時の炊き出し訓練
45,中野区,新井町会連合会,中野通り桜まつりを通じた地域交流及び多文化共生理解の促進の取り組み
46,,宮桃町会,高齢者の居場所（サロン）作り
47,杉並区,井草１・２丁目自治会,井草どんどやきを通じた地域住民の交流促進
48,,高円寺北庚申文化会,防災研修会
49,豊島区,東池袋中部町会,防犯パトロールによる地域防犯力の向上
50,北区,十条地区町会連合会,十条地区町会連合会運動会
51,,東大原自治会,東大原自治会防災訓練
