PAMS＋BVOC,,,,,,,,,,,,,,,,,,,,,
,,2022年度,,,,,,,,,,,,,,,,,,(単位：ppb）,
,"NAME
( )は、HAPｓの番号",区部一般環境,,,,,,,,,多摩一般,,,都一般平均,沿道,,,,,,檜原（ﾊﾞｯ ｸｸﾞﾗｳﾝ ﾄﾞ)
,,中央区晴海,国設東京新宿,目黒区碑文谷,大田区東糀谷,板橋区氷川町,練馬区石神井町,足立区西新井,江戸川区春江町,区部一般平均,小金井市貫井北町,東大和市奈良橋,多摩部一般平均,,京葉道路亀戸,環八通り八幡山,２地点沿道平均,甲州街道大原,中山道大和町,４地点沿道平均,
V1,Ethane,2.909,3.381,3.823,3.962,4.706,3.814,4.039,3.495,3.766,3.609,2.487,3.048,3.622,3.287,4.041,3.664,4.140,4.269,3.934,1.376
V2,Ethylene,4.544,1.232,0.980,2.296,1.180,0.867,2.221,1.212,1.817,0.877,0.825,0.851,1.624,2.164,0.992,1.578,1.261,1.550,1.492,0.368
V3,Propane,3.879,4.496,5.356,6.297,6.661,5.435,7.900,6.731,5.844,5.610,7.062,6.336,5.943,5.431,5.497,5.464,6.373,6.365,5.917,1.123
V4,Acethylene,0.558,0.486,0.552,0.652,0.594,0.497,0.678,0.573,0.574,0.497,0.486,0.491,0.557,0.619,0.552,0.585,0.751,0.829,0.688,0.315
1,Propylene,0.631,0.334,0.331,0.709,0.335,0.274,0.497,0.356,0.433,0.251,0.263,0.257,0.398,0.495,0.316,0.405,0.415,0.469,0.424,0.101
2,iso-Butane (18),1.918,1.808,1.903,2.093,2.303,2.057,2.713,2.410,2.151,1.936,1.870,1.903,2.101,2.172,2.595,2.383,2.265,2.271,2.326,1.137
3,1-Butene,0.141,0.077,0.100,0.221,0.089,0.080,0.156,0.139,0.125,0.065,0.072,0.069,0.114,0.118,0.184,0.151,0.137,0.133,0.143,0.030
4,n-Butane (22),1.665,1.746,2.078,2.434,2.597,1.865,3.014,2.538,2.242,1.682,1.628,1.655,2.125,2.263,2.910,2.586,2.661,2.719,2.638,0.469
5,trans-2-Butene,0.071,0.034,0.060,0.093,0.058,0.043,0.120,0.128,0.076,0.034,0.065,0.049,0.071,0.080,0.188,0.134,0.103,0.105,0.119,< 0.006
6,cis-2-Butene (23),0.058,0.031,0.047,0.081,0.043,0.035,0.088,0.083,0.058,0.029,0.048,0.038,0.054,0.060,0.134,0.097,0.073,0.077,0.086,0.007
7,iso-Pentane,1.225,1.028,1.135,2.318,1.199,1.006,1.631,1.273,1.352,0.860,1.204,1.032,1.288,1.099,2.038,1.569,1.731,1.723,1.648,0.301
8,1-Pentene,0.047,0.036,0.042,0.110,0.045,0.038,0.064,0.045,0.053,0.036,0.048,0.042,0.051,0.042,0.082,0.062,0.066,0.065,0.064,< 0.02
9,n-Pentane (28),0.665,0.479,0.530,0.845,0.560,0.453,0.755,0.544,0.604,0.384,0.614,0.499,0.583,0.518,0.913,0.715,0.791,0.825,0.762,0.158
10,trans-2-Pentene,0.040,0.028,0.047,0.107,0.042,0.032,0.082,0.072,0.056,0.027,0.066,0.047,0.054,0.052,0.124,0.088,0.091,0.083,0.087,< 0.007
11,cis-2-Pentene,0.021,< 0.02,0.024,0.064,0.024,< 0.02,0.044,0.036,0.031,< 0.02,0.036,0.025,0.029,0.028,0.068,0.048,0.051,0.046,0.048,< 0.02
12,"2-Methyl-1,3-butadiene",0.053,0.114,0.048,0.066,0.048,0.064,0.101,0.047,0.068,0.062,0.175,0.119,0.078,0.051,0.104,0.078,0.074,0.063,0.073,0.191
13,"2,2-Dimethylbutane",0.032,0.028,0.033,0.047,0.035,0.032,0.050,0.045,0.038,0.027,0.042,0.034,0.037,0.039,0.048,0.043,0.049,0.051,0.047,0.014
