区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件）,277,209,97,43,30,40,10,0,2,1,0,709
千代田区／面積（m2）,7309,14666,11668,7352,6911,13953,6690,0,4396,6681,0,79626
中央区／件数(件）,526,309,106,39,36,17,6,2,0,0,0,1041
中央区／面積（m2）,13854,21647,12900,6537,9055,6853,4166,3070,0,0,0,78082
港区／件数(件）,374,309,136,97,71,47,21,7,4,0,3,1069
港区／面積（m2）,8566,22472,16614,16678,16980,17435,13251,9369,11778,0,62889,196032
新宿区／件数(件）,650,441,254,149,130,77,24,4,2,1,0,1732
新宿区／面積（m2）,11844,32260,30713,25531,30699,29419,15952,5628,5307,5581,0,192934
文京区／件数(件）,360,209,106,86,52,42,7,2,1,0,0,865
文京区／面積（m2）,6812,15264,13161,14838,12735,14410,4731,2870,3118,0,0,87939
台東区／件数(件）,580,484,231,80,65,25,8,0,0,0,0,1473
台東区／面積（m2）,14469,34518,28059,14036,15665,9028,5342,0,0,0,0,121117
墨田区／件数(件）,418,351,171,82,66,35,21,6,0,0,0,1150
墨田区／面積（m2）,9774,25116,20745,14201,15960,12804,13719,7699,0,0,0,120018
江東区／件数(件）,665,381,165,78,74,73,33,12,6,4,0,1491
江東区／面積（m2）,13450,27083,20125,13472,17910,27468,22850,18215,20986,25152,0,206711
品川区／件数(件）,474,400,182,122,77,66,29,2,4,1,0,1357
品川区／面積（m2）,9403,28070,22212,20824,18913,24493,17977,2658,11280,6858,0,162688
目黒区／件数(件）,399,200,144,127,115,58,29,4,3,1,0,1080
目黒区／面積（m2）,6363,14632,17850,22077,27855,21350,19522,5685,6388,5011,0,146733
大田区／件数(件）,949,632,406,231,213,151,66,21,5,1,0,2675
大田区／面積（m2）,17824,46249,49850,39714,51637,57743,46889,29249,12485,8998,0,360638
世田谷区／件数(件）,1250,667,519,315,346,206,90,31,4,0,0,3428
世田谷区／面積（m2）,19628,48629,63140,54856,81537,75888,60334,42039,12925,0,0,458976
渋谷区／件数(件）,520,241,200,116,84,67,30,6,2,0,0,1266
渋谷区／面積（m2）,9809,17683,24450,19722,20094,24676,21231,7832,6095,0,0,151592
中野区／件数(件）,484,393,223,142,103,53,20,9,0,0,0,1427
中野区／面積（m2）,8858,28709,26867,24365,24664,18687,14137,12137,0,0,0,158424
杉並区／件数(件）,883,450,347,261,222,130,51,9,0,0,0,2353
杉並区／面積（m2）,14903,33626,42443,45199,53729,49522,35234,12289,0,0,0,286945
豊島区／件数(件）,522,354,168,92,84,29,13,3,1,0,0,1266
豊島区／面積（m2）,9204,25961,20523,15744,20137,10556,8353,4120,3104,0,0,117702
北区／件数(件）,563,365,198,99,78,67,43,9,6,0,2,1430
北区／面積（m2）,11575,25611,23949,16829,19073,25170,28106,11832,22427,0,26814,211386
荒川区／件数(件）,438,215,103,65,61,36,22,3,0,0,0,943
荒川区／面積（m2）,8990,15649,12220,11092,14902,13921,14810,4435,0,0,0,96019
板橋区／件数(件）,621,506,289,148,124,100,55,10,5,0,0,1858
板橋区／面積（m2）,11635,36568,35153,25470,29843,38241,37007,13443,13109,0,0,240469
練馬区／件数(件）,1106,693,508,248,215,124,95,35,5,2,0,3031
練馬区／面積（m2）,17503,53076,60209,42730,51352,47057,67743,45195,13151,12234,0,410250
足立区／件数(件）,1605,815,434,229,212,205,118,22,3,2,1,3646
足立区／面積（m2）,22911,58796,52460,39289,51662,77458,77781,31190,6249,12741,14239,444776
葛飾区／件数(件）,1161,538,254,146,130,91,54,9,1,0,0,2384
葛飾区／面積（m2）,18354,38368,30585,24901,31286,34707,37275,13559,4109,0,0,233144
江戸川区／件数(件）,1373,639,265,183,145,131,78,6,5,0,0,2825
江戸川区／面積（m2）,23071,45753,32011,31832,35689,50812,51293,7176,17629,0,0,295266
合計／件数(件）,16198,9801,5506,3178,2733,1870,923,212,59,13,6,40499
合計／面積（m2）,296109,710406,667907,547289,658288,701651,624393,289690,174536,83256,103942,4857467
